# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  S32  S34  Ca40  Ca44
1.011646E-03  1.072301E+08  3.498663E+06  2.242134E+05  0.000000E+00  6.259291E+05  2.335556E+04
1.035211E-03  1.055287E+08  3.419024E+06  1.643323E+05  0.000000E+00  6.527643E+05  3.651828E+04
1.059324E-03  1.037556E+08  3.376885E+06  1.873569E+05  0.000000E+00  5.174618E+05  2.676527E+04
1.083999E-03  1.007486E+08  3.321814E+06  1.700141E+05  0.000000E+00  4.926050E+05  3.487469E+04
1.109248E-03  9.809319E+07  3.335662E+06  1.917047E+05  0.000000E+00  4.813919E+05  8.520211E+03
1.135086E-03  9.601435E+07  3.376301E+06  1.540359E+05  0.000000E+00  4.912498E+05  2.081567E+04
1.161526E-03  9.384507E+07  3.527276E+06  1.261194E+05  0.000000E+00  4.800675E+05  2.034185E+04
1.188581E-03  9.179636E+07  3.458913E+06  2.226427E+05  0.000000E+00  4.850429E+05  1.987881E+04
1.216267E-03  9.100061E+07  3.442342E+06  2.408863E+05  0.000000E+00  4.778873E+05  1.165579E+04
1.244597E-03  8.628660E+07  3.401953E+06  1.936380E+05  0.000000E+00  5.733203E+05  1.518729E+04
1.273587E-03  8.478256E+07  3.369040E+06  1.743886E+05  0.000000E+00  4.304060E+05  2.226238E+04
1.303253E-03  8.292520E+07  3.328611E+06  1.667931E+05  0.000000E+00  3.625938E+05  7.251875E+03
1.333610E-03  8.154075E+07  3.352058E+06  1.700833E+05  0.000000E+00  4.287516E+05  2.480381E+04
1.364674E-03  7.979546E+07  3.203038E+06  1.835254E+05  0.000000E+00  4.847841E+05  2.077646E+04
1.396461E-03  7.789450E+07  3.573422E+06  1.556604E+05  0.000000E+00  3.823832E+05  1.353569E+04
1.428989E-03  7.556585E+07  3.425943E+06  1.455034E+05  0.000000E+00  3.406101E+05  1.984137E+04
1.462274E-03  7.413983E+07  3.448139E+06  1.260332E+05  0.000000E+00  4.524269E+05  9.694861E+03
1.496335E-03  7.215535E+07  3.435969E+06  1.926416E+05  0.000000E+00  4.673928E+05  9.474179E+03
