# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Cl35  Cl37  Ni58  Ni60  Ni61  Ni62
1.011646E-03  8.566841E+07  9.400118E+05  1.726476E+06  5.992107E+04  7.902091E+05  7.490134E+03  6.893296E+04  6.533930E+02
1.035211E-03  8.439908E+07  9.003154E+05  1.782332E+06  4.025801E+04  7.575825E+05  1.829909E+04  6.608681E+04  1.596300E+03
1.059324E-03  8.233129E+07  8.404801E+05  1.634466E+06  6.437720E+04  8.333271E+05  2.145907E+04  7.269431E+04  1.871956E+03
1.083999E-03  8.017060E+07  9.017358E+05  1.646192E+06  4.543630E+04  8.213485E+05  3.495100E+04  7.164936E+04  3.048909E+03
1.109248E-03  7.891268E+07  9.700139E+05  1.793159E+06  3.757096E+04  7.480036E+05  2.390879E+04  6.525121E+04  2.085655E+03
1.135086E-03  7.651560E+07  9.679604E+05  1.738991E+06  4.672912E+04  8.177597E+05  1.335118E+04  7.133630E+04  1.164674E+03
1.161526E-03  7.466299E+07  8.121924E+05  1.751596E+06  5.545089E+04  8.024070E+05  6.523634E+03  6.999702E+04  5.690815E+02
1.188581E-03  7.302402E+07  9.562707E+05  1.482220E+06  7.012652E+04  8.096425E+05  6.375138E+03  7.062821E+04  5.561276E+02
1.216267E-03  7.188823E+07  9.002382E+05  1.523240E+06  5.918521E+04  7.226826E+05  1.869007E+04  6.304236E+04  1.630406E+03
1.244597E-03  7.023054E+07  9.162755E+05  1.652949E+06  6.392620E+04  7.031882E+05  3.652926E+04  6.134179E+04  3.186587E+03
1.273587E-03  6.861405E+07  9.846629E+05  1.317842E+06  5.652144E+04  6.604084E+05  1.784887E+04  5.760994E+04  1.557025E+03
1.303253E-03  6.706383E+07  9.215499E+05  1.456456E+06  4.360646E+04  7.151460E+05  8.721292E+03  6.238491E+04  7.607916E+02
1.333610E-03  6.510545E+07  8.664818E+05  1.576713E+06  3.693201E+04  6.306851E+05  8.522772E+03  5.501707E+04  7.434739E+02
1.364674E-03  6.388166E+07  9.272697E+05  1.474192E+06  4.719636E+04  6.052239E+05  8.328770E+03  5.279599E+04  7.265504E+02
1.396461E-03  6.288605E+07  8.790318E+05  1.486758E+06  3.255673E+04  6.321433E+05  5.426122E+03  5.514427E+04  4.733414E+02
1.428989E-03  6.123188E+07  8.563713E+05  1.370724E+06  6.098000E+04  5.753331E+05  1.325652E+04  5.018850E+04  1.156417E+03
1.462274E-03  5.865659E+07  8.990608E+05  1.355069E+06  2.331858E+04  5.363273E+05  1.554572E+04  4.678588E+04  1.356113E+03
1.496335E-03  5.911658E+07  9.140434E+05  1.296372E+06  4.810755E+04  5.848865E+05  2.531976E+03  5.102188E+04  2.208739E+02
1.531189E-03  5.705583E+07  9.823135E+05  1.289132E+06  2.721775E+04  6.359057E+05  7.423024E+03  5.547248E+04  6.475387E+02
1.566855E-03  5.579336E+07  8.704866E+05  1.267042E+06  3.868829E+04  5.658163E+05  4.836037E+03  4.935832E+04  4.218659E+02
1.603352E-03  5.410510E+07  8.601238E+05  1.273645E+06  4.253360E+04  4.891364E+05  7.088933E+03  4.266923E+04  6.183947E+02
1.640699E-03  5.353625E+07  9.167483E+05  1.228489E+06  3.925622E+04  5.842250E+05  4.618379E+03  5.096417E+04  4.028789E+02
1.678915E-03  5.211678E+07  8.868540E+05  1.261454E+06  2.707951E+04  5.303071E+05  6.769878E+03  4.626071E+04  5.905623E+02
1.718022E-03  5.146633E+07  8.578457E+05  1.204071E+06  4.410518E+04  4.895675E+05  1.764207E+04  4.270684E+04  1.538985E+03
1.758040E-03  4.958149E+07  9.137459E+05  1.079686E+06  4.956641E+04  4.999742E+05  1.939555E+04  4.361466E+04  1.691948E+03
1.798990E-03  4.825913E+07  8.402964E+05  1.015095E+06  3.580210E+04  5.201835E+05  8.424024E+03  4.537759E+04  7.348598E+02
1.840894E-03  4.739935E+07  8.767367E+05  1.142227E+06  3.910328E+04  4.610071E+05  0.000000E+00  4.021541E+04  0.000000E+00
