# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  F19  Mg24  Mg25  Mg26  Al27  Si28  Si29  Si30  K39  K41
1.011646E-03  1.083465E+08  2.343964E+07  2.284174E+06  5.969682E+06  3.503334E+05  6.773113E+05  9.388936E+05  3.540703E+06  2.382267E+05  1.541467E+05  1.049599E+07  1.494756E+05
1.035211E-03  1.052685E+08  2.338083E+07  2.127190E+06  5.842925E+06  3.469237E+05  6.390699E+05  1.090984E+06  3.761383E+06  2.967110E+05  1.688970E+05  1.067703E+07  1.141196E+05
1.059324E-03  1.021095E+08  2.291999E+07  2.212595E+06  5.839289E+06  2.944179E+05  5.219227E+05  8.877147E+05  3.872042E+06  2.096613E+05  1.561307E+05  1.056336E+07  1.026002E+05
1.083999E-03  9.982007E+07  2.341835E+07  2.205824E+06  5.806635E+06  3.138722E+05  6.233850E+05  9.852099E+05  3.653124E+06  2.659195E+05  2.136075E+05  1.019213E+07  1.438581E+05
1.109248E-03  9.734341E+07  2.315367E+07  2.185434E+06  5.930067E+06  3.109877E+05  5.580738E+05  9.926045E+05  3.676471E+06  2.854271E+05  1.278032E+05  1.002403E+07  8.520211E+04
1.135086E-03  9.690110E+07  2.319282E+07  2.031609E+06  5.999075E+06  2.872562E+05  5.828387E+05  9.824995E+05  3.567805E+06  2.164829E+05  1.623622E+05  9.504434E+06  1.415465E+05
1.161526E-03  9.446346E+07  2.308393E+07  2.302697E+06  5.756742E+06  3.498797E+05  4.678624E+05  8.787677E+05  3.755105E+06  2.847858E+05  1.952817E+05  9.222993E+06  1.342562E+05
1.188581E-03  9.146637E+07  2.306339E+07  2.119081E+06  5.840394E+06  3.617943E+05  5.605824E+05  1.077431E+06  4.174550E+06  2.544487E+05  1.471032E+05  8.786433E+06  1.471032E+05
1.216267E-03  8.901524E+07  2.322998E+07  2.265108E+06  5.882287E+06  3.108210E+05  6.177567E+05  9.324629E+05  3.753163E+06  2.836241E+05  1.359842E+05  8.730184E+06  1.049021E+05
1.244597E-03  8.786608E+07  2.295939E+07  2.152799E+06  6.135666E+06  3.265268E+05  5.847107E+05  9.378153E+05  3.580404E+06  2.923554E+05  1.556697E+05  8.709912E+06  9.112375E+04
1.273587E-03  8.418519E+07  2.287460E+07  2.196555E+06  5.999711E+06  3.376461E+05  6.270570E+05  9.201784E+05  3.602795E+06  2.560174E+05  1.595471E+05  8.329840E+06  1.150223E+05
1.303253E-03  8.353798E+07  2.325314E+07  2.280715E+06  5.968293E+06  3.408381E+05  6.091575E+05  1.091407E+06  3.734716E+06  2.320600E+05  1.704191E+05  8.401298E+06  1.740450E+05
1.333610E-03  8.204391E+07  2.324471E+07  2.147301E+06  5.843069E+06  3.366231E+05  5.704876E+05  1.073651E+06  3.614269E+06  2.409513E+05  1.629965E+05  8.266755E+06  1.240190E+05
1.364674E-03  8.016252E+07  2.349818E+07  2.243858E+06  5.980158E+06  3.462744E+05  6.025174E+05  1.073451E+06  3.687822E+06  2.493175E+05  1.385097E+05  8.130522E+06  9.349408E+04
1.396461E-03  7.839532E+07  2.325770E+07  1.976210E+06  5.996310E+06  3.925349E+05  6.530969E+05  1.018561E+06  3.573422E+06  2.673298E+05  1.285890E+05  7.752565E+06  1.049016E+05
1.428989E-03  7.644879E+07  2.377988E+07  2.232154E+06  5.770531E+06  3.141550E+05  6.150824E+05  8.796339E+05  3.392874E+06  2.314826E+05  1.157413E+05  7.285089E+06  1.091275E+05
1.462274E-03  7.414307E+07  2.334846E+07  2.142564E+06  5.949413E+06  3.813312E+05  6.398608E+05  9.921075E+05  3.425518E+06  2.423715E+05  1.066435E+05  7.287304E+06  1.195700E+05
1.496335E-03  7.247747E+07  2.330016E+07  2.179061E+06  6.322436E+06  3.947575E+05  5.937152E+05  9.253115E+05  3.259118E+06  2.747512E+05  1.105321E+05  7.197218E+06  8.526761E+04
1.531189E-03  7.172576E+07  2.326049E+07  2.135632E+06  5.764972E+06  3.117035E+05  5.771144E+05  9.196797E+05  3.225051E+06  1.944289E+05  1.296193E+05  7.113630E+06  9.875755E+04
1.566855E-03  6.975228E+07  2.327087E+07  2.180513E+06  5.923274E+06  2.654013E+05  5.700096E+05  8.776338E+05  3.142592E+06  2.654013E+05  1.236529E+05  6.894401E+06  9.047771E+04
1.603352E-03  6.733045E+07  2.333651E+07  2.269400E+06  6.047804E+06  2.799909E+05  5.364037E+05  8.222891E+05  3.262631E+06  2.180982E+05  1.562055E+05  6.943775E+06  7.073455E+04
1.640699E-03  6.694413E+07  2.330069E+07  2.148618E+06  5.420508E+06  2.937788E+05  4.608296E+05  7.718895E+05  3.093318E+06  2.102535E+05  9.792628E+04  6.584102E+06  9.504610E+04
