#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.00    7.521E+01  1.253E+03    0.0063 
11.00    7.888E+01  1.297E+03    0.0067 
12.00    8.239E+01  1.337E+03    0.0070 
13.00    8.575E+01  1.375E+03    0.0074 
14.00    8.899E+01  1.410E+03    0.0077 
15.00    9.211E+01  1.442E+03    0.0080 
16.00    9.513E+01  1.473E+03    0.0084 
17.00    9.806E+01  1.502E+03    0.0087 
18.00    1.009E+02  1.529E+03    0.0090 
20.00    1.064E+02  1.580E+03    0.0096 
22.50    1.128E+02  1.636E+03    0.0104 
25.00    1.189E+02  1.687E+03    0.0111 
27.50    1.247E+02  1.732E+03    0.0118 
30.00    1.303E+02  1.773E+03    0.0126 
32.50    1.356E+02  1.810E+03    0.0133 
35.00    1.407E+02  1.844E+03    0.0139 
37.50    1.456E+02  1.876E+03    0.0146 
40.00    1.504E+02  1.905E+03    0.0153 
45.00    1.595E+02  1.957E+03    0.0166 
50.00    1.682E+02  2.002E+03    0.0179 
55.00    1.764E+02  2.042E+03    0.0192 
60.00    1.842E+02  2.077E+03    0.0204 
65.00    1.917E+02  2.108E+03    0.0217 
70.00    1.990E+02  2.136E+03    0.0229 
80.00    2.127E+02  2.183E+03    0.0253 
90.00    2.256E+02  2.222E+03    0.0277 
100.00    2.378E+02  2.253E+03    0.0301 
110.00    2.494E+02  2.280E+03    0.0324 
120.00    2.605E+02  2.302E+03    0.0347 
130.00    2.712E+02  2.320E+03    0.0371 
140.00    2.814E+02  2.335E+03    0.0394 
150.00    2.913E+02  2.347E+03    0.0417 
160.00    3.009E+02  2.358E+03    0.0440 
170.00    3.101E+02  2.366E+03    0.0463 
180.00    3.191E+02  2.373E+03    0.0485 
200.00    3.364E+02  2.382E+03    0.0531 
225.00    3.504E+02  2.387E+03    0.0589 
250.00    3.605E+02  2.387E+03    0.0646 
275.00    3.746E+02  2.384E+03    0.0704 
300.00    3.910E+02  2.377E+03    0.0762 
325.00    4.087E+02  2.369E+03    0.0820 
350.00    4.270E+02  2.358E+03    0.0878 
375.00    4.454E+02  2.346E+03    0.0937 
400.00    4.637E+02  2.333E+03    0.0996 
450.00    4.990E+02  2.305E+03    0.1114 
500.00    5.323E+02  2.276E+03    0.1233 
550.00    5.631E+02  2.245E+03    0.1353 
600.00    5.916E+02  2.213E+03    0.1475 
650.00    6.178E+02  2.182E+03    0.1597 
700.00    6.420E+02  2.151E+03    0.1720 
800.00    6.852E+02  2.091E+03    0.1971 
900.00    7.227E+02  2.032E+03    0.2226 
1000.00    7.558E+02  1.977E+03    0.2486 
1000.10    7.855E+02  1.925E+03    0.2750 
1000.20    8.126E+02  1.875E+03    0.3018 
1000.30    8.378E+02  1.828E+03    0.3291 
1000.40    8.616E+02  1.784E+03    0.3568 
1000.50    8.844E+02  1.742E+03    0.3848 
1000.60    9.063E+02  1.702E+03    0.4133 
1000.70    9.278E+02  1.664E+03    0.4420 
1000.80    9.490E+02  1.628E+03    0.4711 
2000.00    9.911E+02  1.562E+03    0.5301 
2000.25    1.044E+03  1.487E+03    0.6052 
2000.50    1.099E+03  1.420E+03    0.6815 
2000.75    1.156E+03  1.360E+03    0.7586 
3000.00    1.215E+03  1.305E+03    0.8363 
3000.25    1.276E+03  1.256E+03    0.9142 
3000.50    1.340E+03  1.211E+03    0.9922 
3000.75    1.407E+03  1.169E+03    1.07 
4000.00    1.475E+03  1.131E+03    1.15 
4000.50    1.619E+03  1.062E+03    1.30 
5000.00    1.769E+03  1.003E+03    1.45 
5000.50    1.925E+03  9.508E+02    1.60 
6000.00    2.085E+03  9.046E+02    1.74 
6000.50    2.249E+03  8.634E+02    1.88 
7000.00    2.415E+03  8.263E+02    2.01 
8000.00    2.753E+03  7.622E+02    2.26 
9000.00    3.094E+03  7.086E+02    2.50 
10000.00    3.435E+03  6.629E+02    2.72 
