#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.00    1.145E+02  1.876E+03     0.0059 
11.00    1.201E+02  1.955E+03     0.0062 
12.00    1.255E+02  2.028E+03     0.0065 
13.00    1.306E+02  2.098E+03     0.0068 
14.00    1.355E+02  2.163E+03     0.0070 
15.00    1.403E+02  2.224E+03     0.0073 
16.00    1.449E+02  2.283E+03     0.0075 
17.00    1.493E+02  2.338E+03     0.0078 
18.00    1.537E+02  2.391E+03     0.0080 
20.00    1.620E+02  2.490E+03     0.0085 
22.50    1.718E+02  2.603E+03     0.0091 
25.00    1.811E+02  2.706E+03     0.0096 
27.50    1.899E+02  2.800E+03     0.0102 
30.00    1.984E+02  2.887E+03     0.0107 
32.50    2.065E+02  2.968E+03     0.0112 
35.00    2.143E+02  3.043E+03     0.0117 
37.50    2.218E+02  3.113E+03     0.0122 
40.00    2.291E+02  3.179E+03     0.0127 
45.00    2.430E+02  3.300E+03     0.0136 
50.00    2.561E+02  3.409E+03     0.0145 
55.00    2.686E+02  3.507E+03     0.0154 
60.00    2.805E+02  3.596E+03     0.0162 
65.00    2.920E+02  3.677E+03     0.0171 
70.00    3.030E+02  3.752E+03     0.0179 
80.00    3.239E+02  3.886E+03     0.0195 
90.00    3.436E+02  4.002E+03     0.0211 
100.00    3.622E+02  4.104E+03     0.0226 
110.00    3.799E+02  4.194E+03     0.0241 
120.00    3.967E+02  4.274E+03     0.0256 
130.00    4.129E+02  4.346E+03     0.0271 
140.00    4.285E+02  4.410E+03     0.0285 
150.00    4.436E+02  4.469E+03     0.0300 
160.00    4.581E+02  4.522E+03     0.0314 
170.00    4.722E+02  4.571E+03     0.0328 
180.00    4.859E+02  4.616E+03     0.0341 
200.00    5.122E+02  4.694E+03     0.0369 
225.00    5.433E+02  4.776E+03     0.0402 
250.00    5.727E+02  4.842E+03     0.0436 
275.00    6.006E+02  4.898E+03     0.0469 
300.00    6.273E+02  4.943E+03     0.0501 
325.00    6.529E+02  4.981E+03     0.0533 
350.00    6.776E+02  5.012E+03     0.0566 
375.00    7.014E+02  5.038E+03     0.0598 
400.00    7.321E+02  5.059E+03     0.0629 
450.00    8.260E+02  5.089E+03     0.0692 
500.00    8.995E+02  5.107E+03     0.0755 
550.00    9.586E+02  5.115E+03     0.0816 
600.00    1.008E+03  5.116E+03    0.0878 
650.00    1.049E+03  5.112E+03    0.0939 
700.00    1.086E+03  5.102E+03    0.1001 
800.00    1.147E+03  5.073E+03    0.1124 
900.00    1.201E+03  5.034E+03    0.1248 
1000.00    1.249E+03  4.989E+03    0.1372 
1000.10    1.295E+03  4.939E+03    0.1497 
1000.20    1.339E+03  4.887E+03    0.1623 
1000.30    1.381E+03  4.833E+03    0.1750 
1000.40    1.423E+03  4.778E+03    0.1877 
1000.50    1.464E+03  4.723E+03    0.2006 
1000.60    1.505E+03  4.668E+03    0.2135 
1000.70    1.545E+03  4.614E+03    0.2265 
1000.80    1.584E+03  4.560E+03    0.2396 
2000.00    1.660E+03  4.454E+03    0.2660 
2000.25    1.751E+03  4.328E+03    0.2993 
2000.50    1.837E+03  4.208E+03    0.3331 
2000.75    1.918E+03  4.094E+03    0.3673 
3000.00    1.993E+03  3.987E+03    0.4018 
3000.25    2.064E+03  3.886E+03    0.4366 
3000.50    2.129E+03  3.790E+03    0.4718 
3000.75    2.190E+03  3.699E+03    0.5073 
4000.00    2.247E+03  3.613E+03    0.5431 
4000.50    2.348E+03  3.455E+03    0.6157 
5000.00    2.435E+03  3.311E+03    0.6894 
5000.50    2.509E+03  3.182E+03    0.7643 
6000.00    2.574E+03  3.063E+03    0.8403 
6000.50    2.630E+03  2.955E+03    0.9173 
7000.00    2.679E+03  2.855E+03    0.9953 
8000.00    2.765E+03  2.677E+03    1.15 
9000.00    2.839E+03  2.524E+03    1.32 
10000.00    2.909E+03  2.390E+03    1.48 
