#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.00    8.279E+01  1.388E+02    0.0345  
11.00    8.683E+01  1.350E+02    0.0380  
12.00    9.069E+01  1.313E+02    0.0415  
13.00    9.440E+01  1.279E+02    0.0450  
14.00    9.796E+01  1.247E+02    0.0486  
15.00    1.014E+02  1.216E+02    0.0521  
16.00    1.047E+02  1.187E+02    0.0557  
17.00    1.079E+02  1.160E+02    0.0593  
18.00    1.111E+02  1.134E+02    0.0629  
20.00    1.171E+02  1.087E+02    0.0701  
22.50    1.242E+02  1.033E+02    0.0791  
25.00    1.305E+02  9.857E+01    0.0881  
27.50    1.362E+02  9.431E+01    0.0972  
30.00    1.421E+02  9.046E+01    0.1062  
32.50    1.479E+02  8.696E+01    0.1152  
35.00    1.536E+02  8.377E+01    0.1242  
37.50    1.591E+02  8.085E+01    0.1331  
40.00    1.644E+02  7.815E+01    0.1420  
45.00    1.745E+02  7.335E+01    0.1596  
50.00    1.838E+02  6.919E+01    0.1770  
55.00    1.922E+02  6.555E+01    0.1942  
60.00    1.999E+02  6.233E+01    0.2112  
65.00    2.070E+02  5.946E+01    0.2280  
70.00    2.138E+02  5.688E+01    0.2446  
80.00    2.267E+02  5.242E+01    0.2774  
90.00    2.395E+02  4.870E+01    0.3094  
100.00    2.521E+02  4.553E+01    0.3406  
110.00    2.645E+02  4.281E+01    0.3710  
120.00    2.766E+02  4.043E+01    0.4006  
130.00    2.884E+02  3.834E+01    0.4295  
140.00    2.999E+02  3.648E+01    0.4577  
150.00    3.112E+02  3.481E+01    0.4851  
160.00    3.222E+02  3.331E+01    0.5119  
170.00    3.330E+02  3.194E+01    0.5381  
180.00    3.437E+02  3.070E+01    0.5637  
200.00    3.647E+02  2.852E+01    0.6132  
225.00    3.903E+02  2.623E+01    0.6721  
250.00    4.154E+02  2.432E+01    0.7281  
275.00    4.399E+02  2.270E+01    0.7814  
300.00    4.639E+02  2.130E+01    0.8323  
325.00    4.873E+02  2.008E+01    0.8811  
350.00    5.102E+02  1.901E+01    0.9279  
375.00    5.325E+02  1.806E+01    0.9729  
400.00    5.543E+02  1.720E+01    1.02 
450.00    5.963E+02  1.574E+01    1.10 
500.00    6.361E+02  1.453E+01    1.18 
550.00    6.740E+02  1.351E+01    1.25 
600.00    7.099E+02  1.263E+01    1.32 
650.00    7.441E+02  1.187E+01    1.39 
700.00    7.765E+02  1.120E+01    1.45 
800.00    8.367E+02  1.009E+01    1.57 
900.00    8.912E+02  9.195E+00    1.68 
1000.00    9.406E+02  8.457E+00    1.79 
1000.10    9.853E+02  7.838E+00    1.89 
1000.20    1.026E+03  7.310E+00    1.99 
1000.30    1.063E+03  6.853E+00    2.09 
1000.40    1.096E+03  6.455E+00    2.18 
1000.50    1.127E+03  6.104E+00    2.27 
1000.60    1.154E+03  5.792E+00    2.35 
1000.70    1.179E+03  5.513E+00    2.44 
1000.80    1.202E+03  5.261E+00    2.52 
2000.00    1.240E+03  4.826E+00    2.68 
2000.25    1.279E+03  4.380E+00    2.88 
2000.50    1.308E+03  4.015E+00    3.07 
2000.75    1.330E+03  3.709E+00    3.26 
3000.00    1.346E+03  3.450E+00    3.45 
3000.25    1.357E+03  3.227E+00    3.63 
3000.50    1.365E+03  3.033E+00    3.81 
3000.75    1.370E+03  2.863E+00    4.00 
4000.00    1.372E+03  2.711E+00    4.18 
4000.50    1.371E+03  2.455E+00    4.54 
5000.00    1.366E+03  2.246E+00    4.90 
5000.50    1.357E+03  2.071E+00    5.27 
6000.00    1.345E+03  1.924E+00    5.64 
6000.50    1.332E+03  1.797E+00    6.01 
7000.00    1.317E+03  1.687E+00    6.39 
8000.00    1.284E+03  1.505E+00    7.16 
9000.00    1.250E+03  1.360E+00    7.95 
10000.00    1.216E+03  1.242E+00    8.75 
