# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.268000000000000016e+00 3.829999999999999716e+01 4.000000000000000192e-04
1.099989999999999996e-02 1.330000000000000071e+00 4.059000000000000341e+01 4.000000000000000192e-04
1.199990000000000084e-02 1.389000000000000012e+00 4.279999999999999716e+01 4.000000000000000192e-04
1.299990000000000000e-02 1.445999999999999952e+00 4.492000000000000171e+01 4.000000000000000192e-04
1.399990000000000089e-02 1.500000000000000000e+00 4.697999999999999687e+01 5.000000000000000104e-04
1.499990000000000004e-02 1.552999999999999936e+00 4.896000000000000085e+01 5.000000000000000104e-04
1.599990000000000093e-02 1.604000000000000092e+00 5.089000000000000057e+01 5.000000000000000104e-04
1.699990000000000182e-02 1.653000000000000025e+00 5.275999999999999801e+01 5.000000000000000104e-04
1.799989999999999923e-02 1.701000000000000068e+00 5.457999999999999829e+01 5.000000000000000104e-04
1.999990000000000101e-02 1.792999999999999927e+00 5.809000000000000341e+01 5.000000000000000104e-04
2.249989999999999976e-02 1.901999999999999913e+00 6.224000000000000199e+01 5.000000000000000104e-04
2.499990000000000198e-02 2.004999999999999893e+00 6.618000000000000682e+01 6.000000000000000559e-04
2.749990000000000073e-02 2.103000000000000203e+00 6.993000000000000682e+01 6.000000000000000559e-04
2.999989999999999948e-02 2.196000000000000174e+00 7.351999999999999602e+01 6.000000000000000559e-04
3.249989999999999823e-02 2.286000000000000032e+00 7.695999999999999375e+01 6.000000000000000559e-04
3.499990000000000046e-02 2.371999999999999886e+00 8.028000000000000114e+01 6.000000000000000559e-04
3.749989999999999574e-02 2.455000000000000071e+00 8.346999999999999886e+01 6.999999999999999929e-04
3.999989999999999796e-02 2.536000000000000032e+00 8.656000000000000227e+01 6.999999999999999929e-04
4.499989999999999546e-02 2.689999999999999947e+00 9.245000000000000284e+01 6.999999999999999929e-04
4.999989999999999990e-02 2.834999999999999964e+00 9.800000000000000000e+01 6.999999999999999929e-04
5.499989999999999740e-02 2.974000000000000199e+00 1.032999999999999972e+02 8.000000000000000383e-04
5.999989999999999490e-02 3.105999999999999872e+00 1.082999999999999972e+02 8.000000000000000383e-04
6.499989999999999934e-02 3.233000000000000096e+00 1.130999999999999943e+02 8.000000000000000383e-04
6.999990000000000379e-02 3.354999999999999982e+00 1.177000000000000028e+02 9.000000000000000838e-04
7.999989999999999879e-02 3.585999999999999854e+00 1.264000000000000057e+02 9.000000000000000838e-04
8.999989999999999379e-02 3.803999999999999826e+00 1.344000000000000057e+02 1.000000000000000021e-03
9.999990000000000268e-02 4.009999999999999787e+00 1.420000000000000000e+02 1.000000000000000021e-03
1.100000000000000006e-01 4.206000000000000405e+00 1.491999999999999886e+02 1.000000000000000021e-03
1.199999999999999956e-01 4.392999999999999794e+00 1.560000000000000000e+02 1.100000000000000066e-03
1.300000000000000044e-01 4.572000000000000064e+00 1.624000000000000057e+02 1.100000000000000066e-03
1.399989999999999846e-01 4.745000000000000107e+00 1.685999999999999943e+02 1.200000000000000112e-03
1.499989999999999934e-01 4.910999999999999588e+00 1.745000000000000000e+02 1.200000000000000112e-03
1.599990000000000023e-01 5.072000000000000064e+00 1.800999999999999943e+02 1.200000000000000112e-03
1.699990000000000112e-01 5.227999999999999758e+00 1.855000000000000000e+02 1.300000000000000157e-03
1.799989999999999923e-01 5.379999999999999893e+00 1.908000000000000114e+02 1.300000000000000157e-03
1.999990000000000101e-01 5.671000000000000263e+00 2.006999999999999886e+02 1.399999999999999986e-03
2.249990000000000046e-01 6.014999999999999680e+00 2.123000000000000114e+02 1.399999999999999986e-03
2.499989999999999990e-01 6.339999999999999858e+00 2.230000000000000000e+02 1.500000000000000031e-03
2.749990000000000490e-01 6.650000000000000355e+00 2.330000000000000000e+02 1.600000000000000077e-03
2.999990000000000157e-01 6.945000000000000284e+00 2.424000000000000057e+02 1.600000000000000077e-03
3.249990000000000379e-01 7.229000000000000092e+00 2.513000000000000114e+02 1.700000000000000122e-03
3.499990000000000046e-01 7.501999999999999780e+00 2.598000000000000114e+02 1.800000000000000168e-03
3.749990000000000268e-01 7.764999999999999680e+00 2.678000000000000114e+02 1.800000000000000168e-03
3.999990000000000490e-01 8.019999999999999574e+00 2.753999999999999773e+02 1.899999999999999996e-03
4.499990000000000379e-01 8.506000000000000227e+00 2.896999999999999886e+02 2.000000000000000042e-03
4.999990000000000268e-01 8.967000000000000526e+00 3.028000000000000114e+02 2.100000000000000304e-03
5.499990000000000157e-01 9.403999999999999915e+00 3.150000000000000000e+02 2.200000000000000133e-03
5.999990000000000601e-01 9.821999999999999176e+00 3.263000000000000114e+02 2.299999999999999961e-03
6.499989999999999934e-01 1.022000000000000064e+01 3.368999999999999773e+02 2.400000000000000223e-03
6.999990000000000379e-01 1.060999999999999943e+01 3.468999999999999773e+02 2.500000000000000052e-03
7.999990000000000157e-01 1.133999999999999986e+01 3.651999999999999886e+02 2.700000000000000143e-03
8.999989999999999934e-01 1.202999999999999936e+01 3.816999999999999886e+02 2.900000000000000234e-03
9.999990000000000823e-01 1.267999999999999972e+01 3.968000000000000114e+02 3.100000000000000325e-03
1.100000000000000089e+00 1.330000000000000071e+01 4.105000000000000000e+02 3.200000000000000153e-03
1.199999999999999956e+00 1.389000000000000057e+01 4.231999999999999886e+02 3.400000000000000244e-03
1.300000000000000044e+00 1.446000000000000085e+01 4.350000000000000000e+02 3.600000000000000335e-03
1.399999999999999911e+00 1.500000000000000000e+01 4.460000000000000000e+02 3.700000000000000164e-03
1.500000000000000000e+00 1.552999999999999936e+01 4.563000000000000114e+02 3.900000000000000255e-03
1.600000000000000089e+00 1.603999999999999915e+01 4.658999999999999773e+02 4.000000000000000083e-03
1.699999999999999956e+00 1.653000000000000114e+01 4.750000000000000000e+02 4.200000000000000608e-03
1.800000000000000044e+00 1.701000000000000156e+01 4.836000000000000227e+02 4.300000000000000003e-03
2.000000000000000000e+00 1.792999999999999972e+01 4.993999999999999773e+02 4.599999999999999922e-03
2.250000000000000000e+00 1.901999999999999957e+01 5.170000000000000000e+02 4.899999999999999842e-03
2.500000000000000000e+00 2.005000000000000071e+01 5.327000000000000455e+02 5.300000000000000024e-03
2.750000000000000000e+00 2.103000000000000114e+01 5.467999999999999545e+02 5.599999999999999943e-03
3.000000000000000000e+00 2.196999999999999886e+01 5.596000000000000227e+02 5.899999999999999863e-03
3.250000000000000000e+00 2.285999999999999943e+01 5.712000000000000455e+02 6.200000000000000649e-03
3.500000000000000000e+00 2.373000000000000043e+01 5.818999999999999773e+02 6.500000000000000569e-03
3.750000000000000000e+00 2.455999999999999872e+01 5.916000000000000227e+02 6.800000000000000488e-03
4.000000000000000000e+00 2.537000000000000099e+01 6.007000000000000455e+02 7.100000000000000408e-03
4.500000000000000000e+00 2.689999999999999858e+01 6.167999999999999545e+02 7.700000000000000247e-03
5.000000000000000000e+00 2.835999999999999943e+01 6.307999999999999545e+02 8.300000000000000086e-03
5.500000000000000000e+00 2.973999999999999844e+01 6.430000000000000000e+02 8.800000000000000530e-03
6.000000000000000000e+00 3.107000000000000028e+01 6.537999999999999545e+02 9.400000000000000369e-03
6.500000000000000000e+00 3.234000000000000341e+01 6.633999999999999773e+02 9.900000000000000813e-03
7.000000000000000000e+00 3.356000000000000227e+01 6.720000000000000000e+02 1.050000000000000065e-02
8.000000000000000000e+00 3.588000000000000256e+01 6.865000000000000000e+02 1.149999999999999981e-02
9.000000000000000000e+00 3.804999999999999716e+01 6.982999999999999545e+02 1.260000000000000009e-02
1.000000000000000000e+01 4.010999999999999943e+01 7.080000000000000000e+02 1.360000000000000098e-02
1.100000000000000000e+01 4.207000000000000028e+01 7.160000000000000000e+02 1.470000000000000126e-02
1.200000000000000000e+01 4.393999999999999773e+01 7.225000000000000000e+02 1.570000000000000215e-02
1.300000000000000000e+01 4.574000000000000199e+01 7.280000000000000000e+02 1.669999999999999957e-02
1.400000000000000000e+01 4.746000000000000085e+01 7.325000000000000000e+02 1.770000000000000046e-02
1.500000000000000000e+01 4.913000000000000256e+01 7.362000000000000455e+02 1.870000000000000134e-02
1.600000000000000000e+01 5.074000000000000199e+01 7.392000000000000455e+02 1.970000000000000223e-02
1.700000000000000000e+01 5.231000000000000227e+01 7.416000000000000227e+02 2.069999999999999965e-02
1.800000000000000000e+01 5.382000000000000028e+01 7.433999999999999773e+02 2.170000000000000054e-02
2.000000000000000000e+01 5.674000000000000199e+01 7.460000000000000000e+02 2.359999999999999945e-02
2.250000000000000000e+01 6.017999999999999972e+01 7.472000000000000455e+02 2.610000000000000167e-02
2.500000000000000000e+01 6.343999999999999773e+01 7.468999999999999773e+02 2.860000000000000042e-02
2.750000000000000000e+01 6.654000000000000625e+01 7.453999999999999773e+02 3.099999999999999978e-02
3.000000000000000000e+01 6.950000000000000000e+01 7.430000000000000000e+02 3.350000000000000200e-02
3.250000000000000000e+01 7.234000000000000341e+01 7.400000000000000000e+02 3.600000000000000422e-02
3.500000000000000000e+01 7.506999999999999318e+01 7.363999999999999773e+02 3.849999999999999950e-02
3.750000000000000000e+01 7.770999999999999375e+01 7.323999999999999773e+02 4.100000000000000172e-02
4.000000000000000000e+01 8.026000000000000512e+01 7.281000000000000227e+02 4.350000000000000394e-02
4.500000000000000000e+01 8.512999999999999545e+01 7.190000000000000000e+02 4.860000000000000431e-02
5.000000000000000000e+01 8.973999999999999488e+01 7.092000000000000455e+02 5.370000000000000467e-02
5.500000000000000000e+01 9.412999999999999545e+01 6.992999999999999545e+02 5.890000000000000097e-02
6.000000000000000000e+01 9.831999999999999318e+01 6.892000000000000455e+02 6.420000000000000706e-02
6.500000000000000000e+01 1.022999999999999972e+02 6.792000000000000455e+02 6.950000000000000622e-02
7.000000000000000000e+01 1.062000000000000028e+02 6.692999999999999545e+02 7.480000000000000537e-02
8.000000000000000000e+01 1.135000000000000000e+02 6.500000000000000000e+02 8.569999999999999840e-02
9.000000000000000000e+01 1.192000000000000028e+02 6.315000000000000000e+02 9.690000000000000002e-02
1.000000000000000000e+02 1.259000000000000057e+02 6.141000000000000227e+02 1.082000000000000045e-01
1.100000000000000000e+02 1.331999999999999886e+02 5.975000000000000000e+02 1.198000000000000037e-01
1.200000000000000000e+02 1.405999999999999943e+02 5.818999999999999773e+02 1.315000000000000058e-01
1.300000000000000000e+02 1.480999999999999943e+02 5.671000000000000227e+02 1.433999999999999997e-01
