# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 8.661999999999999700e-01 2.437000000000000099e+01 6.000000000000000559e-04
1.099989999999999996e-02 9.084999999999999742e-01 2.583999999999999986e+01 6.000000000000000559e-04
1.199990000000000084e-02 9.488999999999999657e-01 2.726000000000000156e+01 6.000000000000000559e-04
1.299990000000000000e-02 9.877000000000000224e-01 2.862000000000000099e+01 6.000000000000000559e-04
1.399990000000000089e-02 1.024999999999999911e+00 2.994000000000000128e+01 6.000000000000000559e-04
1.499990000000000004e-02 1.060999999999999943e+00 3.121000000000000085e+01 6.999999999999999929e-04
1.599990000000000093e-02 1.096000000000000085e+00 3.245000000000000284e+01 6.999999999999999929e-04
1.699990000000000182e-02 1.129000000000000004e+00 3.364999999999999858e+01 6.999999999999999929e-04
1.799989999999999923e-02 1.161999999999999922e+00 3.482000000000000028e+01 6.999999999999999929e-04
1.999990000000000101e-02 1.225000000000000089e+00 3.707000000000000028e+01 6.999999999999999929e-04
2.249989999999999976e-02 1.298999999999999932e+00 3.974000000000000199e+01 8.000000000000000383e-04
2.499990000000000198e-02 1.370000000000000107e+00 4.228000000000000114e+01 8.000000000000000383e-04
2.749990000000000073e-02 1.437000000000000055e+00 4.470000000000000284e+01 8.000000000000000383e-04
2.999989999999999948e-02 1.500000000000000000e+00 4.700999999999999801e+01 9.000000000000000838e-04
3.249989999999999823e-02 1.562000000000000055e+00 4.922999999999999687e+01 9.000000000000000838e-04
3.499990000000000046e-02 1.620999999999999996e+00 5.135999999999999943e+01 9.000000000000000838e-04
3.749989999999999574e-02 1.677000000000000046e+00 5.342999999999999972e+01 9.000000000000000838e-04
3.999989999999999796e-02 1.731999999999999984e+00 5.542000000000000171e+01 1.000000000000000021e-03
4.499989999999999546e-02 1.838000000000000078e+00 5.922999999999999687e+01 1.000000000000000021e-03
4.999989999999999990e-02 1.937000000000000055e+00 6.282000000000000028e+01 1.000000000000000021e-03
5.499989999999999740e-02 2.032000000000000028e+00 6.623000000000000398e+01 1.100000000000000066e-03
5.999989999999999490e-02 2.121999999999999886e+00 6.948000000000000398e+01 1.100000000000000066e-03
6.499989999999999934e-02 2.209000000000000075e+00 7.259000000000000341e+01 1.200000000000000112e-03
6.999990000000000379e-02 2.291999999999999815e+00 7.556999999999999318e+01 1.200000000000000112e-03
7.999989999999999879e-02 2.450000000000000178e+00 8.120999999999999375e+01 1.300000000000000157e-03
8.999989999999999379e-02 2.599000000000000199e+00 8.645999999999999375e+01 1.300000000000000157e-03
9.999990000000000268e-02 2.738999999999999879e+00 9.140000000000000568e+01 1.399999999999999986e-03
1.100000000000000006e-01 2.873000000000000220e+00 9.606000000000000227e+01 1.500000000000000031e-03
1.199999999999999956e-01 3.000999999999999890e+00 1.005000000000000000e+02 1.500000000000000031e-03
1.300000000000000044e-01 3.123000000000000220e+00 1.047000000000000028e+02 1.600000000000000077e-03
1.399989999999999846e-01 3.241000000000000103e+00 1.087000000000000028e+02 1.600000000000000077e-03
1.499989999999999934e-01 3.354999999999999982e+00 1.125999999999999943e+02 1.700000000000000122e-03
1.599990000000000023e-01 3.464999999999999858e+00 1.162999999999999972e+02 1.700000000000000122e-03
1.699990000000000112e-01 3.572000000000000064e+00 1.197999999999999972e+02 1.800000000000000168e-03
1.799989999999999923e-01 3.674999999999999822e+00 1.232000000000000028e+02 1.800000000000000168e-03
1.999990000000000101e-01 3.874000000000000110e+00 1.298000000000000114e+02 1.899999999999999996e-03
2.249990000000000046e-01 4.108999999999999986e+00 1.373000000000000114e+02 2.000000000000000042e-03
2.499989999999999990e-01 4.331000000000000405e+00 1.444000000000000057e+02 2.100000000000000304e-03
2.749990000000000490e-01 4.543000000000000149e+00 1.510000000000000000e+02 2.200000000000000133e-03
2.999990000000000157e-01 4.745000000000000107e+00 1.571999999999999886e+02 2.299999999999999961e-03
3.249990000000000379e-01 4.937999999999999723e+00 1.630999999999999943e+02 2.400000000000000223e-03
3.499990000000000046e-01 5.125000000000000000e+00 1.686999999999999886e+02 2.500000000000000052e-03
3.749990000000000268e-01 5.304999999999999716e+00 1.739000000000000057e+02 2.600000000000000314e-03
3.999990000000000490e-01 5.479000000000000092e+00 1.790000000000000000e+02 2.600000000000000314e-03
4.499990000000000379e-01 5.810999999999999943e+00 1.885000000000000000e+02 2.799999999999999972e-03
4.999990000000000268e-01 6.125000000000000000e+00 1.971999999999999886e+02 3.000000000000000062e-03
5.499990000000000157e-01 6.424000000000000377e+00 2.053000000000000114e+02 3.100000000000000325e-03
5.999990000000000601e-01 6.709999999999999964e+00 2.128000000000000114e+02 3.299999999999999982e-03
6.499989999999999934e-01 6.983999999999999986e+00 2.199000000000000057e+02 3.400000000000000244e-03
6.999990000000000379e-01 7.248000000000000220e+00 2.265999999999999943e+02 3.500000000000000073e-03
7.999990000000000157e-01 7.748000000000000220e+00 2.388000000000000114e+02 3.799999999999999992e-03
8.999989999999999934e-01 8.217999999999999972e+00 2.499000000000000057e+02 4.000000000000000083e-03
9.999990000000000823e-01 8.663000000000000256e+00 2.600000000000000000e+02 4.300000000000000003e-03
1.100000000000000089e+00 9.086000000000000298e+00 2.693000000000000114e+02 4.500000000000000527e-03
1.199999999999999956e+00 9.490000000000000213e+00 2.778999999999999773e+02 4.700000000000000185e-03
1.300000000000000044e+00 9.877000000000000668e+00 2.858999999999999773e+02 5.000000000000000104e-03
1.399999999999999911e+00 1.025000000000000000e+01 2.933000000000000114e+02 5.200000000000000629e-03
