# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.051000000000000156e+00 2.558999999999999986e+01 5.000000000000000104e-04
1.099989999999999996e-02 2.150999999999999801e+00 2.712000000000000099e+01 5.000000000000000104e-04
1.199990000000000084e-02 2.246999999999999886e+00 2.857999999999999829e+01 5.000000000000000104e-04
1.299990000000000000e-02 2.338000000000000078e+00 2.998000000000000043e+01 5.000000000000000104e-04
1.399990000000000089e-02 2.427000000000000046e+00 3.133999999999999986e+01 5.000000000000000104e-04
1.499990000000000004e-02 2.512000000000000011e+00 3.264999999999999858e+01 5.000000000000000104e-04
1.599990000000000093e-02 2.593999999999999861e+00 3.392999999999999972e+01 5.000000000000000104e-04
1.699990000000000182e-02 2.673999999999999932e+00 3.515999999999999659e+01 6.000000000000000559e-04
1.799989999999999923e-02 2.750999999999999890e+00 3.636999999999999744e+01 6.000000000000000559e-04
1.999990000000000101e-02 2.899999999999999911e+00 3.867999999999999972e+01 6.000000000000000559e-04
2.249989999999999976e-02 3.076000000000000068e+00 4.142000000000000171e+01 6.000000000000000559e-04
2.499990000000000198e-02 3.242999999999999883e+00 4.400999999999999801e+01 6.000000000000000559e-04
2.749990000000000073e-02 3.400999999999999801e+00 4.647999999999999687e+01 6.999999999999999929e-04
2.999989999999999948e-02 3.552000000000000046e+00 4.884000000000000341e+01 6.999999999999999929e-04
3.249989999999999823e-02 3.697000000000000064e+00 5.110999999999999943e+01 6.999999999999999929e-04
3.499990000000000046e-02 3.837000000000000188e+00 5.328000000000000114e+01 6.999999999999999929e-04
3.749989999999999574e-02 3.971000000000000085e+00 5.538000000000000256e+01 8.000000000000000383e-04
3.999989999999999796e-02 4.102000000000000313e+00 5.739999999999999858e+01 8.000000000000000383e-04
4.499989999999999546e-02 4.349999999999999645e+00 6.125999999999999801e+01 8.000000000000000383e-04
4.999989999999999990e-02 4.586000000000000298e+00 6.489000000000000057e+01 9.000000000000000838e-04
5.499989999999999740e-02 4.809999999999999609e+00 6.834000000000000341e+01 9.000000000000000838e-04
5.999989999999999490e-02 5.022999999999999687e+00 7.162000000000000455e+01 9.000000000000000838e-04
6.499989999999999934e-02 5.229000000000000092e+00 7.475000000000000000e+01 1.000000000000000021e-03
6.999990000000000379e-02 5.426000000000000156e+00 7.773999999999999488e+01 1.000000000000000021e-03
7.999989999999999879e-02 5.801000000000000156e+00 8.339000000000000057e+01 1.100000000000000066e-03
8.999989999999999379e-02 6.152000000000000135e+00 8.865000000000000568e+01 1.100000000000000066e-03
9.999990000000000268e-02 6.485000000000000320e+00 9.356999999999999318e+01 1.200000000000000112e-03
1.100000000000000006e-01 6.801999999999999602e+00 9.820999999999999375e+01 1.200000000000000112e-03
1.199999999999999956e-01 7.104000000000000092e+00 1.025999999999999943e+02 1.300000000000000157e-03
1.300000000000000044e-01 7.394000000000000128e+00 1.067999999999999972e+02 1.300000000000000157e-03
1.399989999999999846e-01 7.673000000000000043e+00 1.107000000000000028e+02 1.399999999999999986e-03
1.499989999999999934e-01 7.942999999999999616e+00 1.145000000000000000e+02 1.399999999999999986e-03
1.599990000000000023e-01 8.202999999999999403e+00 1.182000000000000028e+02 1.500000000000000031e-03
