# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.209999999999999964e+00 2.364999999999999858e+01 5.000000000000000104e-04
1.099989999999999996e-02 1.270000000000000018e+00 2.505999999999999872e+01 6.000000000000000559e-04
1.199990000000000084e-02 1.326000000000000068e+00 2.639999999999999858e+01 6.000000000000000559e-04
1.299990000000000000e-02 1.379999999999999893e+00 2.769999999999999929e+01 6.000000000000000559e-04
1.399990000000000089e-02 1.431999999999999940e+00 2.896000000000000085e+01 6.000000000000000559e-04
1.499990000000000004e-02 1.483000000000000096e+00 3.017000000000000171e+01 6.000000000000000559e-04
1.599990000000000093e-02 1.530999999999999917e+00 3.135000000000000142e+01 6.000000000000000559e-04
1.699990000000000182e-02 1.578000000000000069e+00 3.249000000000000199e+01 6.999999999999999929e-04
1.799989999999999923e-02 1.624000000000000110e+00 3.360000000000000142e+01 6.999999999999999929e-04
1.999990000000000101e-02 1.711999999999999966e+00 3.574000000000000199e+01 6.999999999999999929e-04
2.249989999999999976e-02 1.816000000000000059e+00 3.827000000000000313e+01 6.999999999999999929e-04
2.499990000000000198e-02 1.913999999999999924e+00 4.067000000000000171e+01 8.000000000000000383e-04
2.749990000000000073e-02 2.007000000000000117e+00 4.295000000000000284e+01 8.000000000000000383e-04
2.999989999999999948e-02 2.096999999999999975e+00 4.513000000000000256e+01 8.000000000000000383e-04
3.249989999999999823e-02 2.181999999999999940e+00 4.721000000000000085e+01 9.000000000000000838e-04
3.499990000000000046e-02 2.265000000000000124e+00 4.921999999999999886e+01 9.000000000000000838e-04
3.749989999999999574e-02 2.343999999999999861e+00 5.115999999999999659e+01 9.000000000000000838e-04
3.999989999999999796e-02 2.420999999999999819e+00 5.303000000000000114e+01 9.000000000000000838e-04
4.499989999999999546e-02 2.568000000000000060e+00 5.659000000000000341e+01 1.000000000000000021e-03
4.999989999999999990e-02 2.706999999999999851e+00 5.995000000000000284e+01 1.000000000000000021e-03
5.499989999999999740e-02 2.838999999999999968e+00 6.313000000000000256e+01 1.100000000000000066e-03
5.999989999999999490e-02 2.964999999999999858e+00 6.615999999999999659e+01 1.100000000000000066e-03
6.499989999999999934e-02 3.085999999999999854e+00 6.904999999999999716e+01 1.100000000000000066e-03
6.999990000000000379e-02 3.202999999999999847e+00 7.181999999999999318e+01 1.200000000000000112e-03
7.999989999999999879e-02 3.423999999999999932e+00 7.703000000000000114e+01 1.200000000000000112e-03
8.999989999999999379e-02 3.632000000000000117e+00 8.187999999999999545e+01 1.300000000000000157e-03
9.999990000000000268e-02 3.827999999999999847e+00 8.643000000000000682e+01 1.399999999999999986e-03
1.100000000000000006e-01 4.014999999999999680e+00 9.070999999999999375e+01 1.399999999999999986e-03
1.199999999999999956e-01 4.192999999999999616e+00 9.476999999999999602e+01 1.500000000000000031e-03
1.300000000000000044e-01 4.365000000000000213e+00 9.862000000000000455e+01 1.500000000000000031e-03
1.399989999999999846e-01 4.528999999999999915e+00 1.022999999999999972e+02 1.600000000000000077e-03
1.499989999999999934e-01 4.687999999999999723e+00 1.057999999999999972e+02 1.600000000000000077e-03
1.599990000000000023e-01 4.841999999999999638e+00 1.092000000000000028e+02 1.700000000000000122e-03
1.699990000000000112e-01 4.990999999999999659e+00 1.124000000000000057e+02 1.700000000000000122e-03
1.799989999999999923e-01 5.136000000000000121e+00 1.155000000000000000e+02 1.800000000000000168e-03
1.999990000000000101e-01 5.413999999999999702e+00 1.214000000000000057e+02 1.899999999999999996e-03
2.249990000000000046e-01 5.741999999999999993e+00 1.281999999999999886e+02 2.000000000000000042e-03
2.499989999999999990e-01 6.052999999999999936e+00 1.345999999999999943e+02 2.100000000000000304e-03
2.749990000000000490e-01 6.347999999999999865e+00 1.405000000000000000e+02 2.200000000000000133e-03
2.999990000000000157e-01 6.629999999999999893e+00 1.460999999999999943e+02 2.299999999999999961e-03
3.249990000000000379e-01 6.900999999999999801e+00 1.513000000000000114e+02 2.400000000000000223e-03
