# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.763999999999999790e+00 5.102000000000000313e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.899000000000000021e+00 5.417000000000000171e+01 3.000000000000000279e-04
1.199990000000000084e-02 3.028000000000000025e+00 5.718999999999999773e+01 3.000000000000000279e-04
1.299990000000000000e-02 3.150999999999999801e+00 6.011999999999999744e+01 3.000000000000000279e-04
1.399990000000000089e-02 3.270000000000000018e+00 6.293999999999999773e+01 4.000000000000000192e-04
1.499990000000000004e-02 3.384999999999999787e+00 6.568999999999999773e+01 4.000000000000000192e-04
1.599990000000000093e-02 3.495999999999999996e+00 6.834999999999999432e+01 4.000000000000000192e-04
1.699990000000000182e-02 3.604000000000000092e+00 7.093999999999999773e+01 4.000000000000000192e-04
1.799989999999999923e-02 3.708000000000000185e+00 7.346999999999999886e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.908999999999999808e+00 7.834000000000000341e+01 4.000000000000000192e-04
2.249989999999999976e-02 4.145999999999999908e+00 8.412999999999999545e+01 4.000000000000000192e-04
2.499990000000000198e-02 4.370000000000000107e+00 8.962999999999999545e+01 4.000000000000000192e-04
2.749990000000000073e-02 4.583000000000000185e+00 9.489000000000000057e+01 5.000000000000000104e-04
2.999989999999999948e-02 4.786999999999999922e+00 9.993999999999999773e+01 5.000000000000000104e-04
3.249989999999999823e-02 4.982999999999999652e+00 1.047999999999999972e+02 5.000000000000000104e-04
3.499990000000000046e-02 5.171000000000000263e+00 1.095000000000000000e+02 5.000000000000000104e-04
3.749989999999999574e-02 5.352000000000000313e+00 1.140000000000000000e+02 5.000000000000000104e-04
3.999989999999999796e-02 5.527999999999999581e+00 1.184000000000000057e+02 5.000000000000000104e-04
4.499989999999999546e-02 5.863000000000000433e+00 1.267000000000000028e+02 6.000000000000000559e-04
4.999989999999999990e-02 6.179999999999999716e+00 1.346999999999999886e+02 6.000000000000000559e-04
5.499989999999999740e-02 6.482000000000000206e+00 1.421999999999999886e+02 6.000000000000000559e-04
5.999989999999999490e-02 6.769999999999999574e+00 1.494000000000000057e+02 6.000000000000000559e-04
6.499989999999999934e-02 7.046000000000000263e+00 1.564000000000000057e+02 6.999999999999999929e-04
6.999990000000000379e-02 7.312000000000000277e+00 1.630000000000000000e+02 6.999999999999999929e-04
7.999989999999999879e-02 7.817000000000000171e+00 1.755999999999999943e+02 6.999999999999999929e-04
8.999989999999999379e-02 8.291000000000000369e+00 1.874000000000000057e+02 6.999999999999999929e-04
9.999990000000000268e-02 8.740000000000000213e+00 1.985000000000000000e+02 8.000000000000000383e-04
1.100000000000000006e-01 9.166999999999999815e+00 2.090000000000000000e+02 8.000000000000000383e-04
1.199999999999999956e-01 9.573999999999999844e+00 2.190000000000000000e+02 8.000000000000000383e-04
1.300000000000000044e-01 9.964999999999999858e+00 2.285999999999999943e+02 9.000000000000000838e-04
1.399989999999999846e-01 1.033999999999999986e+01 2.378000000000000114e+02 9.000000000000000838e-04
1.499989999999999934e-01 1.069999999999999929e+01 2.465999999999999943e+02 9.000000000000000838e-04
1.599990000000000023e-01 1.106000000000000050e+01 2.550000000000000000e+02 1.000000000000000021e-03
1.699990000000000112e-01 1.140000000000000036e+01 2.631999999999999886e+02 1.000000000000000021e-03
1.799989999999999923e-01 1.173000000000000043e+01 2.711000000000000227e+02 1.000000000000000021e-03
1.999990000000000101e-01 1.235999999999999943e+01 2.861000000000000227e+02 1.000000000000000021e-03
2.249990000000000046e-01 1.310999999999999943e+01 3.036999999999999886e+02 1.100000000000000066e-03
2.499989999999999990e-01 1.382000000000000028e+01 3.201000000000000227e+02 1.200000000000000112e-03
2.749990000000000490e-01 1.449000000000000021e+01 3.356000000000000227e+02 1.200000000000000112e-03
2.999990000000000157e-01 1.514000000000000057e+01 3.501999999999999886e+02 1.300000000000000157e-03
3.249990000000000379e-01 1.575999999999999979e+01 3.640000000000000000e+02 1.300000000000000157e-03
3.499990000000000046e-01 1.635000000000000142e+01 3.771999999999999886e+02 1.300000000000000157e-03
3.749990000000000268e-01 1.692000000000000171e+01 3.896999999999999886e+02 1.399999999999999986e-03
3.999990000000000490e-01 1.748000000000000043e+01 4.016999999999999886e+02 1.399999999999999986e-03
4.499990000000000379e-01 1.853999999999999915e+01 4.243999999999999773e+02 1.500000000000000031e-03
4.999990000000000268e-01 1.953999999999999915e+01 4.453000000000000114e+02 1.600000000000000077e-03
5.499990000000000157e-01 2.050000000000000000e+01 4.648999999999999773e+02 1.700000000000000122e-03
5.999990000000000601e-01 2.141000000000000014e+01 4.831999999999999886e+02 1.700000000000000122e-03
6.499989999999999934e-01 2.228000000000000114e+01 5.005000000000000000e+02 1.800000000000000168e-03
6.999990000000000379e-01 2.312000000000000099e+01 5.168999999999999773e+02 1.899999999999999996e-03
7.999990000000000157e-01 2.471999999999999886e+01 5.471000000000000227e+02 2.000000000000000042e-03
8.999989999999999934e-01 2.621999999999999886e+01 5.747000000000000455e+02 2.100000000000000304e-03
9.999990000000000823e-01 2.764000000000000057e+01 6.000000000000000000e+02 2.200000000000000133e-03
1.100000000000000089e+00 2.898999999999999844e+01 6.233999999999999773e+02 2.400000000000000223e-03
1.199999999999999956e+00 3.028000000000000114e+01 6.451000000000000227e+02 2.500000000000000052e-03
1.300000000000000044e+00 3.151000000000000156e+01 6.653999999999999773e+02 2.600000000000000314e-03
