# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.042000000000000037e+00 5.160000000000000142e+00 5.000000000000000104e-04
1.099989999999999996e-02 1.092999999999999972e+00 5.277999999999999581e+00 6.000000000000000559e-04
1.199990000000000084e-02 1.141999999999999904e+00 5.384000000000000341e+00 6.000000000000000559e-04
1.299990000000000000e-02 1.187999999999999945e+00 5.479000000000000092e+00 6.000000000000000559e-04
1.399990000000000089e-02 1.233000000000000096e+00 5.565999999999999837e+00 6.999999999999999929e-04
1.499990000000000004e-02 1.276000000000000023e+00 5.644000000000000128e+00 6.999999999999999929e-04
1.599990000000000093e-02 1.318000000000000060e+00 5.716000000000000192e+00 6.999999999999999929e-04
1.699990000000000182e-02 1.358999999999999986e+00 5.782000000000000028e+00 8.000000000000000383e-04
1.799989999999999923e-02 1.397999999999999909e+00 5.842999999999999972e+00 8.000000000000000383e-04
1.999990000000000101e-02 1.473999999999999977e+00 5.950999999999999623e+00 9.000000000000000838e-04
2.249989999999999976e-02 1.562999999999999945e+00 6.065000000000000391e+00 9.000000000000000838e-04
2.499990000000000198e-02 1.647999999999999909e+00 6.160999999999999588e+00 1.000000000000000021e-03
2.749990000000000073e-02 1.727999999999999980e+00 6.240999999999999659e+00 1.100000000000000066e-03
2.999989999999999948e-02 1.804999999999999938e+00 6.309999999999999609e+00 1.200000000000000112e-03
3.249989999999999823e-02 1.879000000000000004e+00 6.368000000000000327e+00 1.200000000000000112e-03
3.499990000000000046e-02 1.949999999999999956e+00 6.416999999999999815e+00 1.300000000000000157e-03
3.749989999999999574e-02 2.017999999999999794e+00 6.459999999999999964e+00 1.399999999999999986e-03
3.999989999999999796e-02 2.084000000000000075e+00 6.496000000000000441e+00 1.399999999999999986e-03
4.499989999999999546e-02 2.210999999999999854e+00 6.552999999999999936e+00 1.600000000000000077e-03
4.999989999999999990e-02 2.330000000000000071e+00 6.594999999999999751e+00 1.700000000000000122e-03
