# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.379000000000000004e+00 3.786999999999999922e+00 5.000000000000000104e-04
1.099989999999999996e-02 1.445999999999999952e+00 3.884999999999999787e+00 5.000000000000000104e-04
1.199990000000000084e-02 1.510999999999999899e+00 3.974000000000000199e+00 5.000000000000000104e-04
1.299990000000000000e-02 1.572000000000000064e+00 4.054999999999999716e+00 6.000000000000000559e-04
1.399990000000000089e-02 1.631999999999999895e+00 4.128999999999999559e+00 6.000000000000000559e-04
1.499990000000000004e-02 1.689000000000000057e+00 4.197000000000000064e+00 6.000000000000000559e-04
1.599990000000000093e-02 1.743999999999999995e+00 4.261000000000000121e+00 6.999999999999999929e-04
1.699990000000000182e-02 1.798000000000000043e+00 4.318999999999999950e+00 6.999999999999999929e-04
1.799989999999999923e-02 1.850000000000000089e+00 4.373000000000000220e+00 6.999999999999999929e-04
1.999990000000000101e-02 1.949999999999999956e+00 4.472000000000000419e+00 8.000000000000000383e-04
2.249989999999999976e-02 2.068000000000000060e+00 4.578000000000000291e+00 8.000000000000000383e-04
2.499990000000000198e-02 2.180000000000000160e+00 4.668999999999999595e+00 9.000000000000000838e-04
2.749990000000000073e-02 2.286999999999999922e+00 4.748000000000000220e+00 1.000000000000000021e-03
2.999989999999999948e-02 2.387999999999999901e+00 4.817999999999999616e+00 1.000000000000000021e-03
3.249989999999999823e-02 2.486000000000000210e+00 4.878999999999999559e+00 1.100000000000000066e-03
3.499990000000000046e-02 2.580000000000000071e+00 4.932999999999999829e+00 1.100000000000000066e-03
3.749989999999999574e-02 2.669999999999999929e+00 4.980000000000000426e+00 1.200000000000000112e-03
3.999989999999999796e-02 2.758000000000000007e+00 5.022999999999999687e+00 1.200000000000000112e-03
4.499989999999999546e-02 2.924999999999999822e+00 5.096000000000000085e+00 1.399999999999999986e-03
4.999989999999999990e-02 3.083000000000000185e+00 5.153999999999999915e+00 1.500000000000000031e-03
5.499989999999999740e-02 3.233999999999999986e+00 5.200999999999999623e+00 1.600000000000000077e-03
5.999989999999999490e-02 3.378000000000000114e+00 5.238999999999999879e+00 1.700000000000000122e-03
6.499989999999999934e-02 3.516000000000000014e+00 5.269999999999999574e+00 1.800000000000000168e-03
6.999990000000000379e-02 3.648000000000000131e+00 5.296000000000000263e+00 1.899999999999999996e-03
7.999989999999999879e-02 3.899999999999999911e+00 5.331999999999999851e+00 2.100000000000000304e-03
8.999989999999999379e-02 4.136999999999999567e+00 5.352999999999999758e+00 2.299999999999999961e-03
9.999990000000000268e-02 4.360999999999999766e+00 5.363999999999999879e+00 2.500000000000000052e-03
1.100000000000000006e-01 4.573999999999999844e+00 5.368000000000000327e+00 2.700000000000000143e-03
1.199999999999999956e-01 4.777000000000000135e+00 5.365000000000000213e+00 2.900000000000000234e-03
1.300000000000000044e-01 4.972000000000000419e+00 5.357999999999999652e+00 3.100000000000000325e-03
1.399989999999999846e-01 5.160000000000000142e+00 5.347000000000000419e+00 3.299999999999999982e-03
1.499989999999999934e-01 5.341000000000000192e+00 5.333000000000000185e+00 3.500000000000000073e-03
1.599990000000000023e-01 5.516000000000000014e+00 5.317000000000000171e+00 3.700000000000000164e-03
1.699990000000000112e-01 5.685999999999999943e+00 5.299999999999999822e+00 3.900000000000000255e-03
1.799989999999999923e-01 5.849999999999999645e+00 5.280000000000000249e+00 4.100000000000000346e-03
1.999990000000000101e-01 6.166999999999999815e+00 5.238999999999999879e+00 4.500000000000000527e-03
2.249990000000000046e-01 6.541000000000000369e+00 5.184000000000000163e+00 5.000000000000000104e-03
2.499989999999999990e-01 6.894999999999999574e+00 5.126999999999999780e+00 5.500000000000000548e-03
2.749990000000000490e-01 7.230999999999999872e+00 5.068999999999999950e+00 6.000000000000000125e-03
2.999990000000000157e-01 7.552999999999999936e+00 5.009999999999999787e+00 6.500000000000000569e-03
3.249990000000000379e-01 7.860999999999999766e+00 4.953000000000000291e+00 7.000000000000000146e-03
3.499990000000000046e-01 8.157999999999999474e+00 4.895999999999999908e+00 7.500000000000000590e-03
3.749990000000000268e-01 8.444000000000000838e+00 4.839999999999999858e+00 8.099999999999999561e-03
3.999990000000000490e-01 8.721000000000000085e+00 4.785000000000000142e+00 8.600000000000000006e-03
4.499990000000000379e-01 9.250000000000000000e+00 4.679999999999999716e+00 9.600000000000000894e-03
4.999990000000000268e-01 9.750999999999999446e+00 4.578999999999999737e+00 1.060000000000000005e-02
5.499990000000000157e-01 1.023000000000000043e+01 4.483999999999999986e+00 1.160000000000000094e-02
5.999990000000000601e-01 1.067999999999999972e+01 4.392999999999999794e+00 1.260000000000000009e-02
6.499989999999999934e-01 1.111999999999999922e+01 4.307000000000000384e+00 1.360000000000000098e-02
6.999990000000000379e-01 1.153999999999999915e+01 4.224000000000000199e+00 1.470000000000000126e-02
7.999990000000000157e-01 1.233000000000000007e+01 4.072000000000000064e+00 1.669999999999999957e-02
8.999989999999999934e-01 1.308000000000000007e+01 3.932999999999999829e+00 1.880000000000000074e-02
9.999990000000000823e-01 1.378999999999999915e+01 3.805000000000000160e+00 2.090000000000000191e-02
1.100000000000000089e+00 1.446000000000000085e+01 3.688000000000000167e+00 2.299999999999999961e-02
1.199999999999999956e+00 1.510999999999999943e+01 3.580000000000000071e+00 2.510000000000000078e-02
1.300000000000000044e+00 1.572000000000000064e+01 3.479000000000000092e+00 2.720000000000000195e-02
1.399999999999999911e+00 1.632000000000000028e+01 3.386000000000000121e+00 2.930000000000000313e-02
1.500000000000000000e+00 1.689000000000000057e+01 3.298999999999999932e+00 3.140000000000000430e-02
1.600000000000000089e+00 1.744000000000000128e+01 3.217000000000000082e+00 3.350000000000000200e-02
1.699999999999999956e+00 1.798000000000000043e+01 3.140000000000000124e+00 3.559999999999999970e-02
1.800000000000000044e+00 1.850000000000000000e+01 3.068000000000000060e+00 3.770000000000000434e-02
