# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.457999999999999963e+00 3.891000000000000014e+00 4.000000000000000192e-04
1.099989999999999996e-02 1.528999999999999915e+00 3.994000000000000217e+00 4.000000000000000192e-04
1.199990000000000084e-02 1.596999999999999975e+00 4.086999999999999744e+00 5.000000000000000104e-04
1.299990000000000000e-02 1.661999999999999922e+00 4.171999999999999709e+00 5.000000000000000104e-04
1.399990000000000089e-02 1.725000000000000089e+00 4.250000000000000000e+00 5.000000000000000104e-04
1.499990000000000004e-02 1.784999999999999920e+00 4.322000000000000064e+00 5.000000000000000104e-04
1.599990000000000093e-02 1.844000000000000083e+00 4.387999999999999901e+00 6.000000000000000559e-04
1.699990000000000182e-02 1.899999999999999911e+00 4.450000000000000178e+00 6.000000000000000559e-04
1.799989999999999923e-02 1.955999999999999961e+00 4.508000000000000007e+00 6.000000000000000559e-04
1.999990000000000101e-02 2.060999999999999943e+00 4.612000000000000099e+00 6.999999999999999929e-04
2.249989999999999976e-02 2.185999999999999943e+00 4.724000000000000199e+00 6.999999999999999929e-04
2.499990000000000198e-02 2.305000000000000160e+00 4.822000000000000064e+00 8.000000000000000383e-04
2.749990000000000073e-02 2.416999999999999815e+00 4.905999999999999694e+00 8.000000000000000383e-04
2.999989999999999948e-02 2.524999999999999911e+00 4.980999999999999872e+00 9.000000000000000838e-04
3.249989999999999823e-02 2.628000000000000114e+00 5.046999999999999709e+00 9.000000000000000838e-04
3.499990000000000046e-02 2.726999999999999869e+00 5.105000000000000426e+00 1.000000000000000021e-03
3.749989999999999574e-02 2.822999999999999954e+00 5.157000000000000028e+00 1.000000000000000021e-03
3.999989999999999796e-02 2.915000000000000036e+00 5.203999999999999737e+00 1.100000000000000066e-03
4.499989999999999546e-02 3.092000000000000082e+00 5.283000000000000362e+00 1.100000000000000066e-03
4.999989999999999990e-02 3.258999999999999897e+00 5.347999999999999865e+00 1.200000000000000112e-03
5.499989999999999740e-02 3.418000000000000149e+00 5.400999999999999801e+00 1.300000000000000157e-03
5.999989999999999490e-02 3.569999999999999840e+00 5.445000000000000284e+00 1.399999999999999986e-03
6.499989999999999934e-02 3.716000000000000192e+00 5.480999999999999872e+00 1.500000000000000031e-03
6.999990000000000379e-02 3.855999999999999872e+00 5.511000000000000121e+00 1.600000000000000077e-03
7.999989999999999879e-02 4.123000000000000220e+00 5.554999999999999716e+00 1.800000000000000168e-03
8.999989999999999379e-02 4.373000000000000220e+00 5.583999999999999631e+00 1.899999999999999996e-03
9.999990000000000268e-02 4.608999999999999986e+00 5.602000000000000313e+00 2.100000000000000304e-03
1.100000000000000006e-01 4.833999999999999631e+00 5.610999999999999766e+00 2.299999999999999961e-03
1.199999999999999956e-01 5.049000000000000377e+00 5.613999999999999879e+00 2.400000000000000223e-03
1.300000000000000044e-01 5.254999999999999893e+00 5.610999999999999766e+00 2.600000000000000314e-03
1.399989999999999846e-01 5.453999999999999737e+00 5.605000000000000426e+00 2.799999999999999972e-03
1.499989999999999934e-01 5.644999999999999574e+00 5.594999999999999751e+00 2.900000000000000234e-03
1.599990000000000023e-01 5.830000000000000071e+00 5.583000000000000185e+00 3.100000000000000325e-03
1.699990000000000112e-01 6.009999999999999787e+00 5.567999999999999616e+00 3.299999999999999982e-03
1.799989999999999923e-01 6.184000000000000163e+00 5.551999999999999602e+00 3.400000000000000244e-03
1.999990000000000101e-01 6.517999999999999794e+00 5.517000000000000348e+00 3.799999999999999992e-03
2.249990000000000046e-01 6.913999999999999702e+00 5.466999999999999638e+00 4.200000000000000608e-03
2.499989999999999990e-01 7.288000000000000256e+00 5.415000000000000036e+00 4.599999999999999922e-03
2.749990000000000490e-01 7.644000000000000128e+00 5.360999999999999766e+00 5.000000000000000104e-03
2.999990000000000157e-01 7.982999999999999652e+00 5.307000000000000384e+00 5.400000000000000286e-03
3.249990000000000379e-01 8.308999999999999275e+00 5.251999999999999780e+00 5.800000000000000468e-03
3.499990000000000046e-01 8.622999999999999332e+00 5.198000000000000398e+00 6.200000000000000649e-03
