# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.675000000000000044e+00 2.351999999999999869e+00 4.000000000000000192e-04
1.099989999999999996e-02 1.756999999999999895e+00 2.431999999999999940e+00 5.000000000000000104e-04
1.199990000000000084e-02 1.834999999999999964e+00 2.505999999999999783e+00 5.000000000000000104e-04
1.299990000000000000e-02 1.909999999999999920e+00 2.575000000000000178e+00 5.000000000000000104e-04
1.399990000000000089e-02 1.981999999999999984e+00 2.637999999999999901e+00 5.000000000000000104e-04
1.499990000000000004e-02 2.052000000000000046e+00 2.697999999999999954e+00 6.000000000000000559e-04
1.599990000000000093e-02 2.119000000000000217e+00 2.754000000000000004e+00 6.000000000000000559e-04
1.699990000000000182e-02 2.184000000000000163e+00 2.806999999999999940e+00 6.000000000000000559e-04
1.799989999999999923e-02 2.246999999999999886e+00 2.857000000000000206e+00 6.000000000000000559e-04
1.999990000000000101e-02 2.369000000000000217e+00 2.947999999999999954e+00 6.999999999999999929e-04
2.249989999999999976e-02 2.512999999999999901e+00 3.051000000000000156e+00 6.999999999999999929e-04
2.499990000000000198e-02 2.649000000000000021e+00 3.141999999999999904e+00 8.000000000000000383e-04
2.749990000000000073e-02 2.778000000000000025e+00 3.224000000000000199e+00 8.000000000000000383e-04
2.999989999999999948e-02 2.900999999999999801e+00 3.298000000000000043e+00 9.000000000000000838e-04
3.249989999999999823e-02 3.020000000000000018e+00 3.366000000000000103e+00 9.000000000000000838e-04
3.499990000000000046e-02 3.133999999999999897e+00 3.427000000000000046e+00 1.000000000000000021e-03
3.749989999999999574e-02 3.244000000000000217e+00 3.483999999999999986e+00 1.000000000000000021e-03
3.999989999999999796e-02 3.350000000000000089e+00 3.536999999999999922e+00 1.100000000000000066e-03
4.499989999999999546e-02 3.553999999999999826e+00 3.629999999999999893e+00 1.200000000000000112e-03
4.999989999999999990e-02 3.745999999999999996e+00 3.712000000000000188e+00 1.300000000000000157e-03
5.499989999999999740e-02 3.928999999999999826e+00 3.782999999999999918e+00 1.399999999999999986e-03
5.999989999999999490e-02 4.102999999999999758e+00 3.846000000000000085e+00 1.500000000000000031e-03
6.499989999999999934e-02 4.270999999999999908e+00 3.902000000000000135e+00 1.500000000000000031e-03
6.999990000000000379e-02 4.432000000000000384e+00 3.951999999999999957e+00 1.600000000000000077e-03
7.999989999999999879e-02 4.738000000000000433e+00 4.036999999999999922e+00 1.800000000000000168e-03
8.999989999999999379e-02 5.025999999999999801e+00 4.107000000000000206e+00 2.000000000000000042e-03
9.999990000000000268e-02 5.296999999999999709e+00 4.163999999999999702e+00 2.200000000000000133e-03
1.100000000000000006e-01 5.556000000000000050e+00 4.211999999999999744e+00 2.299999999999999961e-03
1.199999999999999956e-01 5.802999999999999936e+00 4.251000000000000334e+00 2.500000000000000052e-03
1.300000000000000044e-01 6.040000000000000036e+00 4.283999999999999808e+00 2.700000000000000143e-03
1.399989999999999846e-01 6.267999999999999794e+00 4.312000000000000277e+00 2.799999999999999972e-03
1.499989999999999934e-01 6.488000000000000433e+00 4.334999999999999964e+00 3.000000000000000062e-03
1.599990000000000023e-01 6.700999999999999623e+00 4.354000000000000092e+00 3.200000000000000153e-03
1.699990000000000112e-01 6.907000000000000028e+00 4.370000000000000107e+00 3.400000000000000244e-03
1.799989999999999923e-01 7.107000000000000206e+00 4.383000000000000007e+00 3.500000000000000073e-03
1.999990000000000101e-01 7.491999999999999993e+00 4.400999999999999801e+00 3.900000000000000255e-03
2.249990000000000046e-01 7.945999999999999730e+00 4.413999999999999702e+00 4.300000000000000003e-03
2.499989999999999990e-01 8.375999999999999446e+00 4.416999999999999815e+00 4.700000000000000185e-03
2.749990000000000490e-01 8.785000000000000142e+00 4.413000000000000256e+00 5.100000000000000366e-03
2.999990000000000157e-01 9.175000000000000711e+00 4.403999999999999915e+00 5.500000000000000548e-03
3.249990000000000379e-01 9.550000000000000711e+00 4.391000000000000014e+00 5.899999999999999863e-03
3.499990000000000046e-01 9.910000000000000142e+00 4.375000000000000000e+00 6.300000000000000044e-03
3.749990000000000268e-01 1.025999999999999979e+01 4.355999999999999872e+00 6.800000000000000488e-03
3.999990000000000490e-01 1.058999999999999986e+01 4.336000000000000298e+00 7.200000000000000670e-03
4.499990000000000379e-01 1.124000000000000021e+01 4.291000000000000369e+00 8.000000000000000167e-03
4.999990000000000268e-01 1.184999999999999964e+01 4.241999999999999993e+00 8.899999999999999925e-03
5.499990000000000157e-01 1.241999999999999993e+01 4.192000000000000171e+00 9.700000000000000289e-03
5.999990000000000601e-01 1.298000000000000043e+01 4.139999999999999680e+00 1.060000000000000005e-02
6.499989999999999934e-01 1.350999999999999979e+01 4.088000000000000078e+00 1.140000000000000041e-02
