# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.338999999999999968e+00 2.754999999999999893e+00 6.999999999999999929e-04
1.099989999999999996e-02 1.403999999999999915e+00 2.821000000000000174e+00 6.999999999999999929e-04
1.199990000000000084e-02 1.465999999999999970e+00 2.879999999999999893e+00 8.000000000000000383e-04
1.299990000000000000e-02 1.526000000000000023e+00 2.934000000000000163e+00 8.000000000000000383e-04
1.399990000000000089e-02 1.584000000000000075e+00 2.983999999999999986e+00 9.000000000000000838e-04
1.499990000000000004e-02 1.639999999999999902e+00 3.028000000000000025e+00 9.000000000000000838e-04
1.599990000000000093e-02 1.693000000000000060e+00 3.069999999999999840e+00 9.000000000000000838e-04
1.699990000000000182e-02 1.745000000000000107e+00 3.108000000000000096e+00 1.000000000000000021e-03
1.799989999999999923e-02 1.796000000000000041e+00 3.142999999999999794e+00 1.000000000000000021e-03
1.999990000000000101e-02 1.893000000000000016e+00 3.205999999999999961e+00 1.100000000000000066e-03
2.249989999999999976e-02 2.008000000000000007e+00 3.274000000000000021e+00 1.200000000000000112e-03
2.499990000000000198e-02 2.116999999999999993e+00 3.330999999999999961e+00 1.300000000000000157e-03
2.749990000000000073e-02 2.220000000000000195e+00 3.379999999999999893e+00 1.300000000000000157e-03
2.999989999999999948e-02 2.318999999999999950e+00 3.423000000000000043e+00 1.399999999999999986e-03
3.249989999999999823e-02 2.412999999999999812e+00 3.459000000000000075e+00 1.500000000000000031e-03
3.499990000000000046e-02 2.504000000000000004e+00 3.491000000000000103e+00 1.600000000000000077e-03
3.749989999999999574e-02 2.592000000000000082e+00 3.519000000000000128e+00 1.700000000000000122e-03
3.999989999999999796e-02 2.677000000000000046e+00 3.543000000000000149e+00 1.700000000000000122e-03
4.499989999999999546e-02 2.839999999999999858e+00 3.584000000000000075e+00 1.899999999999999996e-03
4.999989999999999990e-02 2.992999999999999883e+00 3.615000000000000213e+00 2.100000000000000304e-03
5.499989999999999740e-02 3.138999999999999790e+00 3.638999999999999790e+00 2.200000000000000133e-03
5.999989999999999490e-02 3.278999999999999915e+00 3.657000000000000028e+00 2.299999999999999961e-03
6.499989999999999934e-02 3.412999999999999812e+00 3.670999999999999819e+00 2.500000000000000052e-03
6.999990000000000379e-02 3.541999999999999815e+00 3.681000000000000050e+00 2.600000000000000314e-03
7.999989999999999879e-02 3.786000000000000032e+00 3.692000000000000171e+00 2.900000000000000234e-03
8.999989999999999379e-02 4.016000000000000014e+00 3.694999999999999840e+00 3.200000000000000153e-03
9.999990000000000268e-02 4.232999999999999652e+00 3.692000000000000171e+00 3.500000000000000073e-03
1.100000000000000006e-01 4.440000000000000391e+00 3.684000000000000163e+00 3.700000000000000164e-03
1.199999999999999956e-01 4.636999999999999567e+00 3.673000000000000043e+00 4.000000000000000083e-03
1.300000000000000044e-01 4.826999999999999957e+00 3.660000000000000142e+00 4.300000000000000003e-03
1.399989999999999846e-01 5.009000000000000341e+00 3.645000000000000018e+00 4.500000000000000527e-03
1.499989999999999934e-01 5.184999999999999609e+00 3.629000000000000004e+00 4.800000000000000447e-03
1.599990000000000023e-01 5.355000000000000426e+00 3.612000000000000099e+00 5.000000000000000104e-03
1.699990000000000112e-01 5.519999999999999574e+00 3.593999999999999861e+00 5.300000000000000024e-03
1.799989999999999923e-01 5.679999999999999716e+00 3.576000000000000068e+00 5.599999999999999943e-03
1.999990000000000101e-01 5.987000000000000099e+00 3.537999999999999812e+00 6.100000000000000387e-03
2.249990000000000046e-01 6.349999999999999645e+00 3.491000000000000103e+00 6.700000000000000226e-03
2.499989999999999990e-01 6.692999999999999616e+00 3.443999999999999950e+00 7.300000000000000065e-03
2.749990000000000490e-01 7.019999999999999574e+00 3.398000000000000131e+00 7.900000000000000772e-03
2.999990000000000157e-01 7.331999999999999851e+00 3.353000000000000203e+00 8.600000000000000006e-03
3.249990000000000379e-01 7.631999999999999673e+00 3.310000000000000053e+00 9.199999999999999845e-03
3.499990000000000046e-01 7.919999999999999929e+00 3.267999999999999794e+00 9.799999999999999684e-03
3.749990000000000268e-01 8.198000000000000398e+00 3.226999999999999869e+00 1.040000000000000126e-02
3.999990000000000490e-01 8.467000000000000526e+00 3.188000000000000167e+00 1.100000000000000110e-02
4.499990000000000379e-01 8.980000000000000426e+00 3.112999999999999989e+00 1.230000000000000017e-02
4.999990000000000268e-01 9.465999999999999304e+00 3.044000000000000039e+00 1.349999999999999985e-02
5.499990000000000157e-01 9.928000000000000824e+00 2.978000000000000203e+00 1.470000000000000126e-02
5.999990000000000601e-01 1.036999999999999922e+01 2.916999999999999815e+00 1.590000000000000094e-02
6.499989999999999934e-01 1.078999999999999915e+01 2.859999999999999876e+00 1.710000000000000062e-02
6.999990000000000379e-01 1.119999999999999929e+01 2.805000000000000160e+00 1.830000000000000029e-02
7.999990000000000157e-01 1.197000000000000064e+01 2.705000000000000071e+00 2.069999999999999965e-02
8.999989999999999934e-01 1.269999999999999929e+01 2.615000000000000213e+00 2.310000000000000248e-02
9.999990000000000823e-01 1.339000000000000057e+01 2.532000000000000028e+00 2.550000000000000183e-02
1.100000000000000089e+00 1.403999999999999915e+01 2.456999999999999851e+00 2.790000000000000119e-02
1.199999999999999956e+00 1.466000000000000014e+01 2.387999999999999901e+00 3.030000000000000054e-02
1.300000000000000044e+00 1.525999999999999979e+01 2.323999999999999844e+00 3.269999999999999990e-02
1.399999999999999911e+00 1.583999999999999986e+01 2.263999999999999790e+00 3.509999999999999926e-02
1.500000000000000000e+00 1.639999999999999858e+01 2.209000000000000075e+00 3.740000000000000269e-02
1.600000000000000089e+00 1.692999999999999972e+01 2.156000000000000139e+00 3.980000000000000204e-02
1.699999999999999956e+00 1.744999999999999929e+01 2.108000000000000096e+00 4.210000000000000547e-02
1.800000000000000044e+00 1.796000000000000085e+01 2.061999999999999833e+00 4.450000000000000483e-02
2.000000000000000000e+00 1.892999999999999972e+01 1.977000000000000091e+00 4.920000000000000068e-02
2.250000000000000000e+00 1.996999999999999886e+01 1.883000000000000007e+00 5.500000000000000028e-02
2.500000000000000000e+00 2.094000000000000128e+01 1.800000000000000044e+00 6.079999999999999988e-02
2.750000000000000000e+00 2.187000000000000099e+01 1.725999999999999979e+00 6.650000000000000355e-02
3.000000000000000000e+00 2.275000000000000000e+01 1.659000000000000030e+00 7.230000000000000315e-02
3.250000000000000000e+00 2.360000000000000142e+01 1.598000000000000087e+00 7.799999999999999989e-02
3.500000000000000000e+00 2.442000000000000171e+01 1.542999999999999927e+00 8.360000000000000764e-02
3.750000000000000000e+00 2.521000000000000085e+01 1.491999999999999993e+00 8.930000000000000437e-02
4.000000000000000000e+00 2.598000000000000043e+01 1.445000000000000062e+00 9.480000000000000926e-02
4.500000000000000000e+00 2.744000000000000128e+01 1.362000000000000099e+00 1.059000000000000080e-01
5.000000000000000000e+00 2.882000000000000028e+01 1.288999999999999924e+00 1.168000000000000010e-01
5.500000000000000000e+00 3.012999999999999901e+01 1.225000000000000089e+00 1.275000000000000022e-01
6.000000000000000000e+00 3.137999999999999901e+01 1.167999999999999927e+00 1.381000000000000005e-01
6.500000000000000000e+00 3.257000000000000028e+01 1.116999999999999993e+00 1.485000000000000209e-01
7.000000000000000000e+00 3.371999999999999886e+01 1.072000000000000064e+00 1.587999999999999967e-01
8.000000000000000000e+00 3.589000000000000057e+01 9.920999999999999819e-01 1.790000000000000202e-01
9.000000000000000000e+00 3.792000000000000171e+01 9.253000000000000114e-01 1.985999999999999988e-01
1.000000000000000000e+01 3.982000000000000028e+01 8.682999999999999607e-01 2.178000000000000214e-01
1.100000000000000000e+01 4.160999999999999943e+01 8.189999999999999503e-01 2.365000000000000158e-01
1.200000000000000000e+01 4.331000000000000227e+01 7.756999999999999451e-01 2.547000000000000375e-01
1.300000000000000000e+01 4.492000000000000171e+01 7.374000000000000554e-01 2.726000000000000090e-01
1.400000000000000000e+01 4.645000000000000284e+01 7.033000000000000362e-01 2.902000000000000135e-01
1.500000000000000000e+01 4.790999999999999659e+01 6.725999999999999757e-01 3.074000000000000066e-01
1.600000000000000000e+01 4.931000000000000227e+01 6.448000000000000398e-01 3.243000000000000327e-01
1.700000000000000000e+01 5.064000000000000057e+01 6.196000000000000396e-01 3.409000000000000363e-01
1.800000000000000000e+01 5.192000000000000171e+01 5.965000000000000302e-01 3.572000000000000175e-01
2.000000000000000000e+01 5.432000000000000028e+01 5.557999999999999607e-01 3.892000000000000459e-01
2.250000000000000000e+01 5.704999999999999716e+01 5.129000000000000226e-01 4.279000000000000026e-01
2.500000000000000000e+01 5.952000000000000313e+01 4.769999999999999796e-01 4.653000000000000469e-01
2.750000000000000000e+01 6.175999999999999801e+01 4.462999999999999745e-01 5.018000000000000238e-01
3.000000000000000000e+01 6.378999999999999915e+01 4.198000000000000065e-01 5.373999999999999888e-01
3.250000000000000000e+01 6.562999999999999545e+01 3.966000000000000081e-01 5.722000000000000419e-01
3.500000000000000000e+01 6.729000000000000625e+01 3.760999999999999899e-01 6.064000000000000501e-01
3.750000000000000000e+01 6.879000000000000625e+01 3.578000000000000069e-01 6.400000000000000133e-01
