# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.281000000000000139e+00 4.468999999999999773e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.391999999999999904e+00 4.735999999999999943e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.499000000000000110e+00 4.992000000000000171e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.600999999999999979e+00 5.238000000000000256e+01 4.000000000000000192e-04
1.399990000000000089e-02 2.698999999999999844e+00 5.475999999999999801e+01 4.000000000000000192e-04
1.499990000000000004e-02 2.794000000000000039e+00 5.707000000000000028e+01 4.000000000000000192e-04
1.599990000000000093e-02 2.884999999999999787e+00 5.929999999999999716e+01 4.000000000000000192e-04
1.699990000000000182e-02 2.974000000000000199e+00 6.146999999999999886e+01 4.000000000000000192e-04
1.799989999999999923e-02 3.060000000000000053e+00 6.357999999999999829e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.225999999999999979e+00 6.764000000000000057e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.420999999999999819e+00 7.245000000000000284e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.605999999999999872e+00 7.701000000000000512e+01 5.000000000000000104e-04
2.749990000000000073e-02 3.782000000000000028e+00 8.134999999999999432e+01 5.000000000000000104e-04
2.999989999999999948e-02 3.951000000000000068e+00 8.550000000000000000e+01 5.000000000000000104e-04
3.249989999999999823e-02 4.112000000000000099e+00 8.946999999999999886e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.267000000000000348e+00 9.329999999999999716e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.416999999999999815e+00 9.698000000000000398e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.562000000000000277e+00 1.005000000000000000e+02 6.000000000000000559e-04
4.499989999999999546e-02 4.839000000000000412e+00 1.072999999999999972e+02 6.000000000000000559e-04
4.999989999999999990e-02 5.099999999999999645e+00 1.137000000000000028e+02 6.000000000000000559e-04
5.499989999999999740e-02 5.349000000000000199e+00 1.197999999999999972e+02 6.000000000000000559e-04
5.999989999999999490e-02 5.586999999999999744e+00 1.255999999999999943e+02 6.999999999999999929e-04
6.499989999999999934e-02 5.815000000000000391e+00 1.310999999999999943e+02 6.999999999999999929e-04
6.999990000000000379e-02 6.035000000000000142e+00 1.364000000000000057e+02 6.999999999999999929e-04
7.999989999999999879e-02 6.450999999999999623e+00 1.464000000000000057e+02 6.999999999999999929e-04
8.999989999999999379e-02 6.842999999999999972e+00 1.555999999999999943e+02 8.000000000000000383e-04
9.999990000000000268e-02 7.213000000000000078e+00 1.643000000000000114e+02 8.000000000000000383e-04
1.100000000000000006e-01 7.565000000000000391e+00 1.725000000000000000e+02 9.000000000000000838e-04
1.199999999999999956e-01 7.900999999999999801e+00 1.803000000000000114e+02 9.000000000000000838e-04
1.300000000000000044e-01 8.224000000000000199e+00 1.876999999999999886e+02 9.000000000000000838e-04
1.399989999999999846e-01 8.534000000000000696e+00 1.946999999999999886e+02 1.000000000000000021e-03
1.499989999999999934e-01 8.833999999999999631e+00 2.015000000000000000e+02 1.000000000000000021e-03
1.599990000000000023e-01 9.124000000000000554e+00 2.079000000000000057e+02 1.000000000000000021e-03
