#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.00    5.212E+01  3.746E+01    0.0788 
11.00    5.466E+01  3.580E+01    0.0872 
12.00    5.709E+01  3.430E+01    0.0955 
13.00    5.942E+01  3.294E+01    0.1039 
14.00    6.167E+01  3.171E+01    0.1123 
15.00    6.395E+01  3.057E+01    0.1206 
16.00    6.617E+01  2.953E+01    0.1289 
17.00    6.833E+01  2.857E+01    0.1372 
18.00    7.044E+01  2.769E+01    0.1454 
20.00    7.449E+01  2.609E+01    0.1617 
22.50    7.932E+01  2.437E+01    0.1817 
25.00    8.391E+01  2.289E+01    0.2015 
27.50    8.831E+01  2.161E+01    0.2208 
30.00    9.253E+01  2.049E+01    0.2398 
32.50    9.661E+01  1.949E+01    0.2585 
35.00    1.005E+02  1.860E+01    0.2769 
37.50    1.044E+02  1.779E+01    0.2949 
40.00    1.081E+02  1.706E+01    0.3126 
45.00    1.152E+02  1.580E+01    0.3470 
50.00    1.219E+02  1.472E+01    0.3804 
55.00    1.284E+02  1.381E+01    0.4126 
60.00    1.346E+02  1.301E+01    0.4439 
65.00    1.406E+02  1.231E+01    0.4743 
70.00    1.463E+02  1.169E+01    0.5039 
80.00    1.572E+02  1.064E+01    0.5607 
90.00    1.674E+02  9.781E+00    0.6148 
100.00    1.770E+02  9.064E+00    0.6665 
110.00    1.861E+02  8.456E+00    0.7161 
120.00    1.948E+02  7.932E+00    0.7639 
130.00    2.031E+02  7.475E+00    0.8101 
140.00    2.110E+02  7.073E+00    0.8547 
150.00    2.187E+02  6.717E+00    0.8980 
160.00    2.262E+02  6.398E+00    0.9400 
170.00    2.334E+02  6.111E+00    0.9809 
180.00    2.405E+02  5.851E+00    1.02 
200.00    2.542E+02  5.398E+00    1.10 
225.00    2.705E+02  4.930E+00    1.19 
250.00    2.860E+02  4.543E+00    1.27 
275.00    3.008E+02  4.217E+00    1.36 
300.00    3.150E+02  3.939E+00    1.44 
325.00    3.285E+02  3.698E+00    1.51 
350.00    3.414E+02  3.487E+00    1.58 
375.00    3.537E+02  3.301E+00    1.65 
400.00    3.656E+02  3.135E+00    1.72 
450.00    3.878E+02  2.853E+00    1.85 
500.00    4.081E+02  2.620E+00    1.97 
550.00    4.268E+02  2.426E+00    2.09 
600.00    4.441E+02  2.260E+00    2.21 
650.00    4.599E+02  2.117E+00    2.32 
700.00    4.744E+02  1.993E+00    2.42 
800.00    5.000E+02  1.786E+00    2.62 
900.00    5.215E+02  1.620E+00    2.82 
1000.00    5.394E+02  1.485E+00    3.01 
1000.10    5.543E+02  1.372E+00    3.19 
1000.20    5.665E+02  1.276E+00    3.36 
1000.30    5.764E+02  1.193E+00    3.54 
1000.40    5.843E+02  1.121E+00    3.71 
1000.50    5.905E+02  1.058E+00    3.88 
1000.60    5.953E+02  1.002E+00    4.05 
1000.70    5.987E+02  9.519E-01    4.21 
1000.80    6.011E+02  9.070E-01    4.38 
2000.00    6.030E+02  8.296E-01    4.71 
2000.25    6.015E+02  7.505E-01    5.12 
2000.50    5.967E+02  6.861E-01    5.54 
2000.75    5.897E+02  6.324E-01    5.96 
3000.00    5.809E+02  5.870E-01    6.39 
3000.25    5.709E+02  5.480E-01    6.82 
3000.50    5.600E+02  5.142E-01    7.26 
3000.75    5.486E+02  4.845E-01    7.71 
4000.00    5.368E+02  4.582E-01    8.17 
4000.50    5.129E+02  4.139E-01    9.12 
5000.00    4.893E+02  3.778E-01   10.12 
5000.50    4.668E+02  3.478E-01   11.17 
6000.00    4.456E+02  3.224E-01   12.26 
6000.50    4.260E+02  3.007E-01   13.41 
7000.00    4.079E+02  2.819E-01   14.61 
8000.00    3.759E+02  2.508E-01   17.16 
9000.00    3.488E+02  2.262E-01   19.92 
10000.00    3.257E+02  2.062E-01   22.88 
