# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 6.816999999999999726e-01 3.232000000000000028e+01 4.000000000000000192e-04
1.099989999999999996e-02 7.148999999999999799e-01 3.414000000000000057e+01 4.000000000000000192e-04
1.199990000000000084e-02 7.467000000000000304e-01 3.588000000000000256e+01 5.000000000000000104e-04
1.299990000000000000e-02 7.772000000000000020e-01 3.756000000000000227e+01 5.000000000000000104e-04
1.399990000000000089e-02 8.065999999999999837e-01 3.915999999999999659e+01 5.000000000000000104e-04
1.499990000000000004e-02 8.348999999999999755e-01 4.071000000000000085e+01 5.000000000000000104e-04
1.599990000000000093e-02 8.621999999999999664e-01 4.221000000000000085e+01 5.000000000000000104e-04
1.699990000000000182e-02 8.888000000000000345e-01 4.365999999999999659e+01 5.000000000000000104e-04
1.799989999999999923e-02 9.145999999999999686e-01 4.507000000000000028e+01 5.000000000000000104e-04
1.999990000000000101e-02 9.639999999999999680e-01 4.775999999999999801e+01 6.000000000000000559e-04
2.249989999999999976e-02 1.022999999999999909e+00 5.093999999999999773e+01 6.000000000000000559e-04
2.499990000000000198e-02 1.078000000000000069e+00 5.392000000000000171e+01 6.000000000000000559e-04
2.749990000000000073e-02 1.129999999999999893e+00 5.675000000000000000e+01 6.999999999999999929e-04
2.999989999999999948e-02 1.181000000000000050e+00 5.942999999999999972e+01 6.999999999999999929e-04
3.249989999999999823e-02 1.229000000000000092e+00 6.199000000000000199e+01 6.999999999999999929e-04
3.499990000000000046e-02 1.274999999999999911e+00 6.445000000000000284e+01 6.999999999999999929e-04
3.749989999999999574e-02 1.320000000000000062e+00 6.679999999999999716e+01 6.999999999999999929e-04
3.999989999999999796e-02 1.362999999999999989e+00 6.906000000000000227e+01 8.000000000000000383e-04
4.499989999999999546e-02 1.445999999999999952e+00 7.334999999999999432e+01 8.000000000000000383e-04
4.999989999999999990e-02 1.524000000000000021e+00 7.735999999999999943e+01 8.000000000000000383e-04
5.499989999999999740e-02 1.598999999999999977e+00 8.112999999999999545e+01 9.000000000000000838e-04
5.999989999999999490e-02 1.669999999999999929e+00 8.470000000000000284e+01 9.000000000000000838e-04
6.499989999999999934e-02 1.737999999999999989e+00 8.807999999999999829e+01 9.000000000000000838e-04
6.999990000000000379e-02 1.804000000000000048e+00 9.131000000000000227e+01 1.000000000000000021e-03
7.999989999999999879e-02 1.927999999999999936e+00 9.732999999999999829e+01 1.000000000000000021e-03
8.999989999999999379e-02 2.044999999999999929e+00 1.029000000000000057e+02 1.100000000000000066e-03
9.999990000000000268e-02 2.156000000000000139e+00 1.080000000000000000e+02 1.200000000000000112e-03
1.100000000000000006e-01 2.261000000000000121e+00 1.127999999999999972e+02 1.200000000000000112e-03
1.199999999999999956e-01 2.361000000000000210e+00 1.174000000000000057e+02 1.300000000000000157e-03
1.300000000000000044e-01 2.458000000000000185e+00 1.215999999999999943e+02 1.300000000000000157e-03
1.399989999999999846e-01 2.551000000000000156e+00 1.257000000000000028e+02 1.399999999999999986e-03
1.499989999999999934e-01 2.640000000000000124e+00 1.295000000000000000e+02 1.399999999999999986e-03
1.599990000000000023e-01 2.726999999999999869e+00 1.330999999999999943e+02 1.500000000000000031e-03
