# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.374000000000000110e+00 4.442000000000000171e+01 2.000000000000000096e-04
1.099989999999999996e-02 2.490000000000000213e+00 4.693999999999999773e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.600999999999999979e+00 4.935999999999999943e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.706999999999999851e+00 5.167000000000000171e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.809000000000000163e+00 5.389999999999999858e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.907999999999999918e+00 5.604999999999999716e+01 3.000000000000000279e-04
1.599990000000000093e-02 3.003000000000000114e+00 5.813000000000000256e+01 3.000000000000000279e-04
1.699990000000000182e-02 3.096000000000000085e+00 6.014000000000000057e+01 3.000000000000000279e-04
1.799989999999999923e-02 3.185000000000000053e+00 6.209000000000000341e+01 3.000000000000000279e-04
1.999990000000000101e-02 3.358000000000000096e+00 6.582999999999999829e+01 3.000000000000000279e-04
2.249989999999999976e-02 3.560999999999999943e+00 7.023999999999999488e+01 3.000000000000000279e-04
2.499990000000000198e-02 3.754000000000000004e+00 7.439000000000000057e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.936999999999999833e+00 7.831999999999999318e+01 4.000000000000000192e-04
2.999989999999999948e-02 4.112000000000000099e+00 8.206000000000000227e+01 4.000000000000000192e-04
3.249989999999999823e-02 4.280000000000000249e+00 8.562999999999999545e+01 4.000000000000000192e-04
3.499990000000000046e-02 4.442000000000000171e+00 8.904999999999999716e+01 4.000000000000000192e-04
3.749989999999999574e-02 4.597999999999999865e+00 9.232999999999999829e+01 4.000000000000000192e-04
3.999989999999999796e-02 4.748000000000000220e+00 9.548999999999999488e+01 4.000000000000000192e-04
4.499989999999999546e-02 5.035999999999999588e+00 1.015000000000000000e+02 5.000000000000000104e-04
4.999989999999999990e-02 5.309000000000000163e+00 1.070999999999999943e+02 5.000000000000000104e-04
5.499989999999999740e-02 5.567999999999999616e+00 1.124000000000000057e+02 5.000000000000000104e-04
5.999989999999999490e-02 5.815999999999999837e+00 1.174000000000000057e+02 5.000000000000000104e-04
6.499989999999999934e-02 6.052999999999999936e+00 1.220999999999999943e+02 6.000000000000000559e-04
6.999990000000000379e-02 6.282000000000000028e+00 1.265999999999999943e+02 6.000000000000000559e-04
7.999989999999999879e-02 6.714999999999999858e+00 1.350999999999999943e+02 6.000000000000000559e-04
8.999989999999999379e-02 7.123000000000000220e+00 1.429000000000000057e+02 6.999999999999999929e-04
9.999990000000000268e-02 7.508000000000000007e+00 1.500999999999999943e+02 6.999999999999999929e-04
1.100000000000000006e-01 7.873999999999999666e+00 1.569000000000000057e+02 6.999999999999999929e-04
1.199999999999999956e-01 8.224000000000000199e+00 1.633000000000000114e+02 6.999999999999999929e-04
1.300000000000000044e-01 8.560000000000000497e+00 1.693000000000000114e+02 8.000000000000000383e-04
1.399989999999999846e-01 8.882999999999999119e+00 1.750000000000000000e+02 8.000000000000000383e-04
1.499989999999999934e-01 9.195000000000000284e+00 1.804000000000000057e+02 8.000000000000000383e-04
1.599990000000000023e-01 9.496999999999999886e+00 1.855999999999999943e+02 9.000000000000000838e-04
1.699990000000000112e-01 9.788999999999999702e+00 1.905000000000000000e+02 9.000000000000000838e-04
1.799989999999999923e-01 1.007000000000000028e+01 1.951999999999999886e+02 9.000000000000000838e-04
1.999990000000000101e-01 1.061999999999999922e+01 2.040999999999999943e+02 1.000000000000000021e-03
2.249990000000000046e-01 1.125999999999999979e+01 2.143000000000000114e+02 1.000000000000000021e-03
2.499989999999999990e-01 1.186999999999999922e+01 2.236999999999999886e+02 1.100000000000000066e-03
2.749990000000000490e-01 1.244999999999999929e+01 2.324000000000000057e+02 1.200000000000000112e-03
2.999990000000000157e-01 1.300000000000000000e+01 2.404000000000000057e+02 1.200000000000000112e-03
3.249990000000000379e-01 1.353999999999999915e+01 2.479000000000000057e+02 1.300000000000000157e-03
3.499990000000000046e-01 1.405000000000000071e+01 2.550000000000000000e+02 1.300000000000000157e-03
3.749990000000000268e-01 1.453999999999999915e+01 2.616000000000000227e+02 1.399999999999999986e-03
3.999990000000000490e-01 1.501999999999999957e+01 2.678999999999999773e+02 1.399999999999999986e-03
4.499990000000000379e-01 1.592999999999999972e+01 2.795000000000000000e+02 1.500000000000000031e-03
4.999990000000000268e-01 1.678999999999999915e+01 2.900000000000000000e+02 1.600000000000000077e-03
5.499990000000000157e-01 1.760999999999999943e+01 2.996000000000000227e+02 1.700000000000000122e-03
5.999990000000000601e-01 1.839000000000000057e+01 3.083999999999999773e+02 1.800000000000000168e-03
6.499989999999999934e-01 1.914000000000000057e+01 3.165000000000000000e+02 1.899999999999999996e-03
6.999990000000000379e-01 1.985999999999999943e+01 3.241000000000000227e+02 2.000000000000000042e-03
7.999990000000000157e-01 2.123999999999999844e+01 3.376999999999999886e+02 2.100000000000000304e-03
8.999989999999999934e-01 2.251999999999999957e+01 3.498000000000000114e+02 2.299999999999999961e-03
9.999990000000000823e-01 2.373999999999999844e+01 3.605000000000000000e+02 2.500000000000000052e-03
1.100000000000000089e+00 2.489999999999999858e+01 3.701999999999999886e+02 2.600000000000000314e-03
1.199999999999999956e+00 2.601000000000000156e+01 3.788999999999999773e+02 2.799999999999999972e-03
1.300000000000000044e+00 2.707000000000000028e+01 3.868999999999999773e+02 2.900000000000000234e-03
1.399999999999999911e+00 2.808999999999999986e+01 3.941999999999999886e+02 3.100000000000000325e-03
1.500000000000000000e+00 2.907999999999999829e+01 4.008999999999999773e+02 3.200000000000000153e-03
1.600000000000000089e+00 3.003000000000000114e+01 4.071000000000000227e+02 3.400000000000000244e-03
1.699999999999999956e+00 3.096000000000000085e+01 4.128000000000000114e+02 3.500000000000000073e-03
1.800000000000000044e+00 3.185000000000000142e+01 4.181999999999999886e+02 3.700000000000000164e-03
