# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.314000000000000057e+00 3.979999999999999716e+01 3.000000000000000279e-04
1.099989999999999996e-02 1.377999999999999892e+00 4.204999999999999716e+01 3.000000000000000279e-04
1.199990000000000084e-02 1.439000000000000057e+00 4.421000000000000085e+01 3.000000000000000279e-04
1.299990000000000000e-02 1.497999999999999998e+00 4.628999999999999915e+01 3.000000000000000279e-04
1.399990000000000089e-02 1.554999999999999938e+00 4.828000000000000114e+01 3.000000000000000279e-04
1.499990000000000004e-02 1.608999999999999986e+00 5.020000000000000284e+01 3.000000000000000279e-04
1.599990000000000093e-02 1.661999999999999922e+00 5.206000000000000227e+01 3.000000000000000279e-04
1.699990000000000182e-02 1.713000000000000078e+00 5.385999999999999943e+01 4.000000000000000192e-04
1.799989999999999923e-02 1.762999999999999901e+00 5.560999999999999943e+01 4.000000000000000192e-04
1.999990000000000101e-02 1.858000000000000096e+00 5.895000000000000284e+01 4.000000000000000192e-04
2.249989999999999976e-02 1.971000000000000085e+00 6.289000000000000057e+01 4.000000000000000192e-04
2.499990000000000198e-02 2.076999999999999957e+00 6.660999999999999943e+01 4.000000000000000192e-04
2.749990000000000073e-02 2.178999999999999826e+00 7.012000000000000455e+01 4.000000000000000192e-04
2.999989999999999948e-02 2.275999999999999801e+00 7.346999999999999886e+01 5.000000000000000104e-04
3.249989999999999823e-02 2.369000000000000217e+00 7.665999999999999659e+01 5.000000000000000104e-04
3.499990000000000046e-02 2.458000000000000185e+00 7.970999999999999375e+01 5.000000000000000104e-04
3.749989999999999574e-02 2.544000000000000039e+00 8.265000000000000568e+01 5.000000000000000104e-04
3.999989999999999796e-02 2.628000000000000114e+00 8.546999999999999886e+01 5.000000000000000104e-04
4.499989999999999546e-02 2.786999999999999922e+00 9.081999999999999318e+01 5.000000000000000104e-04
4.999989999999999990e-02 2.938000000000000167e+00 9.582999999999999829e+01 6.000000000000000559e-04
5.499989999999999740e-02 3.080999999999999961e+00 1.005000000000000000e+02 6.000000000000000559e-04
5.999989999999999490e-02 3.217999999999999972e+00 1.050000000000000000e+02 6.000000000000000559e-04
6.499989999999999934e-02 3.350000000000000089e+00 1.092000000000000028e+02 6.000000000000000559e-04
6.999990000000000379e-02 3.475999999999999979e+00 1.132999999999999972e+02 6.999999999999999929e-04
7.999989999999999879e-02 3.716000000000000192e+00 1.207999999999999972e+02 6.999999999999999929e-04
8.999989999999999379e-02 3.942000000000000171e+00 1.277999999999999972e+02 8.000000000000000383e-04
9.999990000000000268e-02 4.155000000000000249e+00 1.343000000000000114e+02 8.000000000000000383e-04
1.100000000000000006e-01 4.357999999999999652e+00 1.403000000000000114e+02 8.000000000000000383e-04
1.199999999999999956e-01 4.551999999999999602e+00 1.460000000000000000e+02 9.000000000000000838e-04
1.300000000000000044e-01 4.738000000000000433e+00 1.514000000000000057e+02 9.000000000000000838e-04
1.399989999999999846e-01 4.916000000000000369e+00 1.565000000000000000e+02 9.000000000000000838e-04
1.499989999999999934e-01 5.089000000000000412e+00 1.613000000000000114e+02 1.000000000000000021e-03
1.599990000000000023e-01 5.256000000000000227e+00 1.659000000000000057e+02 1.000000000000000021e-03
1.699990000000000112e-01 5.418000000000000149e+00 1.703000000000000114e+02 1.000000000000000021e-03
1.799989999999999923e-01 5.575000000000000178e+00 1.745000000000000000e+02 1.100000000000000066e-03
1.999990000000000101e-01 5.876000000000000334e+00 1.824000000000000057e+02 1.100000000000000066e-03
2.249990000000000046e-01 6.232999999999999652e+00 1.915000000000000000e+02 1.200000000000000112e-03
2.499989999999999990e-01 6.570000000000000284e+00 1.999000000000000057e+02 1.300000000000000157e-03
2.749990000000000490e-01 6.891000000000000014e+00 2.075999999999999943e+02 1.300000000000000157e-03
2.999990000000000157e-01 7.197000000000000064e+00 2.148000000000000114e+02 1.399999999999999986e-03
3.249990000000000379e-01 7.490999999999999659e+00 2.214000000000000057e+02 1.500000000000000031e-03
3.499990000000000046e-01 7.774000000000000021e+00 2.276999999999999886e+02 1.500000000000000031e-03
3.749990000000000268e-01 8.045999999999999375e+00 2.335999999999999943e+02 1.600000000000000077e-03
3.999990000000000490e-01 8.310000000000000497e+00 2.391999999999999886e+02 1.600000000000000077e-03
4.499990000000000379e-01 8.814999999999999503e+00 2.495000000000000000e+02 1.800000000000000168e-03
4.999990000000000268e-01 9.291000000000000369e+00 2.588000000000000114e+02 1.899999999999999996e-03
5.499990000000000157e-01 9.744999999999999218e+00 2.673999999999999773e+02 2.000000000000000042e-03
5.999990000000000601e-01 1.017999999999999972e+01 2.751999999999999886e+02 2.100000000000000304e-03
6.499989999999999934e-01 1.058999999999999986e+01 2.823999999999999773e+02 2.200000000000000133e-03
6.999990000000000379e-01 1.099000000000000021e+01 2.891000000000000227e+02 2.299999999999999961e-03
7.999990000000000157e-01 1.175000000000000000e+01 3.013000000000000114e+02 2.500000000000000052e-03
8.999989999999999934e-01 1.247000000000000064e+01 3.118999999999999773e+02 2.700000000000000143e-03
9.999990000000000823e-01 1.314000000000000057e+01 3.215000000000000000e+02 2.900000000000000234e-03
1.100000000000000089e+00 1.377999999999999936e+01 3.300000000000000000e+02 3.100000000000000325e-03
1.199999999999999956e+00 1.439000000000000057e+01 3.376999999999999886e+02 3.200000000000000153e-03
1.300000000000000044e+00 1.498000000000000043e+01 3.448000000000000114e+02 3.400000000000000244e-03
1.399999999999999911e+00 1.555000000000000071e+01 3.511999999999999886e+02 3.600000000000000335e-03
1.500000000000000000e+00 1.608999999999999986e+01 3.571999999999999886e+02 3.799999999999999992e-03
1.600000000000000089e+00 1.662000000000000099e+01 3.626000000000000227e+02 3.900000000000000255e-03
