# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.163999999999999924e+00 4.329999999999999716e+01 4.000000000000000192e-04
1.099989999999999996e-02 1.221000000000000085e+00 4.596999999999999886e+01 4.000000000000000192e-04
1.199990000000000084e-02 1.274999999999999911e+00 4.853999999999999915e+01 4.000000000000000192e-04
1.299990000000000000e-02 1.326999999999999957e+00 5.102000000000000313e+01 4.000000000000000192e-04
1.399990000000000089e-02 1.377000000000000002e+00 5.342000000000000171e+01 4.000000000000000192e-04
1.499990000000000004e-02 1.425999999999999934e+00 5.574000000000000199e+01 4.000000000000000192e-04
1.599990000000000093e-02 1.471999999999999975e+00 5.800000000000000000e+01 4.000000000000000192e-04
1.699990000000000182e-02 1.518000000000000016e+00 6.020000000000000284e+01 4.000000000000000192e-04
1.799989999999999923e-02 1.562000000000000055e+00 6.235000000000000142e+01 5.000000000000000104e-04
1.999990000000000101e-02 1.645999999999999908e+00 6.648000000000000398e+01 5.000000000000000104e-04
2.249989999999999976e-02 1.745999999999999996e+00 7.139000000000000057e+01 5.000000000000000104e-04
2.499990000000000198e-02 1.840000000000000080e+00 7.606000000000000227e+01 5.000000000000000104e-04
2.749990000000000073e-02 1.929999999999999938e+00 8.053000000000000114e+01 5.000000000000000104e-04
2.999989999999999948e-02 2.016000000000000014e+00 8.481000000000000227e+01 6.000000000000000559e-04
3.249989999999999823e-02 2.097999999999999865e+00 8.892000000000000171e+01 6.000000000000000559e-04
3.499990000000000046e-02 2.177999999999999936e+00 9.289000000000000057e+01 6.000000000000000559e-04
3.749989999999999574e-02 2.254000000000000004e+00 9.671999999999999886e+01 6.000000000000000559e-04
3.999989999999999796e-02 2.327999999999999847e+00 1.004000000000000057e+02 6.000000000000000559e-04
4.499989999999999546e-02 2.468999999999999861e+00 1.075000000000000000e+02 6.000000000000000559e-04
4.999989999999999990e-02 2.603000000000000203e+00 1.142999999999999972e+02 6.999999999999999929e-04
5.499989999999999740e-02 2.729999999999999982e+00 1.207000000000000028e+02 6.999999999999999929e-04
5.999989999999999490e-02 2.850999999999999979e+00 1.267999999999999972e+02 6.999999999999999929e-04
6.499989999999999934e-02 2.967000000000000082e+00 1.326999999999999886e+02 6.999999999999999929e-04
6.999990000000000379e-02 3.079000000000000181e+00 1.383000000000000114e+02 8.000000000000000383e-04
7.999989999999999879e-02 3.291999999999999815e+00 1.490000000000000000e+02 8.000000000000000383e-04
8.999989999999999379e-02 3.491999999999999993e+00 1.590000000000000000e+02 8.000000000000000383e-04
9.999990000000000268e-02 3.681000000000000050e+00 1.684000000000000057e+02 9.000000000000000838e-04
1.100000000000000006e-01 3.859999999999999876e+00 1.773000000000000114e+02 9.000000000000000838e-04
1.199999999999999956e-01 4.032000000000000028e+00 1.858000000000000114e+02 1.000000000000000021e-03
1.300000000000000044e-01 4.197000000000000064e+00 1.940000000000000000e+02 1.000000000000000021e-03
1.399989999999999846e-01 4.355000000000000426e+00 2.016999999999999886e+02 1.000000000000000021e-03
1.499989999999999934e-01 4.508000000000000007e+00 2.091999999999999886e+02 1.000000000000000021e-03
1.599990000000000023e-01 4.655999999999999694e+00 2.164000000000000057e+02 1.100000000000000066e-03
1.699990000000000112e-01 4.799000000000000377e+00 2.233000000000000114e+02 1.100000000000000066e-03
1.799989999999999923e-01 4.937999999999999723e+00 2.300000000000000000e+02 1.100000000000000066e-03
1.999990000000000101e-01 5.205000000000000071e+00 2.426999999999999886e+02 1.200000000000000112e-03
2.249990000000000046e-01 5.520999999999999908e+00 2.576000000000000227e+02 1.200000000000000112e-03
2.499989999999999990e-01 5.820000000000000284e+00 2.716000000000000227e+02 1.300000000000000157e-03
2.749990000000000490e-01 6.104000000000000092e+00 2.846999999999999886e+02 1.399999999999999986e-03
2.999990000000000157e-01 6.375000000000000000e+00 2.971000000000000227e+02 1.399999999999999986e-03
3.249990000000000379e-01 6.636000000000000121e+00 3.088000000000000114e+02 1.500000000000000031e-03
3.499990000000000046e-01 6.886000000000000121e+00 3.200000000000000000e+02 1.500000000000000031e-03
3.749990000000000268e-01 7.128000000000000114e+00 3.306000000000000227e+02 1.600000000000000077e-03
3.999990000000000490e-01 7.362000000000000099e+00 3.408000000000000114e+02 1.600000000000000077e-03
4.499990000000000379e-01 7.807999999999999829e+00 3.600000000000000000e+02 1.700000000000000122e-03
4.999990000000000268e-01 8.230999999999999872e+00 3.778000000000000114e+02 1.800000000000000168e-03
5.499990000000000157e-01 8.631999999999999673e+00 3.943999999999999773e+02 1.899999999999999996e-03
5.999990000000000601e-01 9.016000000000000014e+00 4.098999999999999773e+02 2.000000000000000042e-03
6.499989999999999934e-01 9.384000000000000341e+00 4.246000000000000227e+02 2.000000000000000042e-03
6.999990000000000379e-01 9.739000000000000767e+00 4.385000000000000000e+02 2.100000000000000304e-03
7.999990000000000157e-01 1.041000000000000014e+01 4.641000000000000227e+02 2.299999999999999961e-03
8.999989999999999934e-01 1.103999999999999915e+01 4.875000000000000000e+02 2.400000000000000223e-03
9.999990000000000823e-01 1.164000000000000057e+01 5.090000000000000000e+02 2.500000000000000052e-03
1.100000000000000089e+00 1.221000000000000085e+01 5.287999999999999545e+02 2.700000000000000143e-03
1.199999999999999956e+00 1.275000000000000000e+01 5.472000000000000455e+02 2.799999999999999972e-03
1.300000000000000044e+00 1.326999999999999957e+01 5.645000000000000000e+02 2.900000000000000234e-03
1.399999999999999911e+00 1.376999999999999957e+01 5.806000000000000227e+02 3.000000000000000062e-03
1.500000000000000000e+00 1.425999999999999979e+01 5.958999999999999773e+02 3.200000000000000153e-03
1.600000000000000089e+00 1.472000000000000064e+01 6.102999999999999545e+02 3.299999999999999982e-03
1.699999999999999956e+00 1.517999999999999972e+01 6.238999999999999773e+02 3.400000000000000244e-03
1.800000000000000044e+00 1.561999999999999922e+01 6.368999999999999773e+02 3.500000000000000073e-03
2.000000000000000000e+00 1.646000000000000085e+01 6.610000000000000000e+02 3.700000000000000164e-03
2.250000000000000000e+00 1.746000000000000085e+01 6.882999999999999545e+02 4.000000000000000083e-03
2.500000000000000000e+00 1.841000000000000014e+01 7.128999999999999773e+02 4.200000000000000608e-03
2.750000000000000000e+00 1.930000000000000071e+01 7.352999999999999545e+02 4.400000000000000265e-03
3.000000000000000000e+00 2.016000000000000014e+01 7.557999999999999545e+02 4.700000000000000185e-03
3.250000000000000000e+00 2.098999999999999844e+01 7.747000000000000455e+02 4.899999999999999842e-03
3.500000000000000000e+00 2.178000000000000114e+01 7.922000000000000455e+02 5.100000000000000366e-03
3.750000000000000000e+00 2.253999999999999915e+01 8.085000000000000000e+02 5.300000000000000024e-03
4.000000000000000000e+00 2.328000000000000114e+01 8.237000000000000455e+02 5.599999999999999943e-03
4.500000000000000000e+00 2.469000000000000128e+01 8.512000000000000455e+02 6.000000000000000125e-03
5.000000000000000000e+00 2.603000000000000114e+01 8.756000000000000227e+02 6.400000000000000307e-03
5.500000000000000000e+00 2.730000000000000071e+01 8.975000000000000000e+02 6.800000000000000488e-03
6.000000000000000000e+00 2.851999999999999957e+01 9.172000000000000455e+02 7.200000000000000670e-03
6.500000000000000000e+00 2.967999999999999972e+01 9.350000000000000000e+02 7.599999999999999985e-03
7.000000000000000000e+00 3.080000000000000071e+01 9.512000000000000455e+02 8.000000000000000167e-03
8.000000000000000000e+00 3.292999999999999972e+01 9.797999999999999545e+02 8.700000000000001135e-03
9.000000000000000000e+00 3.492999999999999972e+01 1.004000000000000000e+03 9.400000000000000369e-03
1.000000000000000000e+01 3.682000000000000028e+01 1.025000000000000000e+03 1.020000000000000073e-02
1.100000000000000000e+01 3.860999999999999943e+01 1.043000000000000000e+03 1.089999999999999997e-02
1.200000000000000000e+01 4.032999999999999829e+01 1.059000000000000000e+03 1.160000000000000094e-02
1.300000000000000000e+01 4.197999999999999687e+01 1.073000000000000000e+03 1.220000000000000077e-02
1.400000000000000000e+01 4.356000000000000227e+01 1.085000000000000000e+03 1.290000000000000001e-02
1.500000000000000000e+01 4.509000000000000341e+01 1.096000000000000000e+03 1.360000000000000098e-02
1.600000000000000000e+01 4.657000000000000028e+01 1.106000000000000000e+03 1.430000000000000021e-02
1.700000000000000000e+01 4.800999999999999801e+01 1.114000000000000000e+03 1.490000000000000005e-02
1.800000000000000000e+01 4.939999999999999858e+01 1.122000000000000000e+03 1.560000000000000102e-02
2.000000000000000000e+01 5.207000000000000028e+01 1.135000000000000000e+03 1.690000000000000183e-02
2.250000000000000000e+01 5.522999999999999687e+01 1.148000000000000000e+03 1.850000000000000255e-02
2.500000000000000000e+01 5.821999999999999886e+01 1.157000000000000000e+03 2.020000000000000268e-02
2.750000000000000000e+01 6.107000000000000028e+01 1.164000000000000000e+03 2.179999999999999993e-02
3.000000000000000000e+01 6.378000000000000114e+01 1.169000000000000000e+03 2.340000000000000066e-02
3.250000000000000000e+01 6.639000000000000057e+01 1.173000000000000000e+03 2.500000000000000139e-02
3.500000000000000000e+01 6.890000000000000568e+01 1.175000000000000000e+03 2.660000000000000211e-02
3.750000000000000000e+01 7.131999999999999318e+01 1.176000000000000000e+03 2.820000000000000284e-02
4.000000000000000000e+01 7.365999999999999659e+01 1.177000000000000000e+03 2.980000000000000010e-02
4.500000000000000000e+01 7.812999999999999545e+01 1.175000000000000000e+03 3.300000000000000155e-02
5.000000000000000000e+01 8.235999999999999943e+01 1.171000000000000000e+03 3.620000000000000301e-02
5.500000000000000000e+01 8.637999999999999545e+01 1.166000000000000000e+03 3.940000000000000446e-02
6.000000000000000000e+01 9.021999999999999886e+01 1.159000000000000000e+03 4.259999999999999898e-02
6.500000000000000000e+01 9.390999999999999659e+01 1.152000000000000000e+03 4.590000000000000330e-02
7.000000000000000000e+01 9.745999999999999375e+01 1.144000000000000000e+03 4.920000000000000068e-02
8.000000000000000000e+01 1.042000000000000028e+02 1.127000000000000000e+03 5.580000000000000238e-02
9.000000000000000000e+01 1.105000000000000000e+02 1.109000000000000000e+03 6.250000000000000000e-02
1.000000000000000000e+02 1.165000000000000000e+02 1.090000000000000000e+03 6.930000000000000049e-02
1.100000000000000000e+02 1.222999999999999972e+02 1.072000000000000000e+03 7.620000000000000384e-02
1.200000000000000000e+02 1.335999999999999943e+02 1.053000000000000000e+03 8.320000000000001006e-02
1.300000000000000000e+02 1.426999999999999886e+02 1.036000000000000000e+03 9.030000000000000526e-02
