# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.120999999999999996e+00 2.132999999999999829e+01 4.000000000000000192e-04
1.099989999999999996e-02 1.175999999999999934e+00 2.253999999999999915e+01 4.000000000000000192e-04
1.199990000000000084e-02 1.227999999999999980e+00 2.371000000000000085e+01 5.000000000000000104e-04
1.299990000000000000e-02 1.278999999999999915e+00 2.482000000000000028e+01 5.000000000000000104e-04
1.399990000000000089e-02 1.326999999999999957e+00 2.589000000000000057e+01 5.000000000000000104e-04
1.499990000000000004e-02 1.372999999999999998e+00 2.692999999999999972e+01 5.000000000000000104e-04
1.599990000000000093e-02 1.419000000000000039e+00 2.792999999999999972e+01 5.000000000000000104e-04
1.699990000000000182e-02 1.461999999999999966e+00 2.889999999999999858e+01 5.000000000000000104e-04
1.799989999999999923e-02 1.504999999999999893e+00 2.983999999999999986e+01 5.000000000000000104e-04
1.999990000000000101e-02 1.586000000000000076e+00 3.164000000000000057e+01 6.000000000000000559e-04
2.249989999999999976e-02 1.681999999999999940e+00 3.377000000000000313e+01 6.000000000000000559e-04
2.499990000000000198e-02 1.772999999999999909e+00 3.577000000000000313e+01 6.000000000000000559e-04
2.749990000000000073e-02 1.860000000000000098e+00 3.767000000000000171e+01 6.999999999999999929e-04
2.999989999999999948e-02 1.941999999999999948e+00 3.947999999999999687e+01 6.999999999999999929e-04
3.249989999999999823e-02 2.021999999999999797e+00 4.120000000000000284e+01 6.999999999999999929e-04
3.499990000000000046e-02 2.097999999999999865e+00 4.285000000000000142e+01 6.999999999999999929e-04
3.749989999999999574e-02 2.172000000000000153e+00 4.443999999999999773e+01 8.000000000000000383e-04
3.999989999999999796e-02 2.242999999999999883e+00 4.596000000000000085e+01 8.000000000000000383e-04
4.499989999999999546e-02 2.379000000000000004e+00 4.885999999999999943e+01 8.000000000000000383e-04
4.999989999999999990e-02 2.508000000000000007e+00 5.157000000000000028e+01 9.000000000000000838e-04
5.499989999999999740e-02 2.629999999999999893e+00 5.411999999999999744e+01 9.000000000000000838e-04
5.999989999999999490e-02 2.746999999999999886e+00 5.653999999999999915e+01 9.000000000000000838e-04
6.499989999999999934e-02 2.858999999999999986e+00 5.884000000000000341e+01 1.000000000000000021e-03
6.999990000000000379e-02 2.967000000000000082e+00 6.103000000000000114e+01 1.000000000000000021e-03
7.999989999999999879e-02 3.172000000000000153e+00 6.512999999999999545e+01 1.100000000000000066e-03
8.999989999999999379e-02 3.363999999999999879e+00 6.890999999999999659e+01 1.100000000000000066e-03
9.999990000000000268e-02 3.545999999999999819e+00 7.242000000000000171e+01 1.200000000000000112e-03
1.100000000000000006e-01 3.718999999999999861e+00 7.570999999999999375e+01 1.300000000000000157e-03
1.199999999999999956e-01 3.884999999999999787e+00 7.881000000000000227e+01 1.300000000000000157e-03
1.300000000000000044e-01 4.043000000000000149e+00 8.173000000000000398e+01 1.399999999999999986e-03
1.399989999999999846e-01 4.195999999999999730e+00 8.448999999999999488e+01 1.399999999999999986e-03
1.499989999999999934e-01 4.342999999999999972e+00 8.712999999999999545e+01 1.500000000000000031e-03
1.599990000000000023e-01 4.485999999999999766e+00 8.964000000000000057e+01 1.500000000000000031e-03
1.699990000000000112e-01 4.623999999999999666e+00 9.203000000000000114e+01 1.600000000000000077e-03
1.799989999999999923e-01 4.758000000000000007e+00 9.432999999999999829e+01 1.600000000000000077e-03
1.999990000000000101e-01 5.014999999999999680e+00 9.865999999999999659e+01 1.700000000000000122e-03
2.249990000000000046e-01 5.320000000000000284e+00 1.035999999999999943e+02 1.800000000000000168e-03
2.499989999999999990e-01 5.607000000000000206e+00 1.082000000000000028e+02 1.899999999999999996e-03
