# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.147999999999999909e+00 2.900000000000000000e+01 4.000000000000000192e-04
1.099989999999999996e-02 1.203999999999999959e+00 3.055000000000000071e+01 4.000000000000000192e-04
1.199990000000000084e-02 1.258000000000000007e+00 3.202000000000000313e+01 4.000000000000000192e-04
1.299990000000000000e-02 1.308999999999999941e+00 3.342999999999999972e+01 4.000000000000000192e-04
1.399990000000000089e-02 1.358999999999999986e+00 3.477000000000000313e+01 5.000000000000000104e-04
1.499990000000000004e-02 1.405999999999999917e+00 3.607000000000000028e+01 5.000000000000000104e-04
1.599990000000000093e-02 1.453000000000000069e+00 3.731000000000000227e+01 5.000000000000000104e-04
1.699990000000000182e-02 1.497000000000000108e+00 3.852000000000000313e+01 5.000000000000000104e-04
1.799989999999999923e-02 1.540999999999999925e+00 3.967999999999999972e+01 5.000000000000000104e-04
1.999990000000000101e-02 1.624000000000000110e+00 4.189000000000000057e+01 5.000000000000000104e-04
2.249989999999999976e-02 1.723000000000000087e+00 4.449000000000000199e+01 6.000000000000000559e-04
2.499990000000000198e-02 1.816000000000000059e+00 4.690999999999999659e+01 6.000000000000000559e-04
2.749990000000000073e-02 1.903999999999999915e+00 4.918999999999999773e+01 6.000000000000000559e-04
2.999989999999999948e-02 1.989000000000000101e+00 5.135000000000000142e+01 6.000000000000000559e-04
3.249989999999999823e-02 2.069999999999999840e+00 5.339000000000000057e+01 6.999999999999999929e-04
3.499990000000000046e-02 2.148000000000000131e+00 5.534000000000000341e+01 6.999999999999999929e-04
3.749989999999999574e-02 2.224000000000000199e+00 5.720000000000000284e+01 6.999999999999999929e-04
3.999989999999999796e-02 2.297000000000000153e+00 5.897999999999999687e+01 6.999999999999999929e-04
4.499989999999999546e-02 2.435999999999999943e+00 6.232999999999999829e+01 8.000000000000000383e-04
4.999989999999999990e-02 2.568000000000000060e+00 6.543999999999999773e+01 8.000000000000000383e-04
5.499989999999999740e-02 2.693000000000000060e+00 6.834999999999999432e+01 9.000000000000000838e-04
5.999989999999999490e-02 2.813000000000000167e+00 7.106999999999999318e+01 9.000000000000000838e-04
6.499989999999999934e-02 2.927999999999999936e+00 7.364000000000000057e+01 9.000000000000000838e-04
6.999990000000000379e-02 3.037999999999999812e+00 7.606999999999999318e+01 1.000000000000000021e-03
7.999989999999999879e-02 3.248000000000000220e+00 8.057999999999999829e+01 1.000000000000000021e-03
8.999989999999999379e-02 3.444999999999999840e+00 8.468999999999999773e+01 1.100000000000000066e-03
9.999990000000000268e-02 3.632000000000000117e+00 8.845999999999999375e+01 1.200000000000000112e-03
1.100000000000000006e-01 3.809000000000000163e+00 9.195000000000000284e+01 1.200000000000000112e-03
1.199999999999999956e-01 3.978000000000000203e+00 9.520000000000000284e+01 1.300000000000000157e-03
1.300000000000000044e-01 4.141000000000000014e+00 9.823999999999999488e+01 1.300000000000000157e-03
1.399989999999999846e-01 4.296999999999999709e+00 1.010999999999999943e+02 1.399999999999999986e-03
1.499989999999999934e-01 4.448000000000000398e+00 1.037999999999999972e+02 1.399999999999999986e-03
1.599990000000000023e-01 4.594000000000000306e+00 1.062999999999999972e+02 1.500000000000000031e-03
1.699990000000000112e-01 4.735000000000000320e+00 1.087000000000000028e+02 1.600000000000000077e-03
1.799989999999999923e-01 4.871999999999999886e+00 1.110000000000000000e+02 1.600000000000000077e-03
1.999990000000000101e-01 5.136000000000000121e+00 1.152999999999999972e+02 1.700000000000000122e-03
2.249990000000000046e-01 5.448000000000000398e+00 1.200999999999999943e+02 1.800000000000000168e-03
2.499989999999999990e-01 5.741999999999999993e+00 1.245000000000000000e+02 1.899999999999999996e-03
2.749990000000000490e-01 6.022999999999999687e+00 1.285000000000000000e+02 2.100000000000000304e-03
2.999990000000000157e-01 6.290000000000000036e+00 1.320999999999999943e+02 2.200000000000000133e-03
3.249990000000000379e-01 6.546999999999999709e+00 1.355000000000000000e+02 2.299999999999999961e-03
3.499990000000000046e-01 6.793999999999999595e+00 1.385999999999999943e+02 2.400000000000000223e-03
3.749990000000000268e-01 7.033000000000000362e+00 1.415000000000000000e+02 2.500000000000000052e-03
3.999990000000000490e-01 7.264000000000000234e+00 1.443000000000000114e+02 2.600000000000000314e-03
4.499990000000000379e-01 7.703999999999999737e+00 1.491999999999999886e+02 2.799999999999999972e-03
4.999990000000000268e-01 8.121000000000000441e+00 1.535999999999999943e+02 3.000000000000000062e-03
5.499990000000000157e-01 8.518000000000000682e+00 1.575000000000000000e+02 3.200000000000000153e-03
5.999990000000000601e-01 8.896000000000000796e+00 1.610000000000000000e+02 3.400000000000000244e-03
6.499989999999999934e-01 9.259999999999999787e+00 1.643000000000000114e+02 3.500000000000000073e-03
6.999990000000000379e-01 9.608999999999999986e+00 1.671999999999999886e+02 3.700000000000000164e-03
7.999990000000000157e-01 1.026999999999999957e+01 1.724000000000000057e+02 4.100000000000000346e-03
8.999989999999999934e-01 1.090000000000000036e+01 1.768000000000000114e+02 4.400000000000000265e-03
9.999990000000000823e-01 1.149000000000000021e+01 1.805999999999999943e+02 4.800000000000000447e-03
1.100000000000000089e+00 1.205000000000000071e+01 1.839000000000000057e+02 5.100000000000000366e-03
1.199999999999999956e+00 1.258000000000000007e+01 1.868000000000000114e+02 5.500000000000000548e-03
1.300000000000000044e+00 1.309999999999999964e+01 1.894000000000000057e+02 5.800000000000000468e-03
1.399999999999999911e+00 1.358999999999999986e+01 1.915999999999999943e+02 6.100000000000000387e-03
1.500000000000000000e+00 1.407000000000000028e+01 1.936999999999999886e+02 6.400000000000000307e-03
1.600000000000000089e+00 1.452999999999999936e+01 1.955000000000000000e+02 6.700000000000000226e-03
1.699999999999999956e+00 1.498000000000000043e+01 1.970999999999999943e+02 7.100000000000000408e-03
1.800000000000000044e+00 1.541000000000000014e+01 1.985999999999999943e+02 7.400000000000000328e-03
2.000000000000000000e+00 1.625000000000000000e+01 2.010000000000000000e+02 8.000000000000000167e-03
2.250000000000000000e+00 1.723000000000000043e+01 2.035000000000000000e+02 8.800000000000000530e-03
2.500000000000000000e+00 1.816000000000000014e+01 2.054000000000000057e+02 9.600000000000000894e-03
2.750000000000000000e+00 1.905000000000000071e+01 2.068000000000000114e+02 1.030000000000000013e-02
3.000000000000000000e+00 1.989999999999999858e+01 2.079000000000000057e+02 1.110000000000000049e-02
3.250000000000000000e+00 2.071000000000000085e+01 2.086999999999999886e+02 1.190000000000000085e-02
3.500000000000000000e+00 2.148999999999999844e+01 2.091999999999999886e+02 1.260000000000000009e-02
3.750000000000000000e+00 2.225000000000000000e+01 2.095999999999999943e+02 1.340000000000000045e-02
4.000000000000000000e+00 2.298000000000000043e+01 2.096999999999999886e+02 1.420000000000000082e-02
4.500000000000000000e+00 2.437000000000000099e+01 2.096999999999999886e+02 1.570000000000000215e-02
5.000000000000000000e+00 2.569000000000000128e+01 2.091999999999999886e+02 1.720000000000000001e-02
5.500000000000000000e+00 2.694999999999999929e+01 2.085000000000000000e+02 1.870000000000000134e-02
6.000000000000000000e+00 2.814999999999999858e+01 2.075000000000000000e+02 2.030000000000000207e-02
6.500000000000000000e+00 2.930000000000000071e+01 2.064000000000000057e+02 2.179999999999999993e-02
7.000000000000000000e+00 3.039999999999999858e+01 2.050999999999999943e+02 2.340000000000000066e-02
8.000000000000000000e+00 3.250000000000000000e+01 2.023000000000000114e+02 2.650000000000000272e-02
9.000000000000000000e+00 3.447999999999999687e+01 1.993000000000000114e+02 2.970000000000000070e-02
1.000000000000000000e+01 3.634000000000000341e+01 1.961999999999999886e+02 3.289999999999999869e-02
1.100000000000000000e+01 3.811999999999999744e+01 1.930999999999999943e+02 3.620000000000000301e-02
1.200000000000000000e+01 3.982000000000000028e+01 1.900000000000000000e+02 3.940000000000000446e-02
1.300000000000000000e+01 4.143999999999999773e+01 1.869000000000000057e+02 4.280000000000000471e-02
1.400000000000000000e+01 4.300999999999999801e+01 1.839000000000000057e+02 4.610000000000000209e-02
1.500000000000000000e+01 4.452000000000000313e+01 1.810000000000000000e+02 4.950000000000000233e-02
1.600000000000000000e+01 4.597999999999999687e+01 1.781999999999999886e+02 5.300000000000000544e-02
1.700000000000000000e+01 4.739999999999999858e+01 1.754000000000000057e+02 5.640000000000000568e-02
1.800000000000000000e+01 4.878000000000000114e+01 1.726999999999999886e+02 5.990000000000000185e-02
2.000000000000000000e+01 5.142000000000000171e+01 1.675999999999999943e+02 6.700000000000000400e-02
2.250000000000000000e+01 5.453999999999999915e+01 1.615999999999999943e+02 7.610000000000000098e-02
2.500000000000000000e+01 5.750000000000000000e+01 1.560000000000000000e+02 8.530000000000000082e-02
2.750000000000000000e+01 6.031000000000000227e+01 1.509000000000000057e+02 9.470000000000000639e-02
3.000000000000000000e+01 6.299000000000000199e+01 1.461999999999999886e+02 1.042000000000000010e-01
3.250000000000000000e+01 6.556000000000000227e+01 1.418000000000000114e+02 1.139000000000000012e-01
3.500000000000000000e+01 6.790999999999999659e+01 1.375999999999999943e+02 1.237000000000000044e-01
3.750000000000000000e+01 7.004000000000000625e+01 1.338000000000000114e+02 1.335999999999999965e-01
4.000000000000000000e+01 7.201999999999999602e+01 1.301999999999999886e+02 1.436999999999999944e-01
4.500000000000000000e+01 7.559999999999999432e+01 1.235999999999999943e+02 1.640999999999999959e-01
5.000000000000000000e+01 7.884999999999999432e+01 1.177999999999999972e+02 1.849999999999999978e-01
5.500000000000000000e+01 8.187999999999999545e+01 1.125999999999999943e+02 2.062000000000000222e-01
6.000000000000000000e+01 8.475000000000000000e+01 1.079000000000000057e+02 2.278000000000000025e-01
6.500000000000000000e+01 8.750000000000000000e+01 1.037000000000000028e+02 2.497000000000000053e-01
7.000000000000000000e+01 9.017000000000000171e+01 9.981000000000000227e+01 2.717999999999999861e-01
8.000000000000000000e+01 9.529999999999999716e+01 9.300000000000000000e+01 3.167000000000000370e-01
9.000000000000000000e+01 1.002999999999999972e+02 8.720000000000000284e+01 3.622000000000000219e-01
1.000000000000000000e+02 1.050999999999999943e+02 8.218000000000000682e+01 4.081000000000000183e-01
1.100000000000000000e+02 1.097000000000000028e+02 7.779000000000000625e+01 4.543000000000000371e-01
1.200000000000000000e+02 1.142999999999999972e+02 7.392000000000000171e+01 5.006000000000000449e-01
1.300000000000000000e+02 1.187999999999999972e+02 7.046999999999999886e+01 5.470000000000000417e-01
1.400000000000000000e+02 1.232000000000000028e+02 6.737000000000000455e+01 5.932000000000000606e-01
1.500000000000000000e+02 1.275999999999999943e+02 6.456999999999999318e+01 6.392999999999999794e-01
1.600000000000000000e+02 1.319000000000000057e+02 6.203000000000000114e+01 6.852000000000000313e-01
1.700000000000000000e+02 1.360999999999999943e+02 5.971000000000000085e+01 7.308999999999999941e-01
1.800000000000000000e+02 1.403000000000000114e+02 5.757999999999999829e+01 7.762000000000000011e-01
2.000000000000000000e+02 1.484000000000000057e+02 5.379999999999999716e+01 8.659000000000000030e-01
2.250000000000000000e+02 1.584000000000000057e+02 4.979999999999999716e+01 9.760000000000000897e-01
2.500000000000000000e+02 1.681999999999999886e+02 4.642999999999999972e+01 1.080000000000000071e+00
2.750000000000000000e+02 1.776999999999999886e+02 4.353999999999999915e+01 1.189999999999999947e+00
3.000000000000000000e+02 1.870999999999999943e+02 4.103000000000000114e+01 1.290000000000000036e+00
3.250000000000000000e+02 1.964000000000000057e+02 3.882000000000000028e+01 1.389999999999999902e+00
3.500000000000000000e+02 2.055000000000000000e+02 3.686999999999999744e+01 1.489999999999999991e+00
3.750000000000000000e+02 2.145000000000000000e+02 3.513000000000000256e+01 1.580000000000000071e+00
4.000000000000000000e+02 2.235000000000000000e+02 3.356000000000000227e+01 1.669999999999999929e+00
4.500000000000000000e+02 2.410999999999999943e+02 3.085000000000000142e+01 1.850000000000000089e+00
5.000000000000000000e+02 2.583000000000000114e+02 2.858999999999999986e+01 2.020000000000000018e+00
5.500000000000000000e+02 2.753000000000000114e+02 2.667000000000000171e+01 2.180000000000000160e+00
6.000000000000000000e+02 2.921000000000000227e+02 2.501999999999999957e+01 2.339999999999999858e+00
6.500000000000000000e+02 3.086000000000000227e+02 2.357999999999999829e+01 2.479999999999999982e+00
7.000000000000000000e+02 3.248999999999999773e+02 2.230999999999999872e+01 2.629999999999999893e+00
8.000000000000000000e+02 3.568999999999999773e+02 2.019000000000000128e+01 2.890000000000000124e+00
9.000000000000000000e+02 3.881000000000000227e+02 1.846000000000000085e+01 3.140000000000000124e+00
1.000000000000000000e+03 4.185000000000000000e+02 1.703000000000000114e+01 3.370000000000000107e+00
1.100000000000000000e+03 4.481999999999999886e+02 1.583000000000000007e+01 3.589999999999999858e+00
1.200000000000000000e+03 4.771999999999999886e+02 1.480000000000000071e+01 3.790000000000000036e+00
1.300000000000000000e+03 5.055000000000000000e+02 1.390000000000000036e+01 3.979999999999999982e+00
1.400000000000000000e+03 5.331000000000000227e+02 1.311999999999999922e+01 4.169999999999999929e+00
1.500000000000000000e+03 5.600000000000000000e+02 1.242999999999999972e+01 4.339999999999999858e+00
1.600000000000000000e+03 5.862000000000000455e+02 1.181000000000000050e+01 4.509999999999999787e+00
1.700000000000000000e+03 6.117000000000000455e+02 1.125999999999999979e+01 4.669999999999999929e+00
1.800000000000000000e+03 6.366000000000000227e+02 1.075999999999999979e+01 4.830000000000000071e+00
2.000000000000000000e+03 6.842999999999999545e+02 9.893000000000000682e+00 5.120000000000000107e+00
2.250000000000000000e+03 7.402999999999999545e+02 9.002000000000000668e+00 5.459999999999999964e+00
