# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.403999999999999915e+00 2.994999999999999929e+01 3.000000000000000279e-04
1.099989999999999996e-02 1.473000000000000087e+00 3.155999999999999872e+01 3.000000000000000279e-04
1.199990000000000084e-02 1.538000000000000034e+00 3.309000000000000341e+01 4.000000000000000192e-04
1.299990000000000000e-02 1.600999999999999979e+00 3.454999999999999716e+01 4.000000000000000192e-04
1.399990000000000089e-02 1.661999999999999922e+00 3.596000000000000085e+01 4.000000000000000192e-04
1.499990000000000004e-02 1.719999999999999973e+00 3.731000000000000227e+01 4.000000000000000192e-04
1.599990000000000093e-02 1.776000000000000023e+00 3.860999999999999943e+01 4.000000000000000192e-04
1.699990000000000182e-02 1.830999999999999961e+00 3.985999999999999943e+01 4.000000000000000192e-04
1.799989999999999923e-02 1.883999999999999897e+00 4.107999999999999829e+01 4.000000000000000192e-04
1.999990000000000101e-02 1.985999999999999988e+00 4.339000000000000057e+01 4.000000000000000192e-04
2.249989999999999976e-02 2.107000000000000206e+00 4.610000000000000142e+01 5.000000000000000104e-04
2.499990000000000198e-02 2.221000000000000085e+00 4.864000000000000057e+01 5.000000000000000104e-04
2.749990000000000073e-02 2.329000000000000181e+00 5.103000000000000114e+01 5.000000000000000104e-04
2.999989999999999948e-02 2.432999999999999829e+00 5.328999999999999915e+01 5.000000000000000104e-04
3.249989999999999823e-02 2.532000000000000028e+00 5.543999999999999773e+01 6.000000000000000559e-04
3.499990000000000046e-02 2.628000000000000114e+00 5.747999999999999687e+01 6.000000000000000559e-04
3.749989999999999574e-02 2.720000000000000195e+00 5.943999999999999773e+01 6.000000000000000559e-04
3.999989999999999796e-02 2.809000000000000163e+00 6.131000000000000227e+01 6.000000000000000559e-04
4.499989999999999546e-02 2.979000000000000092e+00 6.484000000000000341e+01 6.000000000000000559e-04
4.999989999999999990e-02 3.140000000000000124e+00 6.810999999999999943e+01 6.999999999999999929e-04
5.499989999999999740e-02 3.294000000000000039e+00 7.118000000000000682e+01 6.999999999999999929e-04
5.999989999999999490e-02 3.439999999999999947e+00 7.404999999999999716e+01 6.999999999999999929e-04
6.499989999999999934e-02 3.580999999999999961e+00 7.676999999999999602e+01 8.000000000000000383e-04
6.999990000000000379e-02 3.716000000000000192e+00 7.934000000000000341e+01 8.000000000000000383e-04
7.999989999999999879e-02 3.971999999999999975e+00 8.410999999999999943e+01 9.000000000000000838e-04
8.999989999999999379e-02 4.213000000000000078e+00 8.846999999999999886e+01 9.000000000000000838e-04
9.999990000000000268e-02 4.440999999999999837e+00 9.248000000000000398e+01 1.000000000000000021e-03
1.100000000000000006e-01 4.658000000000000362e+00 9.618999999999999773e+01 1.000000000000000021e-03
1.199999999999999956e-01 4.865000000000000213e+00 9.965000000000000568e+01 1.100000000000000066e-03
1.300000000000000044e-01 5.064000000000000057e+00 1.029000000000000057e+02 1.100000000000000066e-03
1.399989999999999846e-01 5.254999999999999893e+00 1.059000000000000057e+02 1.200000000000000112e-03
1.499989999999999934e-01 5.440000000000000391e+00 1.087999999999999972e+02 1.200000000000000112e-03
1.599990000000000023e-01 5.618000000000000327e+00 1.115000000000000000e+02 1.300000000000000157e-03
1.699990000000000112e-01 5.791000000000000369e+00 1.140999999999999943e+02 1.300000000000000157e-03
1.799989999999999923e-01 5.958999999999999631e+00 1.165999999999999943e+02 1.300000000000000157e-03
1.999990000000000101e-01 6.280999999999999694e+00 1.212000000000000028e+02 1.399999999999999986e-03
2.249990000000000046e-01 6.661999999999999922e+00 1.264000000000000057e+02 1.500000000000000031e-03
2.499989999999999990e-01 7.022999999999999687e+00 1.310999999999999943e+02 1.600000000000000077e-03
2.749990000000000490e-01 7.365000000000000213e+00 1.354000000000000057e+02 1.700000000000000122e-03
2.999990000000000157e-01 7.692999999999999616e+00 1.393000000000000114e+02 1.800000000000000168e-03
3.249990000000000379e-01 8.006999999999999673e+00 1.430000000000000000e+02 1.899999999999999996e-03
3.499990000000000046e-01 8.308999999999999275e+00 1.464000000000000057e+02 2.000000000000000042e-03
3.749990000000000268e-01 8.601000000000000867e+00 1.495999999999999943e+02 2.100000000000000304e-03
3.999990000000000490e-01 8.882999999999999119e+00 1.525000000000000000e+02 2.200000000000000133e-03
4.499990000000000379e-01 9.422000000000000597e+00 1.579000000000000057e+02 2.299999999999999961e-03
4.999990000000000268e-01 9.932000000000000384e+00 1.626999999999999886e+02 2.500000000000000052e-03
5.499990000000000157e-01 1.041999999999999993e+01 1.670000000000000000e+02 2.600000000000000314e-03
5.999990000000000601e-01 1.088000000000000078e+01 1.709000000000000057e+02 2.799999999999999972e-03
6.499989999999999934e-01 1.132000000000000028e+01 1.745000000000000000e+02 3.000000000000000062e-03
6.999990000000000379e-01 1.175000000000000000e+01 1.776999999999999886e+02 3.100000000000000325e-03
7.999990000000000157e-01 1.256000000000000050e+01 1.835000000000000000e+02 3.400000000000000244e-03
8.999989999999999934e-01 1.333000000000000007e+01 1.884000000000000057e+02 3.700000000000000164e-03
9.999990000000000823e-01 1.405000000000000071e+01 1.926999999999999886e+02 4.000000000000000083e-03
1.100000000000000089e+00 1.473000000000000043e+01 1.965000000000000000e+02 4.300000000000000003e-03
1.199999999999999956e+00 1.539000000000000057e+01 1.998000000000000114e+02 4.500000000000000527e-03
1.300000000000000044e+00 1.601999999999999957e+01 2.026999999999999886e+02 4.800000000000000447e-03
1.399999999999999911e+00 1.662000000000000099e+01 2.054000000000000057e+02 5.100000000000000366e-03
1.500000000000000000e+00 1.719999999999999929e+01 2.076999999999999886e+02 5.300000000000000024e-03
1.600000000000000089e+00 1.776999999999999957e+01 2.098000000000000114e+02 5.599999999999999943e-03
1.699999999999999956e+00 1.832000000000000028e+01 2.116999999999999886e+02 5.899999999999999863e-03
1.800000000000000044e+00 1.885000000000000142e+01 2.134000000000000057e+02 6.100000000000000387e-03
2.000000000000000000e+00 1.987000000000000099e+01 2.164000000000000057e+02 6.700000000000000226e-03
2.250000000000000000e+00 2.107000000000000028e+01 2.194000000000000057e+02 7.300000000000000065e-03
2.500000000000000000e+00 2.221000000000000085e+01 2.218000000000000114e+02 7.900000000000000772e-03
2.750000000000000000e+00 2.330000000000000071e+01 2.236999999999999886e+02 8.600000000000000006e-03
3.000000000000000000e+00 2.432999999999999829e+01 2.250999999999999943e+02 9.199999999999999845e-03
3.250000000000000000e+00 2.532999999999999829e+01 2.263000000000000114e+02 9.799999999999999684e-03
3.500000000000000000e+00 2.628000000000000114e+01 2.270999999999999943e+02 1.050000000000000065e-02
3.750000000000000000e+00 2.721000000000000085e+01 2.278000000000000114e+02 1.110000000000000049e-02
4.000000000000000000e+00 2.810000000000000142e+01 2.281999999999999886e+02 1.170000000000000033e-02
4.500000000000000000e+00 2.980000000000000071e+01 2.286999999999999886e+02 1.300000000000000114e-02
5.000000000000000000e+00 3.142000000000000171e+01 2.285999999999999943e+02 1.420000000000000082e-02
5.500000000000000000e+00 3.295000000000000284e+01 2.281999999999999886e+02 1.549999999999999989e-02
6.000000000000000000e+00 3.442000000000000171e+01 2.275000000000000000e+02 1.669999999999999957e-02
6.500000000000000000e+00 3.582000000000000028e+01 2.265999999999999943e+02 1.800000000000000211e-02
7.000000000000000000e+00 3.717999999999999972e+01 2.255999999999999943e+02 1.930000000000000118e-02
8.000000000000000000e+00 3.974000000000000199e+01 2.230999999999999943e+02 2.179999999999999993e-02
9.000000000000000000e+00 4.215999999999999659e+01 2.204000000000000057e+02 2.440000000000000155e-02
1.000000000000000000e+01 4.443999999999999773e+01 2.175000000000000000e+02 2.699999999999999969e-02
1.100000000000000000e+01 4.660999999999999943e+01 2.145000000000000000e+02 2.960000000000000131e-02
1.200000000000000000e+01 4.867999999999999972e+01 2.115000000000000000e+02 3.230000000000000232e-02
1.300000000000000000e+01 5.067000000000000171e+01 2.085000000000000000e+02 3.500000000000000333e-02
1.400000000000000000e+01 5.259000000000000341e+01 2.055000000000000000e+02 3.770000000000000434e-02
1.500000000000000000e+01 5.442999999999999972e+01 2.025999999999999943e+02 4.040000000000000535e-02
1.600000000000000000e+01 5.621999999999999886e+01 1.996999999999999886e+02 4.320000000000000229e-02
1.700000000000000000e+01 5.795000000000000284e+01 1.969000000000000057e+02 4.599999999999999922e-02
1.800000000000000000e+01 5.964000000000000057e+01 1.941999999999999886e+02 4.880000000000000310e-02
2.000000000000000000e+01 6.285999999999999943e+01 1.889000000000000057e+02 5.449999999999999983e-02
2.250000000000000000e+01 6.668000000000000682e+01 1.826999999999999886e+02 6.180000000000000077e-02
2.500000000000000000e+01 7.029000000000000625e+01 1.769000000000000057e+02 6.910000000000000864e-02
2.750000000000000000e+01 7.373000000000000398e+01 1.715999999999999943e+02 7.660000000000000142e-02
3.000000000000000000e+01 7.701000000000000512e+01 1.665000000000000000e+02 8.420000000000001095e-02
3.250000000000000000e+01 8.014000000000000057e+01 1.618000000000000114e+02 9.190000000000000946e-02
3.500000000000000000e+01 8.306000000000000227e+01 1.574000000000000057e+02 9.970000000000001084e-02
3.750000000000000000e+01 8.582999999999999829e+01 1.533000000000000114e+02 1.076000000000000012e-01
4.000000000000000000e+01 8.848999999999999488e+01 1.494000000000000057e+02 1.156000000000000083e-01
4.500000000000000000e+01 9.353000000000000114e+01 1.423000000000000114e+02 1.317000000000000115e-01
5.000000000000000000e+01 9.829000000000000625e+01 1.360000000000000000e+02 1.481999999999999984e-01
5.500000000000000000e+01 1.027999999999999972e+02 1.303000000000000114e+02 1.648000000000000020e-01
6.000000000000000000e+01 1.072000000000000028e+02 1.250999999999999943e+02 1.817000000000000004e-01
6.500000000000000000e+01 1.115000000000000000e+02 1.204000000000000057e+02 1.987000000000000155e-01
7.000000000000000000e+01 1.155999999999999943e+02 1.160999999999999943e+02 2.158000000000000196e-01
8.000000000000000000e+01 1.235999999999999943e+02 1.085000000000000000e+02 2.504000000000000115e-01
9.000000000000000000e+01 1.313000000000000114e+02 1.020000000000000000e+02 2.851000000000000201e-01
1.000000000000000000e+02 1.386999999999999886e+02 9.637000000000000455e+01 3.200000000000000067e-01
1.100000000000000000e+02 1.459000000000000057e+02 9.140000000000000568e+01 3.548999999999999932e-01
1.200000000000000000e+02 1.529000000000000057e+02 8.700000000000000000e+01 3.897000000000000464e-01
1.300000000000000000e+02 1.596999999999999886e+02 8.306999999999999318e+01 4.243000000000000105e-01
1.400000000000000000e+02 1.664000000000000057e+02 7.953000000000000114e+01 4.586999999999999966e-01
1.500000000000000000e+02 1.730000000000000000e+02 7.632999999999999829e+01 4.929000000000000048e-01
1.600000000000000000e+02 1.795000000000000000e+02 7.340999999999999659e+01 5.268000000000000460e-01
1.700000000000000000e+02 1.858000000000000114e+02 7.073999999999999488e+01 5.604000000000000092e-01
1.800000000000000000e+02 1.920999999999999943e+02 6.828000000000000114e+01 5.937000000000000055e-01
2.000000000000000000e+02 2.044000000000000057e+02 6.390999999999999659e+01 6.592999999999999972e-01
2.250000000000000000e+02 2.195000000000000000e+02 5.928000000000000114e+01 7.392000000000000792e-01
2.500000000000000000e+02 2.340999999999999943e+02 5.535999999999999943e+01 8.169000000000000705e-01
2.750000000000000000e+02 2.485999999999999943e+02 5.197999999999999687e+01 8.923000000000000931e-01
3.000000000000000000e+02 2.626999999999999886e+02 4.904999999999999716e+01 9.656000000000000139e-01
3.250000000000000000e+02 2.766999999999999886e+02 4.646000000000000085e+01 1.040000000000000036e+00
3.500000000000000000e+02 2.905000000000000000e+02 4.417000000000000171e+01 1.110000000000000098e+00
3.750000000000000000e+02 3.041000000000000227e+02 4.211999999999999744e+01 1.169999999999999929e+00
4.000000000000000000e+02 3.176000000000000227e+02 4.028000000000000114e+01 1.239999999999999991e+00
4.500000000000000000e+02 3.441000000000000227e+02 3.707999999999999829e+01 1.360000000000000098e+00
5.000000000000000000e+02 3.700000000000000000e+02 3.440999999999999659e+01 1.479999999999999982e+00
5.500000000000000000e+02 3.955000000000000000e+02 3.214000000000000057e+01 1.590000000000000080e+00
6.000000000000000000e+02 4.203999999999999773e+02 3.017000000000000171e+01 1.699999999999999956e+00
6.500000000000000000e+02 4.448999999999999773e+02 2.846000000000000085e+01 1.800000000000000044e+00
7.000000000000000000e+02 4.688999999999999773e+02 2.696000000000000085e+01 1.899999999999999911e+00
8.000000000000000000e+02 5.155000000000000000e+02 2.442000000000000171e+01 2.089999999999999858e+00
9.000000000000000000e+02 5.602000000000000455e+02 2.235999999999999943e+01 2.259999999999999787e+00
1.000000000000000000e+03 6.031000000000000227e+02 2.064999999999999858e+01 2.419999999999999929e+00
1.100000000000000000e+03 6.442999999999999545e+02 1.919999999999999929e+01 2.569999999999999840e+00
