# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 4.000000000000000000e+00 3.654999999999999716e+01 2.000000000000000096e-04
1.099989999999999996e-02 4.195000000000000284e+00 3.853000000000000114e+01 2.000000000000000096e-04
1.199990000000000084e-02 4.381000000000000227e+00 4.040999999999999659e+01 3.000000000000000279e-04
1.299990000000000000e-02 4.559999999999999609e+00 4.221000000000000085e+01 3.000000000000000279e-04
1.399990000000000089e-02 4.732000000000000206e+00 4.392999999999999972e+01 3.000000000000000279e-04
1.499990000000000004e-02 4.897999999999999687e+00 4.559000000000000341e+01 3.000000000000000279e-04
1.599990000000000093e-02 5.059000000000000163e+00 4.718999999999999773e+01 3.000000000000000279e-04
1.699990000000000182e-02 5.214999999999999858e+00 4.872999999999999687e+01 3.000000000000000279e-04
1.799989999999999923e-02 5.365999999999999659e+00 5.022999999999999687e+01 3.000000000000000279e-04
1.999990000000000101e-02 5.655999999999999694e+00 5.307999999999999829e+01 3.000000000000000279e-04
2.249989999999999976e-02 5.998999999999999666e+00 5.642000000000000171e+01 3.000000000000000279e-04
2.499990000000000198e-02 6.323999999999999844e+00 5.953999999999999915e+01 4.000000000000000192e-04
2.749990000000000073e-02 6.633000000000000007e+00 6.249000000000000199e+01 4.000000000000000192e-04
2.999989999999999948e-02 6.927999999999999936e+00 6.528000000000000114e+01 4.000000000000000192e-04
3.249989999999999823e-02 7.209999999999999964e+00 6.792000000000000171e+01 4.000000000000000192e-04
3.499990000000000046e-02 7.482999999999999652e+00 7.045000000000000284e+01 4.000000000000000192e-04
3.749989999999999574e-02 7.745000000000000107e+00 7.285999999999999943e+01 4.000000000000000192e-04
3.999989999999999796e-02 7.998999999999999666e+00 7.517000000000000171e+01 4.000000000000000192e-04
4.499989999999999546e-02 8.483999999999999986e+00 7.953000000000000114e+01 5.000000000000000104e-04
4.999989999999999990e-02 8.942999999999999616e+00 8.359000000000000341e+01 5.000000000000000104e-04
5.499989999999999740e-02 9.380000000000000782e+00 8.737999999999999545e+01 5.000000000000000104e-04
5.999989999999999490e-02 9.797000000000000597e+00 9.093999999999999773e+01 5.000000000000000104e-04
6.499989999999999934e-02 1.019999999999999929e+01 9.431000000000000227e+01 6.000000000000000559e-04
6.999990000000000379e-02 1.058000000000000007e+01 9.750000000000000000e+01 6.000000000000000559e-04
7.999989999999999879e-02 1.131000000000000050e+01 1.034000000000000057e+02 6.000000000000000559e-04
8.999989999999999379e-02 1.200000000000000000e+01 1.087999999999999972e+02 6.999999999999999929e-04
9.999990000000000268e-02 1.265000000000000036e+01 1.137999999999999972e+02 6.999999999999999929e-04
1.100000000000000006e-01 1.326999999999999957e+01 1.184000000000000057e+02 6.999999999999999929e-04
1.199999999999999956e-01 1.385999999999999943e+01 1.227999999999999972e+02 8.000000000000000383e-04
1.300000000000000044e-01 1.441999999999999993e+01 1.267999999999999972e+02 8.000000000000000383e-04
1.399989999999999846e-01 1.497000000000000064e+01 1.305999999999999943e+02 8.000000000000000383e-04
1.499989999999999934e-01 1.549000000000000021e+01 1.341999999999999886e+02 9.000000000000000838e-04
1.599990000000000023e-01 1.600000000000000000e+01 1.375999999999999943e+02 9.000000000000000838e-04
1.699990000000000112e-01 1.648999999999999844e+01 1.408000000000000114e+02 9.000000000000000838e-04
1.799989999999999923e-01 1.696999999999999886e+01 1.439000000000000057e+02 1.000000000000000021e-03
1.999990000000000101e-01 1.789000000000000057e+01 1.495999999999999943e+02 1.000000000000000021e-03
2.249990000000000046e-01 1.896999999999999886e+01 1.560999999999999943e+02 1.100000000000000066e-03
2.499989999999999990e-01 2.000000000000000000e+01 1.620999999999999943e+02 1.200000000000000112e-03
2.749990000000000490e-01 2.096999999999999886e+01 1.675000000000000000e+02 1.200000000000000112e-03
2.999990000000000157e-01 2.191000000000000014e+01 1.724000000000000057e+02 1.300000000000000157e-03
3.249990000000000379e-01 2.280000000000000071e+01 1.770000000000000000e+02 1.399999999999999986e-03
3.499990000000000046e-01 2.366000000000000014e+01 1.813000000000000114e+02 1.399999999999999986e-03
3.749990000000000268e-01 2.448999999999999844e+01 1.853000000000000114e+02 1.500000000000000031e-03
3.999990000000000490e-01 2.530000000000000071e+01 1.890000000000000000e+02 1.600000000000000077e-03
4.499990000000000379e-01 2.682999999999999829e+01 1.958000000000000114e+02 1.700000000000000122e-03
4.999990000000000268e-01 2.828000000000000114e+01 2.019000000000000057e+02 1.800000000000000168e-03
5.499990000000000157e-01 2.966000000000000014e+01 2.074000000000000057e+02 1.899999999999999996e-03
5.999990000000000601e-01 3.098000000000000043e+01 2.123000000000000114e+02 2.000000000000000042e-03
6.499989999999999934e-01 3.225000000000000000e+01 2.169000000000000057e+02 2.100000000000000304e-03
6.999990000000000379e-01 3.346000000000000085e+01 2.210000000000000000e+02 2.200000000000000133e-03
7.999990000000000157e-01 3.577000000000000313e+01 2.283000000000000114e+02 2.400000000000000223e-03
8.999989999999999934e-01 3.793999999999999773e+01 2.346999999999999886e+02 2.700000000000000143e-03
9.999990000000000823e-01 4.000000000000000000e+01 2.401999999999999886e+02 2.900000000000000234e-03
1.100000000000000089e+00 4.195000000000000284e+01 2.450000000000000000e+02 3.100000000000000325e-03
1.199999999999999956e+00 4.381000000000000227e+01 2.491999999999999886e+02 3.299999999999999982e-03
1.300000000000000044e+00 4.560000000000000142e+01 2.530000000000000000e+02 3.400000000000000244e-03
1.399999999999999911e+00 4.732000000000000028e+01 2.565000000000000000e+02 3.600000000000000335e-03
1.500000000000000000e+00 4.899000000000000199e+01 2.595000000000000000e+02 3.799999999999999992e-03
1.600000000000000089e+00 5.059000000000000341e+01 2.623000000000000114e+02 4.000000000000000083e-03
1.699999999999999956e+00 5.214999999999999858e+01 2.648000000000000114e+02 4.200000000000000608e-03
1.800000000000000044e+00 5.365999999999999659e+01 2.670000000000000000e+02 4.400000000000000265e-03
2.000000000000000000e+00 5.656000000000000227e+01 2.710000000000000000e+02 4.700000000000000185e-03
2.250000000000000000e+00 5.999000000000000199e+01 2.750000000000000000e+02 5.200000000000000629e-03
2.500000000000000000e+00 6.324000000000000199e+01 2.781999999999999886e+02 5.599999999999999943e-03
2.750000000000000000e+00 6.632999999999999829e+01 2.806999999999999886e+02 6.100000000000000387e-03
3.000000000000000000e+00 6.928000000000000114e+01 2.828000000000000114e+02 6.500000000000000569e-03
3.250000000000000000e+00 7.209999999999999432e+01 2.843999999999999773e+02 6.900000000000000751e-03
3.500000000000000000e+00 7.482999999999999829e+01 2.856000000000000227e+02 7.400000000000000328e-03
3.750000000000000000e+00 7.745000000000000284e+01 2.866000000000000227e+02 7.800000000000000509e-03
4.000000000000000000e+00 7.998999999999999488e+01 2.873000000000000114e+02 8.200000000000000691e-03
4.500000000000000000e+00 8.484999999999999432e+01 2.881999999999999886e+02 9.100000000000000450e-03
5.000000000000000000e+00 8.943999999999999773e+01 2.883999999999999773e+02 9.900000000000000813e-03
5.500000000000000000e+00 9.379999999999999716e+01 2.881000000000000227e+02 1.080000000000000057e-02
6.000000000000000000e+00 9.796999999999999886e+01 2.875000000000000000e+02 1.160000000000000094e-02
6.500000000000000000e+00 1.020000000000000000e+02 2.866000000000000227e+02 1.250000000000000069e-02
7.000000000000000000e+00 1.057999999999999972e+02 2.853999999999999773e+02 1.330000000000000106e-02
8.000000000000000000e+00 1.130999999999999943e+02 2.826999999999999886e+02 1.500000000000000118e-02
9.000000000000000000e+00 1.200000000000000000e+02 2.796000000000000227e+02 1.669999999999999957e-02
1.000000000000000000e+01 1.265000000000000000e+02 2.761999999999999886e+02 1.839999999999999969e-02
1.100000000000000000e+01 1.326999999999999886e+02 2.726999999999999886e+02 2.009999999999999981e-02
1.200000000000000000e+01 1.385999999999999943e+02 2.691000000000000227e+02 2.179999999999999993e-02
1.300000000000000000e+01 1.441999999999999886e+02 2.653999999999999773e+02 2.350000000000000006e-02
1.400000000000000000e+01 1.496999999999999886e+02 2.618999999999999773e+02 2.520000000000000018e-02
1.500000000000000000e+01 1.549000000000000057e+02 2.583000000000000114e+02 2.690000000000000030e-02
1.600000000000000000e+01 1.600000000000000000e+02 2.548000000000000114e+02 2.860000000000000042e-02
1.700000000000000000e+01 1.649000000000000057e+02 2.514000000000000057e+02 3.030000000000000054e-02
1.800000000000000000e+01 1.696999999999999886e+02 2.480000000000000000e+02 3.210000000000000353e-02
2.000000000000000000e+01 1.789000000000000057e+02 2.415000000000000000e+02 3.550000000000000377e-02
2.250000000000000000e+01 1.896999999999999886e+02 2.339000000000000057e+02 3.990000000000000491e-02
2.500000000000000000e+01 2.000000000000000000e+02 2.266999999999999886e+02 4.420000000000000318e-02
2.750000000000000000e+01 2.096999999999999886e+02 2.200000000000000000e+02 4.860000000000000431e-02
3.000000000000000000e+01 2.190999999999999943e+02 2.136999999999999886e+02 5.300000000000000544e-02
3.250000000000000000e+01 2.281999999999999886e+02 2.078000000000000114e+02 5.739999999999999963e-02
3.500000000000000000e+01 2.371999999999999886e+02 2.023000000000000114e+02 6.170000000000000484e-02
3.750000000000000000e+01 2.455000000000000000e+02 1.970999999999999943e+02 6.610000000000000597e-02
4.000000000000000000e+01 2.531999999999999886e+02 1.921999999999999886e+02 7.050000000000000711e-02
4.500000000000000000e+01 2.668999999999999773e+02 1.833000000000000114e+02 7.930000000000000937e-02
5.000000000000000000e+01 2.795000000000000000e+02 1.751999999999999886e+02 8.800000000000000877e-02
5.500000000000000000e+01 2.913000000000000114e+02 1.680000000000000000e+02 9.680000000000001104e-02
6.000000000000000000e+01 3.025000000000000000e+02 1.614000000000000057e+02 1.055999999999999994e-01
