# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.213000000000000078e+00 3.292999999999999972e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.321000000000000174e+00 3.471000000000000085e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.424999999999999822e+00 3.639999999999999858e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.524000000000000021e+00 3.802000000000000313e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.619000000000000217e+00 3.957000000000000028e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.710999999999999854e+00 4.106000000000000227e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.799999999999999822e+00 4.250000000000000000e+01 3.000000000000000279e-04
1.699990000000000182e-02 2.886000000000000121e+00 4.389000000000000057e+01 3.000000000000000279e-04
1.799989999999999923e-02 2.970000000000000195e+00 4.522999999999999687e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.129999999999999893e+00 4.778999999999999915e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.319999999999999840e+00 5.079999999999999716e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.500000000000000000e+00 5.360999999999999943e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.670999999999999819e+00 5.625000000000000000e+01 4.000000000000000192e-04
2.999989999999999948e-02 3.834000000000000075e+00 5.875999999999999801e+01 4.000000000000000192e-04
3.249989999999999823e-02 3.990000000000000213e+00 6.114000000000000057e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.141000000000000014e+00 6.339999999999999858e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.285999999999999588e+00 6.556999999999999318e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.426999999999999602e+00 6.765000000000000568e+01 5.000000000000000104e-04
4.499989999999999546e-02 4.695000000000000284e+00 7.156000000000000227e+01 5.000000000000000104e-04
4.999989999999999990e-02 4.948999999999999844e+00 7.520000000000000284e+01 6.000000000000000559e-04
5.499989999999999740e-02 5.190999999999999837e+00 7.860999999999999943e+01 6.000000000000000559e-04
5.999989999999999490e-02 5.421999999999999709e+00 8.179999999999999716e+01 6.000000000000000559e-04
6.499989999999999934e-02 5.642999999999999794e+00 8.481999999999999318e+01 6.000000000000000559e-04
6.999990000000000379e-02 5.855999999999999872e+00 8.768999999999999773e+01 6.999999999999999929e-04
7.999989999999999879e-02 6.261000000000000121e+00 9.300000000000000000e+01 6.999999999999999929e-04
8.999989999999999379e-02 6.639999999999999680e+00 9.784999999999999432e+01 8.000000000000000383e-04
9.999990000000000268e-02 7.000000000000000000e+00 1.022999999999999972e+02 8.000000000000000383e-04
1.100000000000000006e-01 7.341000000000000192e+00 1.065000000000000000e+02 9.000000000000000838e-04
1.199999999999999956e-01 7.668000000000000149e+00 1.102999999999999972e+02 9.000000000000000838e-04
1.300000000000000044e-01 7.980999999999999872e+00 1.139000000000000057e+02 9.000000000000000838e-04
1.399989999999999846e-01 8.282000000000000028e+00 1.172999999999999972e+02 1.000000000000000021e-03
1.499989999999999934e-01 8.573000000000000398e+00 1.205999999999999943e+02 1.000000000000000021e-03
1.599990000000000023e-01 8.853999999999999204e+00 1.235999999999999943e+02 1.100000000000000066e-03
1.699990000000000112e-01 9.127000000000000668e+00 1.265000000000000000e+02 1.100000000000000066e-03
1.799989999999999923e-01 9.391000000000000014e+00 1.291999999999999886e+02 1.100000000000000066e-03
1.999990000000000101e-01 9.898999999999999133e+00 1.344000000000000057e+02 1.200000000000000112e-03
2.249990000000000046e-01 1.050000000000000000e+01 1.401999999999999886e+02 1.300000000000000157e-03
2.499989999999999990e-01 1.107000000000000028e+01 1.455000000000000000e+02 1.399999999999999986e-03
2.749990000000000490e-01 1.160999999999999943e+01 1.503000000000000114e+02 1.399999999999999986e-03
2.999990000000000157e-01 1.211999999999999922e+01 1.548000000000000114e+02 1.500000000000000031e-03
3.249990000000000379e-01 1.261999999999999922e+01 1.589000000000000057e+02 1.600000000000000077e-03
3.499990000000000046e-01 1.309999999999999964e+01 1.626999999999999886e+02 1.700000000000000122e-03
3.749990000000000268e-01 1.356000000000000050e+01 1.661999999999999886e+02 1.700000000000000122e-03
3.999990000000000490e-01 1.400000000000000000e+01 1.695999999999999943e+02 1.800000000000000168e-03
4.499990000000000379e-01 1.484999999999999964e+01 1.755999999999999943e+02 2.000000000000000042e-03
4.999990000000000268e-01 1.565000000000000036e+01 1.810000000000000000e+02 2.100000000000000304e-03
5.499990000000000157e-01 1.642000000000000171e+01 1.859000000000000057e+02 2.200000000000000133e-03
5.999990000000000601e-01 1.714999999999999858e+01 1.903000000000000114e+02 2.400000000000000223e-03
6.499989999999999934e-01 1.785000000000000142e+01 1.943000000000000114e+02 2.500000000000000052e-03
6.999990000000000379e-01 1.851999999999999957e+01 1.980000000000000000e+02 2.600000000000000314e-03
7.999990000000000157e-01 1.980000000000000071e+01 2.045999999999999943e+02 2.900000000000000234e-03
8.999989999999999934e-01 2.100000000000000000e+01 2.101999999999999886e+02 3.100000000000000325e-03
9.999990000000000823e-01 2.214000000000000057e+01 2.150000000000000000e+02 3.400000000000000244e-03
1.100000000000000089e+00 2.321999999999999886e+01 2.193000000000000114e+02 3.600000000000000335e-03
1.199999999999999956e+00 2.425000000000000000e+01 2.230999999999999943e+02 3.799999999999999992e-03
1.300000000000000044e+00 2.523999999999999844e+01 2.264000000000000057e+02 4.100000000000000346e-03
1.399999999999999911e+00 2.619000000000000128e+01 2.294000000000000057e+02 4.300000000000000003e-03
1.500000000000000000e+00 2.710999999999999943e+01 2.320999999999999943e+02 4.500000000000000527e-03
1.600000000000000089e+00 2.800000000000000000e+01 2.345999999999999943e+02 4.700000000000000185e-03
1.699999999999999956e+00 2.885999999999999943e+01 2.368000000000000114e+02 5.000000000000000104e-03
1.800000000000000044e+00 2.969999999999999929e+01 2.388000000000000114e+02 5.200000000000000629e-03
2.000000000000000000e+00 3.130999999999999872e+01 2.421999999999999886e+02 5.599999999999999943e-03
2.250000000000000000e+00 3.321000000000000085e+01 2.456999999999999886e+02 6.200000000000000649e-03
2.500000000000000000e+00 3.500000000000000000e+01 2.485000000000000000e+02 6.700000000000000226e-03
2.750000000000000000e+00 3.671000000000000085e+01 2.506999999999999886e+02 7.200000000000000670e-03
3.000000000000000000e+00 3.835000000000000142e+01 2.524000000000000057e+02 7.800000000000000509e-03
3.250000000000000000e+00 3.990999999999999659e+01 2.538000000000000114e+02 8.300000000000000086e-03
