#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 9.595000000000000195e-01 1.807999999999999829e+01 5.000000000000000104e-04
1.099989999999999996e-02 1.006000000000000005e+00 1.905999999999999872e+01 5.000000000000000104e-04
1.199990000000000084e-02 1.050999999999999934e+00 1.998999999999999844e+01 5.000000000000000104e-04
1.299990000000000000e-02 1.094000000000000083e+00 2.089000000000000057e+01 5.000000000000000104e-04
1.399990000000000089e-02 1.135000000000000009e+00 2.175000000000000000e+01 6.000000000000000559e-04
1.499990000000000004e-02 1.175000000000000044e+00 2.257000000000000028e+01 6.000000000000000559e-04
1.599990000000000093e-02 1.213999999999999968e+00 2.337000000000000099e+01 6.000000000000000559e-04
1.699990000000000182e-02 1.250999999999999890e+00 2.414000000000000057e+01 6.000000000000000559e-04
1.799989999999999923e-02 1.286999999999999922e+00 2.487999999999999901e+01 6.000000000000000559e-04
1.999990000000000101e-02 1.356999999999999984e+00 2.630000000000000071e+01 6.000000000000000559e-04
2.249989999999999976e-02 1.439000000000000057e+00 2.796999999999999886e+01 6.999999999999999929e-04
2.499990000000000198e-02 1.516999999999999904e+00 2.953000000000000114e+01 6.999999999999999929e-04
2.749990000000000073e-02 1.590999999999999970e+00 3.100000000000000000e+01 6.999999999999999929e-04
2.999989999999999948e-02 1.661999999999999922e+00 3.239000000000000057e+01 8.000000000000000383e-04
3.249989999999999823e-02 1.729999999999999982e+00 3.371999999999999886e+01 8.000000000000000383e-04
3.499990000000000046e-02 1.794999999999999929e+00 3.497999999999999687e+01 8.000000000000000383e-04
3.749989999999999574e-02 1.858000000000000096e+00 3.618999999999999773e+01 9.000000000000000838e-04
3.999989999999999796e-02 1.919000000000000039e+00 3.735000000000000142e+01 9.000000000000000838e-04
4.499989999999999546e-02 2.035000000000000142e+00 3.953000000000000114e+01 9.000000000000000838e-04
4.999989999999999990e-02 2.145000000000000018e+00 4.157000000000000028e+01 1.000000000000000021e-03
5.499989999999999740e-02 2.250000000000000000e+00 4.346999999999999886e+01 1.000000000000000021e-03
5.999989999999999490e-02 2.350000000000000089e+00 4.525999999999999801e+01 1.100000000000000066e-03
6.499989999999999934e-02 2.446000000000000174e+00 4.695000000000000284e+01 1.100000000000000066e-03
6.999990000000000379e-02 2.539000000000000146e+00 4.856000000000000227e+01 1.200000000000000112e-03
7.999989999999999879e-02 2.713999999999999968e+00 5.153999999999999915e+01 1.200000000000000112e-03
8.999989999999999379e-02 2.878000000000000114e+00 5.427000000000000313e+01 1.300000000000000157e-03
9.999990000000000268e-02 3.033999999999999808e+00 5.678999999999999915e+01 1.399999999999999986e-03
1.100000000000000006e-01 3.181999999999999940e+00 5.911999999999999744e+01 1.500000000000000031e-03
1.199999999999999956e-01 3.323999999999999844e+00 6.129999999999999716e+01 1.500000000000000031e-03
1.300000000000000044e-01 3.459000000000000075e+00 6.335000000000000142e+01 1.600000000000000077e-03
1.399989999999999846e-01 3.589999999999999858e+00 6.528000000000000114e+01 1.700000000000000122e-03
1.499989999999999934e-01 3.716000000000000192e+00 6.709999999999999432e+01 1.700000000000000122e-03
1.599990000000000023e-01 3.838000000000000078e+00 6.881999999999999318e+01 1.800000000000000168e-03
1.699990000000000112e-01 3.955999999999999961e+00 7.045999999999999375e+01 1.899999999999999996e-03
1.799989999999999923e-01 4.070999999999999730e+00 7.203000000000000114e+01 1.899999999999999996e-03
1.999990000000000101e-01 4.291000000000000369e+00 7.495000000000000284e+01 2.000000000000000042e-03
2.249990000000000046e-01 4.551000000000000156e+00 7.826999999999999602e+01 2.200000000000000133e-03
2.499989999999999990e-01 4.796999999999999709e+00 8.129000000000000625e+01 2.299999999999999961e-03
2.749990000000000490e-01 5.032000000000000028e+00 8.406000000000000227e+01 2.500000000000000052e-03
2.999990000000000157e-01 5.254999999999999893e+00 8.659999999999999432e+01 2.600000000000000314e-03
3.249990000000000379e-01 5.469999999999999751e+00 8.895999999999999375e+01 2.700000000000000143e-03
3.499990000000000046e-01 5.676000000000000156e+00 9.115000000000000568e+01 2.799999999999999972e-03
3.749990000000000268e-01 5.876000000000000334e+00 9.320000000000000284e+01 3.000000000000000062e-03
3.999990000000000490e-01 6.067999999999999616e+00 9.512999999999999545e+01 3.100000000000000325e-03
4.499990000000000379e-01 6.437000000000000277e+00 9.864000000000000057e+01 3.299999999999999982e-03
4.999990000000000268e-01 6.785000000000000142e+00 1.017999999999999972e+02 3.600000000000000335e-03
5.499990000000000157e-01 7.115999999999999659e+00 1.045999999999999943e+02 3.799999999999999992e-03
5.999990000000000601e-01 7.432000000000000384e+00 1.072000000000000028e+02 4.000000000000000083e-03
6.499989999999999934e-01 7.735999999999999766e+00 1.095000000000000000e+02 4.200000000000000608e-03
6.999990000000000379e-01 8.028000000000000469e+00 1.117000000000000028e+02 4.400000000000000265e-03
7.999990000000000157e-01 8.582000000000000739e+00 1.155000000000000000e+02 4.899999999999999842e-03
8.999989999999999934e-01 9.102999999999999758e+00 1.189000000000000057e+02 5.300000000000000024e-03
9.999990000000000823e-01 9.595000000000000639e+00 1.217999999999999972e+02 5.700000000000000205e-03
1.100000000000000089e+00 1.006000000000000050e+01 1.242999999999999972e+02 6.100000000000000387e-03
1.199999999999999956e+00 1.050999999999999979e+01 1.265999999999999943e+02 6.400000000000000307e-03
1.300000000000000044e+00 1.093999999999999950e+01 1.285999999999999943e+02 6.800000000000000488e-03
1.399999999999999911e+00 1.134999999999999964e+01 1.304000000000000057e+02 7.200000000000000670e-03
