#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.00    8.422E+01  2.303E+02    0.0259 
11.00    8.833E+01  2.259E+02    0.0284 
12.00    9.226E+01  2.217E+02    0.0309 
13.00    9.603E+01  2.175E+02    0.0334 
14.00    9.965E+01  2.135E+02    0.0360 
15.00    1.031E+02  2.096E+02    0.0385 
16.00    1.065E+02  2.058E+02    0.0411 
17.00    1.098E+02  2.022E+02    0.0437 
18.00    1.130E+02  1.987E+02    0.0463 
20.00    1.191E+02  1.922E+02    0.0516 
22.50    1.263E+02  1.846E+02    0.0582 
25.00    1.332E+02  1.777E+02    0.0649 
27.50    1.397E+02  1.713E+02    0.0716 
30.00    1.459E+02  1.655E+02    0.0783 
32.50    1.512E+02  1.601E+02    0.0851 
35.00    1.541E+02  1.551E+02    0.0919 
37.50    1.576E+02  1.505E+02    0.0988 
40.00    1.613E+02  1.462E+02    0.1058 
45.00    1.694E+02  1.384E+02    0.1198 
50.00    1.777E+02  1.315E+02    0.1338 
55.00    1.860E+02  1.254E+02    0.1478 
60.00    1.941E+02  1.199E+02    0.1618 
65.00    2.018E+02  1.150E+02    0.1758 
70.00    2.092E+02  1.105E+02    0.1897 
80.00    2.228E+02  1.026E+02    0.2173 
90.00    2.351E+02  9.596E+01    0.2446 
100.00    2.466E+02  9.024E+01    0.2716 
110.00    2.579E+02  8.526E+01    0.2983 
120.00    2.690E+02  8.088E+01    0.3246 
130.00    2.799E+02  7.699E+01    0.3505 
140.00    2.907E+02  7.350E+01    0.3761 
150.00    3.012E+02  7.036E+01    0.4012 
160.00    3.114E+02  6.752E+01    0.4259 
170.00    3.214E+02  6.492E+01    0.4501 
180.00    3.312E+02  6.255E+01    0.4741 
200.00    3.501E+02  5.835E+01    0.5207 
225.00    3.730E+02  5.392E+01    0.5771 
250.00    3.952E+02  5.019E+01    0.6313 
275.00    4.171E+02  4.700E+01    0.6835 
300.00    4.387E+02  4.424E+01    0.7339 
325.00    4.602E+02  4.182E+01    0.7825 
350.00    4.815E+02  3.968E+01    0.8293 
375.00    5.027E+02  3.777E+01    0.8746 
400.00    5.239E+02  3.606E+01    0.9185 
450.00    5.658E+02  3.310E+01    1.00 
500.00    6.072E+02  3.064E+01    1.08 
550.00    6.480E+02  2.856E+01    1.15 
600.00    6.882E+02  2.677E+01    1.22 
650.00    7.276E+02  2.521E+01    1.29 
700.00    7.663E+02  2.384E+01    1.35 
800.00    8.413E+02  2.154E+01    1.47 
900.00    9.130E+02  1.968E+01    1.58 
1000.00    9.812E+02  1.814E+01    1.69 
1000.10    1.046E+03  1.684E+01    1.78 
1000.20    1.107E+03  1.573E+01    1.87 
1000.30    1.165E+03  1.477E+01    1.96 
1000.40    1.220E+03  1.394E+01    2.04 
1000.50    1.271E+03  1.319E+01    2.12 
1000.60    1.320E+03  1.253E+01    2.19 
1000.70    1.365E+03  1.194E+01    2.27 
1000.80    1.408E+03  1.141E+01    2.34 
2000.00    1.486E+03  1.048E+01    2.47 
2000.25    1.569E+03  9.532E+00    2.64 
2000.50    1.640E+03  8.751E+00    2.79 
2000.75    1.699E+03  8.097E+00    2.94 
3000.00    1.748E+03  7.541E+00    3.08 
3000.25    1.789E+03  7.061E+00    3.22 
3000.50    1.823E+03  6.644E+00    3.36 
3000.75    1.851E+03  6.276E+00    3.50 
4000.00    1.873E+03  5.949E+00    3.63 
4000.50    1.906E+03  5.395E+00    3.89 
5000.00    1.926E+03  4.942E+00    4.15 
5000.50    1.937E+03  4.563E+00    4.41 
6000.00    1.942E+03  4.242E+00    4.67 
6000.50    1.943E+03  3.966E+00    4.92 
7000.00    1.939E+03  3.726E+00    5.18 
8000.00    1.925E+03  3.328E+00    5.70 
9000.00    1.904E+03  3.011E+00    6.22 
10000.00    1.879E+03  2.753E+00    6.74 
