# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.252000000000000002e+00 3.359000000000000341e+01 5.000000000000000104e-04
1.099989999999999996e-02 1.312999999999999945e+00 3.554999999999999716e+01 5.000000000000000104e-04
1.199990000000000084e-02 1.370999999999999996e+00 3.742999999999999972e+01 5.000000000000000104e-04
1.299990000000000000e-02 1.427000000000000046e+00 3.922999999999999687e+01 5.000000000000000104e-04
1.399990000000000089e-02 1.481000000000000094e+00 4.097999999999999687e+01 5.000000000000000104e-04
1.499990000000000004e-02 1.532999999999999918e+00 4.265999999999999659e+01 5.000000000000000104e-04
1.599990000000000093e-02 1.582999999999999963e+00 4.428999999999999915e+01 6.000000000000000559e-04
1.699990000000000182e-02 1.631999999999999895e+00 4.586999999999999744e+01 6.000000000000000559e-04
1.799989999999999923e-02 1.679000000000000048e+00 4.740999999999999659e+01 6.000000000000000559e-04
1.999990000000000101e-02 1.770000000000000018e+00 5.035999999999999943e+01 6.000000000000000559e-04
2.249989999999999976e-02 1.877000000000000002e+00 5.385000000000000142e+01 6.000000000000000559e-04
2.499990000000000198e-02 1.979000000000000092e+00 5.714000000000000057e+01 6.999999999999999929e-04
2.749990000000000073e-02 2.076000000000000068e+00 6.027000000000000313e+01 6.999999999999999929e-04
2.999989999999999948e-02 2.168000000000000149e+00 6.325999999999999801e+01 6.999999999999999929e-04
3.249989999999999823e-02 2.255999999999999783e+00 6.612000000000000455e+01 6.999999999999999929e-04
3.499990000000000046e-02 2.342000000000000082e+00 6.885999999999999943e+01 8.000000000000000383e-04
3.749989999999999574e-02 2.423999999999999932e+00 7.150000000000000000e+01 8.000000000000000383e-04
3.999989999999999796e-02 2.503000000000000114e+00 7.404999999999999716e+01 8.000000000000000383e-04
4.499989999999999546e-02 2.654999999999999805e+00 7.889000000000000057e+01 8.000000000000000383e-04
4.999989999999999990e-02 2.798999999999999932e+00 8.343999999999999773e+01 9.000000000000000838e-04
5.499989999999999740e-02 2.935000000000000053e+00 8.773999999999999488e+01 9.000000000000000838e-04
5.999989999999999490e-02 3.065999999999999837e+00 9.182999999999999829e+01 1.000000000000000021e-03
6.499989999999999934e-02 3.190999999999999837e+00 9.571999999999999886e+01 1.000000000000000021e-03
6.999990000000000379e-02 3.311999999999999833e+00 9.943999999999999773e+01 1.000000000000000021e-03
7.999989999999999879e-02 3.540000000000000036e+00 1.064000000000000057e+02 1.100000000000000066e-03
8.999989999999999379e-02 3.754999999999999893e+00 1.129000000000000057e+02 1.100000000000000066e-03
9.999990000000000268e-02 3.958000000000000185e+00 1.190000000000000000e+02 1.200000000000000112e-03
1.100000000000000006e-01 4.150999999999999801e+00 1.245999999999999943e+02 1.200000000000000112e-03
1.199999999999999956e-01 4.336000000000000298e+00 1.300000000000000000e+02 1.300000000000000157e-03
1.300000000000000044e-01 4.512999999999999901e+00 1.350999999999999943e+02 1.300000000000000157e-03
1.399989999999999846e-01 4.682999999999999829e+00 1.399000000000000057e+02 1.399999999999999986e-03
1.499989999999999934e-01 4.847999999999999865e+00 1.445000000000000000e+02 1.399999999999999986e-03
1.599990000000000023e-01 5.006999999999999673e+00 1.489000000000000057e+02 1.500000000000000031e-03
1.699990000000000112e-01 5.160999999999999588e+00 1.531999999999999886e+02 1.500000000000000031e-03
1.799989999999999923e-01 5.310999999999999943e+00 1.571999999999999886e+02 1.600000000000000077e-03
1.999990000000000101e-01 5.597999999999999865e+00 1.649000000000000057e+02 1.600000000000000077e-03
2.249990000000000046e-01 5.937000000000000277e+00 1.738000000000000114e+02 1.700000000000000122e-03
2.499989999999999990e-01 6.259000000000000341e+00 1.820000000000000000e+02 1.800000000000000168e-03
2.749990000000000490e-01 6.564000000000000057e+00 1.895999999999999943e+02 1.899999999999999996e-03
2.999990000000000157e-01 6.855999999999999872e+00 1.966999999999999886e+02 2.000000000000000042e-03
3.249990000000000379e-01 7.136000000000000121e+00 2.034000000000000057e+02 2.100000000000000304e-03
3.499990000000000046e-01 7.405999999999999694e+00 2.096999999999999886e+02 2.200000000000000133e-03
3.749990000000000268e-01 7.665000000000000036e+00 2.155999999999999943e+02 2.299999999999999961e-03
3.999990000000000490e-01 7.916999999999999815e+00 2.213000000000000114e+02 2.299999999999999961e-03
4.499990000000000379e-01 8.397000000000000242e+00 2.318000000000000114e+02 2.500000000000000052e-03
4.999990000000000268e-01 8.851000000000000867e+00 2.414000000000000057e+02 2.600000000000000314e-03
5.499990000000000157e-01 9.284000000000000696e+00 2.501999999999999886e+02 2.799999999999999972e-03
5.999990000000000601e-01 9.695999999999999730e+00 2.583999999999999773e+02 2.900000000000000234e-03
6.499989999999999934e-01 1.008999999999999986e+01 2.660000000000000000e+02 3.000000000000000062e-03
6.999990000000000379e-01 1.047000000000000064e+01 2.731000000000000227e+02 3.200000000000000153e-03
7.999990000000000157e-01 1.119999999999999929e+01 2.860000000000000000e+02 3.400000000000000244e-03
8.999989999999999934e-01 1.188000000000000078e+01 2.976000000000000227e+02 3.600000000000000335e-03
9.999990000000000823e-01 1.251999999999999957e+01 3.080000000000000000e+02 3.900000000000000255e-03
1.100000000000000089e+00 1.313000000000000078e+01 3.173999999999999773e+02 4.100000000000000346e-03
1.199999999999999956e+00 1.371000000000000085e+01 3.261000000000000227e+02 4.300000000000000003e-03
1.300000000000000044e+00 1.426999999999999957e+01 3.340000000000000000e+02 4.500000000000000527e-03
1.399999999999999911e+00 1.481000000000000050e+01 3.413999999999999773e+02 4.700000000000000185e-03
1.500000000000000000e+00 1.533000000000000007e+01 3.481999999999999886e+02 4.899999999999999842e-03
1.600000000000000089e+00 1.583999999999999986e+01 3.545000000000000000e+02 5.100000000000000366e-03
1.699999999999999956e+00 1.632000000000000028e+01 3.603999999999999773e+02 5.300000000000000024e-03
1.800000000000000044e+00 1.680000000000000071e+01 3.660000000000000000e+02 5.500000000000000548e-03
2.000000000000000000e+00 1.771000000000000085e+01 3.761999999999999886e+02 5.899999999999999863e-03
2.250000000000000000e+00 1.878000000000000114e+01 3.873999999999999773e+02 6.400000000000000307e-03
