# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.530999999999999917e+00 3.725999999999999801e+01 4.000000000000000192e-04
1.099989999999999996e-02 1.606000000000000094e+00 3.943999999999999773e+01 4.000000000000000192e-04
1.199990000000000084e-02 1.677000000000000046e+00 4.153000000000000114e+01 4.000000000000000192e-04
1.299990000000000000e-02 1.745000000000000107e+00 4.353999999999999915e+01 4.000000000000000192e-04
1.399990000000000089e-02 1.810999999999999943e+00 4.547999999999999687e+01 4.000000000000000192e-04
1.499990000000000004e-02 1.875000000000000000e+00 4.735999999999999943e+01 4.000000000000000192e-04
1.599990000000000093e-02 1.935999999999999943e+00 4.917999999999999972e+01 4.000000000000000192e-04
1.699990000000000182e-02 1.995999999999999996e+00 5.093999999999999773e+01 5.000000000000000104e-04
1.799989999999999923e-02 2.053999999999999826e+00 5.264999999999999858e+01 5.000000000000000104e-04
1.999990000000000101e-02 2.165000000000000036e+00 5.593999999999999773e+01 5.000000000000000104e-04
2.249989999999999976e-02 2.295999999999999819e+00 5.982999999999999829e+01 5.000000000000000104e-04
2.499990000000000198e-02 2.419999999999999929e+00 6.350999999999999801e+01 5.000000000000000104e-04
2.749990000000000073e-02 2.539000000000000146e+00 6.701000000000000512e+01 6.000000000000000559e-04
2.999989999999999948e-02 2.650999999999999801e+00 7.034000000000000341e+01 6.000000000000000559e-04
3.249989999999999823e-02 2.759999999999999787e+00 7.354000000000000625e+01 6.000000000000000559e-04
3.499990000000000046e-02 2.863999999999999879e+00 7.659999999999999432e+01 6.000000000000000559e-04
3.749989999999999574e-02 2.963999999999999968e+00 7.954999999999999716e+01 6.000000000000000559e-04
3.999989999999999796e-02 3.061999999999999833e+00 8.240000000000000568e+01 6.000000000000000559e-04
4.499989999999999546e-02 3.246999999999999886e+00 8.781999999999999318e+01 6.999999999999999929e-04
4.999989999999999990e-02 3.423000000000000043e+00 9.290999999999999659e+01 6.999999999999999929e-04
5.499989999999999740e-02 3.589999999999999858e+00 9.773000000000000398e+01 6.999999999999999929e-04
5.999989999999999490e-02 3.750000000000000000e+00 1.022999999999999972e+02 8.000000000000000383e-04
6.499989999999999934e-02 3.903000000000000025e+00 1.067000000000000028e+02 8.000000000000000383e-04
6.999990000000000379e-02 4.049999999999999822e+00 1.107999999999999972e+02 8.000000000000000383e-04
7.999989999999999879e-02 4.330000000000000071e+00 1.187000000000000028e+02 9.000000000000000838e-04
8.999989999999999379e-02 4.591999999999999638e+00 1.259000000000000057e+02 9.000000000000000838e-04
9.999990000000000268e-02 4.841000000000000192e+00 1.326999999999999886e+02 1.000000000000000021e-03
1.100000000000000006e-01 5.076999999999999957e+00 1.390999999999999943e+02 1.000000000000000021e-03
1.199999999999999956e-01 5.302999999999999936e+00 1.451999999999999886e+02 1.000000000000000021e-03
1.300000000000000044e-01 5.519999999999999574e+00 1.509000000000000057e+02 1.100000000000000066e-03
1.399989999999999846e-01 5.727999999999999758e+00 1.563000000000000114e+02 1.100000000000000066e-03
1.499989999999999934e-01 5.929000000000000270e+00 1.615000000000000000e+02 1.200000000000000112e-03
1.599990000000000023e-01 6.123000000000000220e+00 1.665000000000000000e+02 1.200000000000000112e-03
1.699990000000000112e-01 6.312000000000000277e+00 1.711999999999999886e+02 1.200000000000000112e-03
1.799989999999999923e-01 6.495000000000000107e+00 1.758000000000000114e+02 1.300000000000000157e-03
1.999990000000000101e-01 6.846000000000000085e+00 1.845000000000000000e+02 1.300000000000000157e-03
2.249990000000000046e-01 7.261999999999999567e+00 1.945000000000000000e+02 1.399999999999999986e-03
2.499989999999999990e-01 7.653999999999999915e+00 2.038000000000000114e+02 1.500000000000000031e-03
2.749990000000000490e-01 8.028000000000000469e+00 2.124000000000000057e+02 1.600000000000000077e-03
2.999990000000000157e-01 8.384999999999999787e+00 2.204000000000000057e+02 1.600000000000000077e-03
