# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.957999999999999963e+00 4.000000000000000000e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.052999999999999936e+00 4.232000000000000028e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.145000000000000018e+00 4.453000000000000114e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.232000000000000206e+00 4.667000000000000171e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.315999999999999837e+00 4.871999999999999886e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.398000000000000131e+00 5.071000000000000085e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.475999999999999979e+00 5.263000000000000256e+01 4.000000000000000192e-04
1.699990000000000182e-02 2.552999999999999936e+00 5.449000000000000199e+01 4.000000000000000192e-04
1.799989999999999923e-02 2.626999999999999780e+00 5.629999999999999716e+01 4.000000000000000192e-04
1.999990000000000101e-02 2.769000000000000128e+00 5.977000000000000313e+01 4.000000000000000192e-04
2.249989999999999976e-02 2.936999999999999833e+00 6.386999999999999744e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.095000000000000195e+00 6.773999999999999488e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.246999999999999886e+00 7.140999999999999659e+01 4.000000000000000192e-04
2.999989999999999948e-02 3.391000000000000014e+00 7.490999999999999659e+01 5.000000000000000104e-04
3.249989999999999823e-02 3.528999999999999915e+00 7.826000000000000512e+01 5.000000000000000104e-04
3.499990000000000046e-02 3.662999999999999812e+00 8.146999999999999886e+01 5.000000000000000104e-04
3.749989999999999574e-02 3.790999999999999925e+00 8.456000000000000227e+01 5.000000000000000104e-04
3.999989999999999796e-02 3.915000000000000036e+00 8.753000000000000114e+01 5.000000000000000104e-04
4.499989999999999546e-02 4.152999999999999581e+00 9.318999999999999773e+01 5.000000000000000104e-04
4.999989999999999990e-02 4.378000000000000114e+00 9.850000000000000000e+01 6.000000000000000559e-04
5.499989999999999740e-02 4.591000000000000192e+00 1.035000000000000000e+02 6.000000000000000559e-04
5.999989999999999490e-02 4.794999999999999929e+00 1.082999999999999972e+02 6.000000000000000559e-04
6.499989999999999934e-02 4.990999999999999659e+00 1.127999999999999972e+02 6.000000000000000559e-04
6.999990000000000379e-02 5.179999999999999716e+00 1.170999999999999943e+02 6.999999999999999929e-04
7.999989999999999879e-02 5.536999999999999922e+00 1.252000000000000028e+02 6.999999999999999929e-04
8.999989999999999379e-02 5.873000000000000220e+00 1.328000000000000114e+02 6.999999999999999929e-04
9.999990000000000268e-02 6.190999999999999837e+00 1.398000000000000114e+02 8.000000000000000383e-04
1.100000000000000006e-01 6.493000000000000327e+00 1.463000000000000114e+02 8.000000000000000383e-04
1.199999999999999956e-01 6.782000000000000028e+00 1.525000000000000000e+02 8.000000000000000383e-04
1.300000000000000044e-01 7.059000000000000163e+00 1.584000000000000057e+02 9.000000000000000838e-04
1.399989999999999846e-01 7.325000000000000178e+00 1.640000000000000000e+02 9.000000000000000838e-04
1.499989999999999934e-01 7.581999999999999851e+00 1.693000000000000114e+02 9.000000000000000838e-04
1.599990000000000023e-01 7.831000000000000405e+00 1.744000000000000057e+02 1.000000000000000021e-03
