# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 4.373999999999999666e+00 4.682999999999999829e+01 3.000000000000000279e-04
1.099989999999999996e-02 4.586999999999999744e+00 4.953000000000000114e+01 3.000000000000000279e-04
1.199990000000000084e-02 4.791000000000000369e+00 5.213000000000000256e+01 3.000000000000000279e-04
1.299990000000000000e-02 4.987000000000000099e+00 5.461999999999999744e+01 3.000000000000000279e-04
1.399990000000000089e-02 5.174999999999999822e+00 5.702000000000000313e+01 3.000000000000000279e-04
1.499990000000000004e-02 5.357000000000000206e+00 5.932999999999999829e+01 3.000000000000000279e-04
1.599990000000000093e-02 5.533000000000000362e+00 6.157000000000000028e+01 3.000000000000000279e-04
1.699990000000000182e-02 5.703000000000000291e+00 6.375000000000000000e+01 3.000000000000000279e-04
1.799989999999999923e-02 5.868000000000000327e+00 6.585999999999999943e+01 3.000000000000000279e-04
1.999990000000000101e-02 6.185999999999999943e+00 6.990999999999999659e+01 3.000000000000000279e-04
2.249989999999999976e-02 6.560999999999999943e+00 7.468999999999999773e+01 3.000000000000000279e-04
2.499990000000000198e-02 6.916000000000000369e+00 7.920000000000000284e+01 4.000000000000000192e-04
2.749990000000000073e-02 7.253000000000000114e+00 8.348000000000000398e+01 4.000000000000000192e-04
2.999989999999999948e-02 7.575999999999999623e+00 8.756000000000000227e+01 4.000000000000000192e-04
3.249989999999999823e-02 7.884999999999999787e+00 9.145999999999999375e+01 4.000000000000000192e-04
3.499990000000000046e-02 8.182999999999999829e+00 9.520000000000000284e+01 4.000000000000000192e-04
3.749989999999999574e-02 8.470000000000000639e+00 9.879999999999999716e+01 4.000000000000000192e-04
3.999989999999999796e-02 8.747999999999999332e+00 1.022999999999999972e+02 4.000000000000000192e-04
4.499989999999999546e-02 9.278000000000000469e+00 1.087999999999999972e+02 5.000000000000000104e-04
4.999989999999999990e-02 9.779999999999999361e+00 1.150000000000000000e+02 5.000000000000000104e-04
5.499989999999999740e-02 1.025999999999999979e+01 1.209000000000000057e+02 5.000000000000000104e-04
5.999989999999999490e-02 1.071000000000000085e+01 1.264000000000000057e+02 5.000000000000000104e-04
6.499989999999999934e-02 1.115000000000000036e+01 1.316999999999999886e+02 6.000000000000000559e-04
6.999990000000000379e-02 1.157000000000000028e+01 1.366999999999999886e+02 6.000000000000000559e-04
7.999989999999999879e-02 1.236999999999999922e+01 1.460999999999999943e+02 6.000000000000000559e-04
8.999989999999999379e-02 1.311999999999999922e+01 1.548000000000000114e+02 6.000000000000000559e-04
9.999990000000000268e-02 1.383000000000000007e+01 1.630000000000000000e+02 6.999999999999999929e-04
1.100000000000000006e-01 1.450999999999999979e+01 1.705999999999999943e+02 6.999999999999999929e-04
1.199999999999999956e-01 1.515000000000000036e+01 1.778000000000000114e+02 6.999999999999999929e-04
1.300000000000000044e-01 1.576999999999999957e+01 1.845999999999999943e+02 8.000000000000000383e-04
1.399989999999999846e-01 1.637000000000000099e+01 1.910999999999999943e+02 8.000000000000000383e-04
1.499989999999999934e-01 1.694000000000000128e+01 1.971999999999999886e+02 8.000000000000000383e-04
1.599990000000000023e-01 1.750000000000000000e+01 2.030999999999999943e+02 8.000000000000000383e-04
1.699990000000000112e-01 1.803000000000000114e+01 2.086999999999999886e+02 9.000000000000000838e-04
1.799989999999999923e-01 1.855999999999999872e+01 2.140999999999999943e+02 9.000000000000000838e-04
1.999990000000000101e-01 1.955999999999999872e+01 2.243000000000000114e+02 9.000000000000000838e-04
2.249990000000000046e-01 2.075000000000000000e+01 2.360999999999999943e+02 1.000000000000000021e-03
2.499989999999999990e-01 2.187000000000000099e+01 2.469000000000000057e+02 1.100000000000000066e-03
2.749990000000000490e-01 2.294000000000000128e+01 2.568999999999999773e+02 1.100000000000000066e-03
2.999990000000000157e-01 2.396000000000000085e+01 2.663000000000000114e+02 1.200000000000000112e-03
