# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.420999999999999819e+00 4.186999999999999744e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.539000000000000146e+00 4.428999999999999915e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.652000000000000135e+00 4.660000000000000142e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.759999999999999787e+00 4.882000000000000028e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.863999999999999879e+00 5.096999999999999886e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.964999999999999858e+00 5.303999999999999915e+01 3.000000000000000279e-04
1.599990000000000093e-02 3.061999999999999833e+00 5.503999999999999915e+01 4.000000000000000192e-04
1.699990000000000182e-02 3.156000000000000139e+00 5.697999999999999687e+01 4.000000000000000192e-04
1.799989999999999923e-02 3.248000000000000220e+00 5.885999999999999943e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.423000000000000043e+00 6.247999999999999687e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.630999999999999783e+00 6.675000000000000000e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.826999999999999957e+00 7.076999999999999602e+01 4.000000000000000192e-04
2.749990000000000073e-02 4.014000000000000234e+00 7.459999999999999432e+01 4.000000000000000192e-04
2.999989999999999948e-02 4.192999999999999616e+00 7.823999999999999488e+01 5.000000000000000104e-04
3.249989999999999823e-02 4.363999999999999879e+00 8.171999999999999886e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.527999999999999581e+00 8.506000000000000227e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.687000000000000277e+00 8.826999999999999602e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.841000000000000192e+00 9.135999999999999943e+01 5.000000000000000104e-04
4.499989999999999546e-02 5.134999999999999787e+00 9.723000000000000398e+01 5.000000000000000104e-04
4.999989999999999990e-02 5.413000000000000256e+00 1.027000000000000028e+02 6.000000000000000559e-04
5.499989999999999740e-02 5.676999999999999602e+00 1.079000000000000057e+02 6.000000000000000559e-04
5.999989999999999490e-02 5.929000000000000270e+00 1.129000000000000057e+02 6.000000000000000559e-04
6.499989999999999934e-02 6.171000000000000263e+00 1.175999999999999943e+02 6.000000000000000559e-04
6.999990000000000379e-02 6.403999999999999915e+00 1.220999999999999943e+02 6.999999999999999929e-04
7.999989999999999879e-02 6.846000000000000085e+00 1.305000000000000000e+02 6.999999999999999929e-04
8.999989999999999379e-02 7.261999999999999567e+00 1.381999999999999886e+02 6.999999999999999929e-04
9.999990000000000268e-02 7.655000000000000249e+00 1.455000000000000000e+02 8.000000000000000383e-04
1.100000000000000006e-01 8.028000000000000469e+00 1.523000000000000114e+02 8.000000000000000383e-04
1.199999999999999956e-01 8.384999999999999787e+00 1.586999999999999886e+02 9.000000000000000838e-04
1.300000000000000044e-01 8.727999999999999758e+00 1.646999999999999886e+02 9.000000000000000838e-04
1.399989999999999846e-01 9.057000000000000384e+00 1.705000000000000000e+02 9.000000000000000838e-04
1.499989999999999934e-01 9.375000000000000000e+00 1.760000000000000000e+02 1.000000000000000021e-03
1.599990000000000023e-01 9.682000000000000384e+00 1.811999999999999886e+02 1.000000000000000021e-03
1.699990000000000112e-01 9.980000000000000426e+00 1.861999999999999886e+02 1.000000000000000021e-03
1.799989999999999923e-01 1.026999999999999957e+01 1.910000000000000000e+02 1.000000000000000021e-03
1.999990000000000101e-01 1.083000000000000007e+01 2.000999999999999943e+02 1.100000000000000066e-03
2.249990000000000046e-01 1.148000000000000043e+01 2.105000000000000000e+02 1.200000000000000112e-03
2.499989999999999990e-01 1.209999999999999964e+01 2.201999999999999886e+02 1.200000000000000112e-03
2.749990000000000490e-01 1.268999999999999950e+01 2.290999999999999943e+02 1.300000000000000157e-03
2.999990000000000157e-01 1.325999999999999979e+01 2.374000000000000057e+02 1.399999999999999986e-03
3.249990000000000379e-01 1.380000000000000071e+01 2.451999999999999886e+02 1.399999999999999986e-03
3.499990000000000046e-01 1.432000000000000028e+01 2.525999999999999943e+02 1.500000000000000031e-03
3.749990000000000268e-01 1.482000000000000028e+01 2.595000000000000000e+02 1.500000000000000031e-03
3.999990000000000490e-01 1.531000000000000050e+01 2.661000000000000227e+02 1.600000000000000077e-03
4.499990000000000379e-01 1.623999999999999844e+01 2.781999999999999886e+02 1.700000000000000122e-03
4.999990000000000268e-01 1.712000000000000099e+01 2.893000000000000114e+02 1.800000000000000168e-03
5.499990000000000157e-01 1.794999999999999929e+01 2.995000000000000000e+02 1.899999999999999996e-03
5.999990000000000601e-01 1.875000000000000000e+01 3.088000000000000114e+02 2.000000000000000042e-03
6.499989999999999934e-01 1.951999999999999957e+01 3.176000000000000227e+02 2.100000000000000304e-03
6.999990000000000379e-01 2.025000000000000000e+01 3.256999999999999886e+02 2.200000000000000133e-03
7.999990000000000157e-01 2.164999999999999858e+01 3.403999999999999773e+02 2.400000000000000223e-03
8.999989999999999934e-01 2.296999999999999886e+01 3.535000000000000000e+02 2.500000000000000052e-03
9.999990000000000823e-01 2.421000000000000085e+01 3.651999999999999886e+02 2.700000000000000143e-03
1.100000000000000089e+00 2.539000000000000057e+01 3.758000000000000114e+02 2.900000000000000234e-03
1.199999999999999956e+00 2.651999999999999957e+01 3.855000000000000000e+02 3.000000000000000062e-03
1.300000000000000044e+00 2.760000000000000142e+01 3.943999999999999773e+02 3.200000000000000153e-03
1.399999999999999911e+00 2.864000000000000057e+01 4.025000000000000000e+02 3.299999999999999982e-03
1.500000000000000000e+00 2.964999999999999858e+01 4.101000000000000227e+02 3.500000000000000073e-03
1.600000000000000089e+00 3.062000000000000099e+01 4.171000000000000227e+02 3.600000000000000335e-03
1.699999999999999956e+00 3.155999999999999872e+01 4.236000000000000227e+02 3.799999999999999992e-03
