#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.00    3.857E+01  1.413E+03     0.0063 
11.00    4.045E+01  1.465E+03     0.0067 
12.00    4.225E+01  1.513E+03     0.0070 
13.00    4.397E+01  1.557E+03     0.0074 
14.00    4.563E+01  1.599E+03     0.0077 
15.00    4.724E+01  1.638E+03     0.0080 
16.00    4.879E+01  1.675E+03     0.0083 
17.00    5.029E+01  1.710E+03     0.0086 
18.00    5.174E+01  1.743E+03     0.0089 
20.00    5.454E+01  1.804E+03     0.0095 
22.50    5.785E+01  1.873E+03     0.0103 
25.00    6.098E+01  1.934E+03     0.0110 
27.50    6.396E+01  1.990E+03     0.0117 
30.00    6.680E+01  2.040E+03     0.0123 
32.50    6.953E+01  2.087E+03     0.0130 
35.00    7.216E+01  2.129E+03     0.0136 
37.50    7.469E+01  2.169E+03     0.0143 
40.00    7.714E+01  2.205E+03     0.0149 
45.00    8.182E+01  2.271E+03     0.0162 
50.00    8.624E+01  2.329E+03     0.0174 
55.00    9.045E+01  2.380E+03     0.0186 
60.00    9.447E+01  2.425E+03     0.0198 
65.00    9.833E+01  2.466E+03     0.0209 
70.00    1.020E+02  2.503E+03     0.0221 
80.00    1.091E+02  2.567E+03     0.0244 
90.00    1.157E+02  2.620E+03     0.0266 
100.00    1.220E+02  2.664E+03    0.0288 
110.00    1.279E+02  2.702E+03    0.0310 
120.00    1.336E+02  2.734E+03    0.0332 
130.00    1.391E+02  2.762E+03    0.0353 
140.00    1.443E+02  2.786E+03    0.0375 
150.00    1.494E+02  2.806E+03    0.0396 
160.00    1.543E+02  2.824E+03    0.0417 
170.00    1.590E+02  2.839E+03    0.0439 
180.00    1.636E+02  2.852E+03    0.0460 
200.00    1.725E+02  2.872E+03    0.0502 
225.00    1.830E+02  2.889E+03    0.0555 
250.00    1.929E+02  2.900E+03    0.0608 
275.00    2.221E+02  2.904E+03    0.0661 
300.00    2.534E+02  2.905E+03    0.0713 
325.00    2.757E+02  2.903E+03    0.0765 
350.00    2.921E+02  2.897E+03    0.0818 
375.00    3.045E+02  2.890E+03    0.0870 
400.00    3.145E+02  2.881E+03    0.0923 
450.00    3.304E+02  2.859E+03    0.1030 
500.00    3.444E+02  2.834E+03    0.1138 
550.00    3.585E+02  2.806E+03    0.1247 
600.00    3.736E+02  2.776E+03    0.1357 
650.00    3.899E+02  2.746E+03    0.1469 
700.00    4.074E+02  2.715E+03    0.1582 
800.00    4.456E+02  2.652E+03    0.1811 
900.00    4.866E+02  2.591E+03    0.2043 
1000.00    5.293E+02  2.531E+03    0.2279 
1000.10    5.727E+02  2.474E+03    0.2518 
1000.20    6.161E+02  2.419E+03    0.2759 
1000.30    6.590E+02  2.366E+03    0.3003 
1000.40    7.012E+02  2.315E+03    0.3249 
1000.50    7.425E+02  2.267E+03    0.3496 
1000.60    7.828E+02  2.220E+03    0.3746 
1000.70    8.220E+02  2.176E+03    0.3997 
1000.80    8.603E+02  2.134E+03    0.4250 
2000.00    9.338E+02  2.055E+03    0.4760 
2000.25    1.021E+03  1.965E+03    0.5404 
2000.50    1.103E+03  1.884E+03    0.6054 
2000.75    1.180E+03  1.810E+03    0.6709 
3000.00    1.255E+03  1.743E+03    0.7368 
3000.25    1.327E+03  1.681E+03    0.8029 
3000.50    1.397E+03  1.625E+03    0.8692 
3000.75    1.465E+03  1.572E+03    0.9356 
4000.00    1.532E+03  1.524E+03    1.00 
4000.50    1.663E+03  1.437E+03    1.13 
5000.00    1.792E+03  1.360E+03    1.27 
5000.50    1.920E+03  1.293E+03    1.40 
6000.00    2.048E+03  1.233E+03    1.53 
6000.50    2.175E+03  1.180E+03    1.65 
7000.00    2.303E+03  1.131E+03    1.78 
8000.00    2.560E+03  1.047E+03    2.02 
9000.00    2.818E+03  9.758E+02    2.26 
10000.00    3.076E+03  9.151E+02    2.48 
