# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.693999999999999950e+00 1.962999999999999901e+01 1.100000000000000066e-03
1.099989999999999996e-02 1.776000000000000023e+00 2.096999999999999886e+01 1.200000000000000112e-03
1.199990000000000084e-02 1.854999999999999982e+00 2.226999999999999957e+01 1.200000000000000112e-03
1.299990000000000000e-02 1.931000000000000050e+00 2.353000000000000114e+01 1.300000000000000157e-03
1.399990000000000089e-02 2.004000000000000004e+00 2.476000000000000156e+01 1.300000000000000157e-03
1.499990000000000004e-02 2.073999999999999844e+00 2.594999999999999929e+01 1.300000000000000157e-03
1.599990000000000093e-02 2.141999999999999904e+00 2.712999999999999901e+01 1.399999999999999986e-03
1.699990000000000182e-02 2.208000000000000185e+00 2.826999999999999957e+01 1.399999999999999986e-03
1.799989999999999923e-02 2.271999999999999797e+00 2.939000000000000057e+01 1.399999999999999986e-03
1.999990000000000101e-02 2.395000000000000018e+00 3.157999999999999829e+01 1.500000000000000031e-03
2.249989999999999976e-02 2.540999999999999925e+00 3.420000000000000284e+01 1.500000000000000031e-03
2.499990000000000198e-02 2.677999999999999936e+00 3.671999999999999886e+01 1.600000000000000077e-03
2.749990000000000073e-02 2.809000000000000163e+00 3.914999999999999858e+01 1.700000000000000122e-03
2.999989999999999948e-02 2.934000000000000163e+00 4.150000000000000000e+01 1.700000000000000122e-03
3.249989999999999823e-02 3.052999999999999936e+00 4.378000000000000114e+01 1.800000000000000168e-03
3.499990000000000046e-02 3.169000000000000039e+00 4.599000000000000199e+01 1.800000000000000168e-03
3.749989999999999574e-02 3.279999999999999805e+00 4.814999999999999858e+01 1.899999999999999996e-03
3.999989999999999796e-02 3.387000000000000011e+00 5.025999999999999801e+01 1.899999999999999996e-03
4.499989999999999546e-02 3.592999999999999972e+00 5.432000000000000028e+01 2.000000000000000042e-03
4.999989999999999990e-02 3.786999999999999922e+00 5.821999999999999886e+01 2.100000000000000304e-03
5.499989999999999740e-02 3.971999999999999975e+00 6.197999999999999687e+01 2.100000000000000304e-03
5.999989999999999490e-02 4.149000000000000021e+00 6.559999999999999432e+01 2.200000000000000133e-03
6.499989999999999934e-02 4.317999999999999616e+00 6.910999999999999943e+01 2.299999999999999961e-03
6.999990000000000379e-02 4.480999999999999872e+00 7.251000000000000512e+01 2.299999999999999961e-03
7.999989999999999879e-02 4.791000000000000369e+00 7.904999999999999716e+01 2.400000000000000223e-03
8.999989999999999379e-02 5.081000000000000405e+00 8.526999999999999602e+01 2.500000000000000052e-03
9.999990000000000268e-02 5.355999999999999872e+00 9.120999999999999375e+01 2.600000000000000314e-03
1.100000000000000006e-01 5.616999999999999993e+00 9.692000000000000171e+01 2.700000000000000143e-03
1.199999999999999956e-01 5.866999999999999993e+00 1.024000000000000057e+02 2.799999999999999972e-03
1.300000000000000044e-01 6.107000000000000206e+00 1.077000000000000028e+02 2.900000000000000234e-03
1.399989999999999846e-01 6.336999999999999744e+00 1.129000000000000057e+02 3.000000000000000062e-03
1.499989999999999934e-01 6.559999999999999609e+00 1.179000000000000057e+02 3.000000000000000062e-03
1.599990000000000023e-01 6.775000000000000355e+00 1.227000000000000028e+02 3.100000000000000325e-03
1.699990000000000112e-01 6.982999999999999652e+00 1.275000000000000000e+02 3.200000000000000153e-03
1.799989999999999923e-01 7.185999999999999943e+00 1.320999999999999943e+02 3.299999999999999982e-03
1.999990000000000101e-01 7.575000000000000178e+00 1.410000000000000000e+02 3.400000000000000244e-03
2.249990000000000046e-01 8.034000000000000696e+00 1.515999999999999943e+02 3.500000000000000073e-03
2.499989999999999990e-01 8.468999999999999417e+00 1.616999999999999886e+02 3.700000000000000164e-03
2.749990000000000490e-01 8.881999999999999673e+00 1.713000000000000114e+02 3.799999999999999992e-03
2.999990000000000157e-01 9.276999999999999247e+00 1.805999999999999943e+02 3.900000000000000255e-03
3.249990000000000379e-01 9.656000000000000583e+00 1.895000000000000000e+02 4.000000000000000083e-03
3.499990000000000046e-01 1.001999999999999957e+01 1.981999999999999886e+02 4.100000000000000346e-03
3.749990000000000268e-01 1.036999999999999922e+01 2.065000000000000000e+02 4.300000000000000003e-03
3.999990000000000490e-01 1.071000000000000085e+01 2.145999999999999943e+02 4.400000000000000265e-03
4.499990000000000379e-01 1.135999999999999943e+01 2.300999999999999943e+02 4.599999999999999922e-03
4.999990000000000268e-01 1.198000000000000043e+01 2.448000000000000114e+02 4.700000000000000185e-03
5.499990000000000157e-01 1.256000000000000050e+01 2.588999999999999773e+02 4.899999999999999842e-03
5.999990000000000601e-01 1.311999999999999922e+01 2.723000000000000114e+02 5.100000000000000366e-03
6.499989999999999934e-01 1.366000000000000014e+01 2.851999999999999886e+02 5.200000000000000629e-03
