# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.071000000000000174e+00 2.476000000000000156e+01 9.000000000000000838e-04
1.099989999999999996e-02 2.173000000000000043e+00 2.644999999999999929e+01 9.000000000000000838e-04
1.199990000000000084e-02 2.269000000000000128e+00 2.807999999999999829e+01 1.000000000000000021e-03
1.299990000000000000e-02 2.362000000000000099e+00 2.967000000000000171e+01 1.000000000000000021e-03
1.399990000000000089e-02 2.451000000000000068e+00 3.121999999999999886e+01 1.000000000000000021e-03
1.499990000000000004e-02 2.536999999999999922e+00 3.274000000000000199e+01 1.000000000000000021e-03
1.599990000000000093e-02 2.620000000000000107e+00 3.421000000000000085e+01 1.100000000000000066e-03
1.699990000000000182e-02 2.701000000000000068e+00 3.565999999999999659e+01 1.100000000000000066e-03
1.799989999999999923e-02 2.778999999999999915e+00 3.707999999999999829e+01 1.100000000000000066e-03
1.999990000000000101e-02 2.928999999999999826e+00 3.982999999999999829e+01 1.100000000000000066e-03
2.249989999999999976e-02 3.107000000000000206e+00 4.314000000000000057e+01 1.200000000000000112e-03
2.499990000000000198e-02 3.274999999999999911e+00 4.631000000000000227e+01 1.200000000000000112e-03
2.749990000000000073e-02 3.435000000000000053e+00 4.938000000000000256e+01 1.300000000000000157e-03
2.999989999999999948e-02 3.588000000000000078e+00 5.235000000000000142e+01 1.300000000000000157e-03
3.249989999999999823e-02 3.733999999999999986e+00 5.521999999999999886e+01 1.399999999999999986e-03
3.499990000000000046e-02 3.875000000000000000e+00 5.802000000000000313e+01 1.399999999999999986e-03
3.749989999999999574e-02 4.011000000000000121e+00 6.074000000000000199e+01 1.399999999999999986e-03
3.999989999999999796e-02 4.142999999999999794e+00 6.339999999999999858e+01 1.500000000000000031e-03
4.499989999999999546e-02 4.394000000000000128e+00 6.853000000000000114e+01 1.500000000000000031e-03
4.999989999999999990e-02 4.631999999999999673e+00 7.345999999999999375e+01 1.600000000000000077e-03
5.499989999999999740e-02 4.857999999999999652e+00 7.818999999999999773e+01 1.600000000000000077e-03
5.999989999999999490e-02 5.073999999999999844e+00 8.276999999999999602e+01 1.700000000000000122e-03
6.499989999999999934e-02 5.280999999999999694e+00 8.720000000000000284e+01 1.700000000000000122e-03
6.999990000000000379e-02 5.480999999999999872e+00 9.148999999999999488e+01 1.800000000000000168e-03
7.999989999999999879e-02 5.858999999999999986e+00 9.973999999999999488e+01 1.899999999999999996e-03
8.999989999999999379e-02 6.214000000000000412e+00 1.075999999999999943e+02 2.000000000000000042e-03
9.999990000000000268e-02 6.549999999999999822e+00 1.150999999999999943e+02 2.000000000000000042e-03
1.100000000000000006e-01 6.870000000000000107e+00 1.222999999999999972e+02 2.100000000000000304e-03
1.199999999999999956e-01 7.176000000000000156e+00 1.291999999999999886e+02 2.200000000000000133e-03
1.300000000000000044e-01 7.469000000000000306e+00 1.360000000000000000e+02 2.200000000000000133e-03
1.399989999999999846e-01 7.751000000000000334e+00 1.424000000000000057e+02 2.299999999999999961e-03
1.499989999999999934e-01 8.022999999999999687e+00 1.488000000000000114e+02 2.400000000000000223e-03
1.599990000000000023e-01 8.285999999999999588e+00 1.549000000000000057e+02 2.400000000000000223e-03
1.699990000000000112e-01 8.541000000000000369e+00 1.609000000000000057e+02 2.500000000000000052e-03
1.799989999999999923e-01 8.788000000000000256e+00 1.666999999999999886e+02 2.500000000000000052e-03
1.999990000000000101e-01 9.263999999999999346e+00 1.779000000000000057e+02 2.600000000000000314e-03
2.249990000000000046e-01 9.826000000000000512e+00 1.913000000000000114e+02 2.700000000000000143e-03
2.499989999999999990e-01 1.035999999999999943e+01 2.040999999999999943e+02 2.799999999999999972e-03
2.749990000000000490e-01 1.085999999999999943e+01 2.163000000000000114e+02 2.900000000000000234e-03
2.999990000000000157e-01 1.134999999999999964e+01 2.280000000000000000e+02 3.000000000000000062e-03
3.249990000000000379e-01 1.181000000000000050e+01 2.393000000000000114e+02 3.100000000000000325e-03
3.499990000000000046e-01 1.225999999999999979e+01 2.500999999999999943e+02 3.200000000000000153e-03
3.749990000000000268e-01 1.268999999999999950e+01 2.606999999999999886e+02 3.299999999999999982e-03
3.999990000000000490e-01 1.309999999999999964e+01 2.708999999999999773e+02 3.400000000000000244e-03
4.499990000000000379e-01 1.390000000000000036e+01 2.905000000000000000e+02 3.500000000000000073e-03
4.999990000000000268e-01 1.465000000000000036e+01 3.091000000000000227e+02 3.700000000000000164e-03
5.499990000000000157e-01 1.535999999999999943e+01 3.268000000000000114e+02 3.799999999999999992e-03
5.999990000000000601e-01 1.605000000000000071e+01 3.436999999999999886e+02 3.900000000000000255e-03
6.499989999999999934e-01 1.669999999999999929e+01 3.600000000000000000e+02 4.000000000000000083e-03
6.999990000000000379e-01 1.732999999999999829e+01 3.756999999999999886e+02 4.200000000000000608e-03
7.999990000000000157e-01 1.853000000000000114e+01 4.055000000000000000e+02 4.400000000000000265e-03
8.999989999999999934e-01 1.964999999999999858e+01 4.333999999999999773e+02 4.599999999999999922e-03
9.999990000000000823e-01 2.071999999999999886e+01 4.598000000000000114e+02 4.800000000000000447e-03
1.100000000000000089e+00 2.173000000000000043e+01 4.848000000000000114e+02 4.899999999999999842e-03
1.199999999999999956e+00 2.269000000000000128e+01 5.086999999999999886e+02 5.100000000000000366e-03
1.300000000000000044e+00 2.362000000000000099e+01 5.316000000000000227e+02 5.300000000000000024e-03
1.399999999999999911e+00 2.451000000000000156e+01 5.535000000000000000e+02 5.400000000000000286e-03
1.500000000000000000e+00 2.537000000000000099e+01 5.746000000000000227e+02 5.599999999999999943e-03
1.600000000000000089e+00 2.619999999999999929e+01 5.948999999999999773e+02 5.700000000000000205e-03
1.699999999999999956e+00 2.701000000000000156e+01 6.145000000000000000e+02 5.899999999999999863e-03
1.800000000000000044e+00 2.778999999999999915e+01 6.336000000000000227e+02 6.000000000000000125e-03
2.000000000000000000e+00 2.930000000000000071e+01 6.698999999999999773e+02 6.300000000000000044e-03
2.250000000000000000e+00 3.107000000000000028e+01 7.125000000000000000e+02 6.599999999999999964e-03
2.500000000000000000e+00 3.275000000000000000e+01 7.523999999999999773e+02 6.900000000000000751e-03
2.750000000000000000e+00 3.435000000000000142e+01 7.900000000000000000e+02 7.200000000000000670e-03
3.000000000000000000e+00 3.588000000000000256e+01 8.257000000000000455e+02 7.400000000000000328e-03
3.250000000000000000e+00 3.735000000000000142e+01 8.596000000000000227e+02 7.700000000000000247e-03
3.500000000000000000e+00 3.875999999999999801e+01 8.918999999999999773e+02 7.900000000000000772e-03
3.750000000000000000e+00 4.011999999999999744e+01 9.228999999999999773e+02 8.200000000000000691e-03
4.000000000000000000e+00 4.142999999999999972e+01 9.525000000000000000e+02 8.400000000000001216e-03
4.500000000000000000e+00 4.395000000000000284e+01 1.009000000000000000e+03 8.800000000000000530e-03
