# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.398000000000000131e+00 2.085999999999999943e+01 1.000000000000000021e-03
1.099989999999999996e-02 2.515000000000000124e+00 2.228999999999999915e+01 1.000000000000000021e-03
1.199990000000000084e-02 2.625999999999999890e+00 2.367000000000000171e+01 1.100000000000000066e-03
1.299990000000000000e-02 2.733999999999999986e+00 2.501000000000000156e+01 1.100000000000000066e-03
1.399990000000000089e-02 2.837000000000000188e+00 2.630999999999999872e+01 1.100000000000000066e-03
1.499990000000000004e-02 2.935999999999999943e+00 2.758999999999999986e+01 1.100000000000000066e-03
1.599990000000000093e-02 3.032999999999999918e+00 2.882999999999999829e+01 1.200000000000000112e-03
1.699990000000000182e-02 3.125999999999999890e+00 3.005000000000000071e+01 1.200000000000000112e-03
1.799989999999999923e-02 3.217000000000000082e+00 3.123999999999999844e+01 1.200000000000000112e-03
1.999990000000000101e-02 3.391000000000000014e+00 3.356000000000000227e+01 1.300000000000000157e-03
2.249989999999999976e-02 3.596000000000000085e+00 3.635000000000000142e+01 1.300000000000000157e-03
2.499990000000000198e-02 3.790999999999999925e+00 3.902000000000000313e+01 1.399999999999999986e-03
2.749990000000000073e-02 3.975999999999999979e+00 4.160999999999999943e+01 1.399999999999999986e-03
2.999989999999999948e-02 4.152999999999999581e+00 4.410000000000000142e+01 1.500000000000000031e-03
3.249989999999999823e-02 4.322000000000000064e+00 4.653000000000000114e+01 1.500000000000000031e-03
3.499990000000000046e-02 4.485000000000000320e+00 4.888000000000000256e+01 1.600000000000000077e-03
3.749989999999999574e-02 4.642999999999999794e+00 5.117999999999999972e+01 1.600000000000000077e-03
3.999989999999999796e-02 4.794999999999999929e+00 5.340999999999999659e+01 1.600000000000000077e-03
4.499989999999999546e-02 5.086000000000000298e+00 5.774000000000000199e+01 1.700000000000000122e-03
4.999989999999999990e-02 5.360999999999999766e+00 6.188000000000000256e+01 1.800000000000000168e-03
5.499989999999999740e-02 5.623000000000000220e+00 6.587000000000000455e+01 1.800000000000000168e-03
5.999989999999999490e-02 5.873000000000000220e+00 6.971999999999999886e+01 1.899999999999999996e-03
6.499989999999999934e-02 6.113000000000000433e+00 7.345000000000000284e+01 1.899999999999999996e-03
6.999990000000000379e-02 6.342999999999999972e+00 7.706999999999999318e+01 2.000000000000000042e-03
7.999989999999999879e-02 6.780999999999999694e+00 8.401000000000000512e+01 2.100000000000000304e-03
8.999989999999999379e-02 7.192999999999999616e+00 9.062000000000000455e+01 2.200000000000000133e-03
9.999990000000000268e-02 7.581999999999999851e+00 9.693999999999999773e+01 2.299999999999999961e-03
1.100000000000000006e-01 7.951999999999999957e+00 1.030000000000000000e+02 2.299999999999999961e-03
1.199999999999999956e-01 8.304999999999999716e+00 1.087999999999999972e+02 2.400000000000000223e-03
1.300000000000000044e-01 8.644000000000000128e+00 1.145000000000000000e+02 2.500000000000000052e-03
1.399989999999999846e-01 8.971000000000000085e+00 1.200000000000000000e+02 2.600000000000000314e-03
1.499989999999999934e-01 9.285999999999999588e+00 1.252999999999999972e+02 2.600000000000000314e-03
1.599990000000000023e-01 9.589999999999999858e+00 1.304000000000000057e+02 2.700000000000000143e-03
1.699990000000000112e-01 9.884999999999999787e+00 1.355000000000000000e+02 2.700000000000000143e-03
1.799989999999999923e-01 1.016999999999999993e+01 1.404000000000000057e+02 2.799999999999999972e-03
1.999990000000000101e-01 1.072000000000000064e+01 1.498000000000000114e+02 2.900000000000000234e-03
2.249990000000000046e-01 1.136999999999999922e+01 1.610999999999999943e+02 3.000000000000000062e-03
2.499989999999999990e-01 1.199000000000000021e+01 1.718000000000000114e+02 3.200000000000000153e-03
2.749990000000000490e-01 1.257000000000000028e+01 1.820999999999999943e+02 3.299999999999999982e-03
2.999990000000000157e-01 1.313000000000000078e+01 1.919000000000000057e+02 3.400000000000000244e-03
3.249990000000000379e-01 1.366999999999999993e+01 2.014000000000000057e+02 3.500000000000000073e-03
3.499990000000000046e-01 1.417999999999999972e+01 2.105999999999999943e+02 3.600000000000000335e-03
3.749990000000000268e-01 1.467999999999999972e+01 2.195000000000000000e+02 3.700000000000000164e-03
3.999990000000000490e-01 1.516000000000000014e+01 2.280999999999999943e+02 3.799999999999999992e-03
4.499990000000000379e-01 1.607999999999999829e+01 2.445000000000000000e+02 3.900000000000000255e-03
4.999990000000000268e-01 1.694999999999999929e+01 2.601999999999999886e+02 4.100000000000000346e-03
5.499990000000000157e-01 1.778000000000000114e+01 2.751000000000000227e+02 4.200000000000000608e-03
5.999990000000000601e-01 1.857000000000000028e+01 2.893000000000000114e+02 4.400000000000000265e-03
6.499989999999999934e-01 1.932999999999999829e+01 3.030000000000000000e+02 4.500000000000000527e-03
6.999990000000000379e-01 2.005999999999999872e+01 3.161999999999999886e+02 4.700000000000000185e-03
7.999990000000000157e-01 2.144000000000000128e+01 3.411999999999999886e+02 4.899999999999999842e-03
