# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.640000000000000124e+00 3.078999999999999915e+01 6.999999999999999929e-04
1.099989999999999996e-02 2.769000000000000128e+00 3.289000000000000057e+01 6.999999999999999929e-04
1.199990000000000084e-02 2.891999999999999904e+00 3.492000000000000171e+01 6.999999999999999929e-04
1.299990000000000000e-02 3.011000000000000121e+00 3.689999999999999858e+01 8.000000000000000383e-04
1.399990000000000089e-02 3.124000000000000110e+00 3.882999999999999829e+01 8.000000000000000383e-04
1.499990000000000004e-02 3.233999999999999986e+00 4.071000000000000085e+01 8.000000000000000383e-04
1.599990000000000093e-02 3.339999999999999858e+00 4.254999999999999716e+01 8.000000000000000383e-04
1.699990000000000182e-02 3.443000000000000060e+00 4.435000000000000142e+01 8.000000000000000383e-04
1.799989999999999923e-02 3.543000000000000149e+00 4.610999999999999943e+01 9.000000000000000838e-04
1.999990000000000101e-02 3.733999999999999986e+00 4.953000000000000114e+01 9.000000000000000838e-04
2.249989999999999976e-02 3.960999999999999854e+00 5.364999999999999858e+01 9.000000000000000838e-04
2.499990000000000198e-02 4.174999999999999822e+00 5.760000000000000142e+01 1.000000000000000021e-03
2.749990000000000073e-02 4.378999999999999559e+00 6.142000000000000171e+01 1.000000000000000021e-03
2.999989999999999948e-02 4.573000000000000398e+00 6.510999999999999943e+01 1.000000000000000021e-03
3.249989999999999823e-02 4.759999999999999787e+00 6.868999999999999773e+01 1.100000000000000066e-03
3.499990000000000046e-02 4.940000000000000391e+00 7.217000000000000171e+01 1.100000000000000066e-03
3.749989999999999574e-02 5.113000000000000433e+00 7.556000000000000227e+01 1.100000000000000066e-03
3.999989999999999796e-02 5.280999999999999694e+00 7.885999999999999943e+01 1.100000000000000066e-03
4.499989999999999546e-02 5.600999999999999979e+00 8.525000000000000000e+01 1.200000000000000112e-03
4.999989999999999990e-02 5.903999999999999915e+00 9.137000000000000455e+01 1.200000000000000112e-03
5.499989999999999740e-02 6.192000000000000171e+00 9.726999999999999602e+01 1.300000000000000157e-03
5.999989999999999490e-02 6.467999999999999972e+00 1.030000000000000000e+02 1.300000000000000157e-03
6.499989999999999934e-02 6.732000000000000206e+00 1.085000000000000000e+02 1.399999999999999986e-03
6.999990000000000379e-02 6.985999999999999766e+00 1.137999999999999972e+02 1.399999999999999986e-03
7.999989999999999879e-02 7.467999999999999972e+00 1.240999999999999943e+02 1.500000000000000031e-03
8.999989999999999379e-02 7.921000000000000263e+00 1.339000000000000057e+02 1.500000000000000031e-03
9.999990000000000268e-02 8.349999999999999645e+00 1.431999999999999886e+02 1.600000000000000077e-03
1.100000000000000006e-01 8.756999999999999673e+00 1.521999999999999886e+02 1.600000000000000077e-03
1.199999999999999956e-01 9.147000000000000242e+00 1.608000000000000114e+02 1.700000000000000122e-03
1.300000000000000044e-01 9.519999999999999574e+00 1.691999999999999886e+02 1.700000000000000122e-03
1.399989999999999846e-01 9.880000000000000782e+00 1.771999999999999886e+02 1.800000000000000168e-03
1.499989999999999934e-01 1.023000000000000043e+01 1.850999999999999943e+02 1.800000000000000168e-03
1.599990000000000023e-01 1.056000000000000050e+01 1.926999999999999886e+02 1.899999999999999996e-03
1.699990000000000112e-01 1.089000000000000057e+01 2.001999999999999886e+02 1.899999999999999996e-03
1.799989999999999923e-01 1.119999999999999929e+01 2.074000000000000057e+02 1.899999999999999996e-03
1.999990000000000101e-01 1.181000000000000050e+01 2.214000000000000057e+02 2.000000000000000042e-03
2.249990000000000046e-01 1.251999999999999957e+01 2.380999999999999943e+02 2.100000000000000304e-03
2.499989999999999990e-01 1.319999999999999929e+01 2.540000000000000000e+02 2.200000000000000133e-03
2.749990000000000490e-01 1.384999999999999964e+01 2.691000000000000227e+02 2.299999999999999961e-03
2.999990000000000157e-01 1.446000000000000085e+01 2.836999999999999886e+02 2.299999999999999961e-03
3.249990000000000379e-01 1.505000000000000071e+01 2.978000000000000114e+02 2.400000000000000223e-03
3.499990000000000046e-01 1.561999999999999922e+01 3.113000000000000114e+02 2.500000000000000052e-03
3.749990000000000268e-01 1.617000000000000171e+01 3.245000000000000000e+02 2.500000000000000052e-03
3.999990000000000490e-01 1.669999999999999929e+01 3.371999999999999886e+02 2.600000000000000314e-03
4.499990000000000379e-01 1.771000000000000085e+01 3.616000000000000227e+02 2.700000000000000143e-03
4.999990000000000268e-01 1.867000000000000171e+01 3.846999999999999886e+02 2.799999999999999972e-03
5.499990000000000157e-01 1.957999999999999829e+01 4.068000000000000114e+02 2.900000000000000234e-03
5.999990000000000601e-01 2.044999999999999929e+01 4.278999999999999773e+02 3.000000000000000062e-03
6.499989999999999934e-01 2.128999999999999915e+01 4.481999999999999886e+02 3.100000000000000325e-03
6.999990000000000379e-01 2.208999999999999986e+01 4.676999999999999886e+02 3.200000000000000153e-03
7.999990000000000157e-01 2.362000000000000099e+01 5.048000000000000114e+02 3.400000000000000244e-03
8.999989999999999934e-01 2.505000000000000071e+01 5.396000000000000227e+02 3.500000000000000073e-03
9.999990000000000823e-01 2.641000000000000014e+01 5.725000000000000000e+02 3.700000000000000164e-03
1.100000000000000089e+00 2.769000000000000128e+01 6.037000000000000455e+02 3.799999999999999992e-03
1.199999999999999956e+00 2.892999999999999972e+01 6.335000000000000000e+02 3.900000000000000255e-03
1.300000000000000044e+00 3.010999999999999943e+01 6.618999999999999773e+02 4.100000000000000346e-03
1.399999999999999911e+00 3.123999999999999844e+01 6.892999999999999545e+02 4.200000000000000608e-03
1.500000000000000000e+00 3.234000000000000341e+01 7.156000000000000227e+02 4.300000000000000003e-03
1.600000000000000089e+00 3.339999999999999858e+01 7.408999999999999773e+02 4.400000000000000265e-03
1.699999999999999956e+00 3.442999999999999972e+01 7.653999999999999773e+02 4.500000000000000527e-03
1.800000000000000044e+00 3.542999999999999972e+01 7.891000000000000227e+02 4.599999999999999922e-03
2.000000000000000000e+00 3.734000000000000341e+01 8.343999999999999773e+02 4.800000000000000447e-03
2.250000000000000000e+00 3.960999999999999943e+01 8.875000000000000000e+02 5.100000000000000366e-03
2.500000000000000000e+00 4.175000000000000000e+01 9.372999999999999545e+02 5.300000000000000024e-03
2.750000000000000000e+00 4.378999999999999915e+01 9.842000000000000455e+02 5.500000000000000548e-03
3.000000000000000000e+00 4.574000000000000199e+01 1.029000000000000000e+03 5.700000000000000205e-03
3.250000000000000000e+00 4.760000000000000142e+01 1.071000000000000000e+03 5.899999999999999863e-03
3.500000000000000000e+00 4.939999999999999858e+01 1.111000000000000000e+03 6.100000000000000387e-03
3.750000000000000000e+00 5.114000000000000057e+01 1.150000000000000000e+03 6.300000000000000044e-03
4.000000000000000000e+00 5.281000000000000227e+01 1.187000000000000000e+03 6.500000000000000569e-03
4.500000000000000000e+00 5.602000000000000313e+01 1.257000000000000000e+03 6.800000000000000488e-03
5.000000000000000000e+00 5.904999999999999716e+01 1.322000000000000000e+03 7.100000000000000408e-03
