# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 5.899000000000000021e+00 3.449000000000000199e+01 6.000000000000000559e-04
1.099989999999999996e-02 6.187000000000000277e+00 3.684000000000000341e+01 6.000000000000000559e-04
1.199990000000000084e-02 6.461999999999999744e+00 3.910999999999999943e+01 6.000000000000000559e-04
1.299990000000000000e-02 6.725999999999999979e+00 4.132999999999999829e+01 6.000000000000000559e-04
1.399990000000000089e-02 6.980000000000000426e+00 4.349000000000000199e+01 6.999999999999999929e-04
1.499990000000000004e-02 7.224999999999999645e+00 4.559000000000000341e+01 6.999999999999999929e-04
1.599990000000000093e-02 7.461999999999999744e+00 4.764999999999999858e+01 6.999999999999999929e-04
1.699990000000000182e-02 7.692000000000000171e+00 4.965999999999999659e+01 6.999999999999999929e-04
1.799989999999999923e-02 7.915000000000000036e+00 5.163000000000000256e+01 6.999999999999999929e-04
1.999990000000000101e-02 8.342999999999999972e+00 5.546000000000000085e+01 6.999999999999999929e-04
2.249989999999999976e-02 8.849000000000000199e+00 6.006000000000000227e+01 8.000000000000000383e-04
2.499990000000000198e-02 9.326999999999999957e+00 6.448000000000000398e+01 8.000000000000000383e-04
2.749990000000000073e-02 9.782999999999999474e+00 6.875000000000000000e+01 8.000000000000000383e-04
2.999989999999999948e-02 1.022000000000000064e+01 7.287999999999999545e+01 9.000000000000000838e-04
3.249989999999999823e-02 1.063000000000000078e+01 7.687999999999999545e+01 9.000000000000000838e-04
3.499990000000000046e-02 1.103999999999999915e+01 8.076999999999999602e+01 9.000000000000000838e-04
3.749989999999999574e-02 1.141999999999999993e+01 8.454999999999999716e+01 9.000000000000000838e-04
3.999989999999999796e-02 1.180000000000000071e+01 8.825000000000000000e+01 1.000000000000000021e-03
4.499989999999999546e-02 1.250999999999999979e+01 9.539000000000000057e+01 1.000000000000000021e-03
4.999989999999999990e-02 1.318999999999999950e+01 1.022000000000000028e+02 1.000000000000000021e-03
5.499989999999999740e-02 1.383000000000000007e+01 1.087999999999999972e+02 1.100000000000000066e-03
5.999989999999999490e-02 1.444999999999999929e+01 1.152000000000000028e+02 1.100000000000000066e-03
6.499989999999999934e-02 1.503999999999999915e+01 1.212999999999999972e+02 1.200000000000000112e-03
6.999990000000000379e-02 1.560999999999999943e+01 1.272999999999999972e+02 1.200000000000000112e-03
7.999989999999999879e-02 1.669000000000000128e+01 1.388000000000000114e+02 1.200000000000000112e-03
8.999989999999999379e-02 1.769999999999999929e+01 1.496999999999999886e+02 1.300000000000000157e-03
9.999990000000000268e-02 1.864999999999999858e+01 1.600999999999999943e+02 1.300000000000000157e-03
1.100000000000000006e-01 1.957000000000000028e+01 1.700999999999999943e+02 1.399999999999999986e-03
1.199999999999999956e-01 2.044000000000000128e+01 1.798000000000000114e+02 1.399999999999999986e-03
1.300000000000000044e-01 2.126999999999999957e+01 1.890999999999999943e+02 1.500000000000000031e-03
1.399989999999999846e-01 2.207000000000000028e+01 1.980999999999999943e+02 1.500000000000000031e-03
1.499989999999999934e-01 2.285000000000000142e+01 2.069000000000000057e+02 1.600000000000000077e-03
1.599990000000000023e-01 2.360000000000000142e+01 2.154000000000000057e+02 1.600000000000000077e-03
1.699990000000000112e-01 2.432000000000000028e+01 2.236999999999999886e+02 1.600000000000000077e-03
1.799989999999999923e-01 2.503000000000000114e+01 2.318000000000000114e+02 1.700000000000000122e-03
1.999990000000000101e-01 2.637999999999999901e+01 2.474000000000000057e+02 1.700000000000000122e-03
2.249990000000000046e-01 2.798000000000000043e+01 2.660000000000000000e+02 1.800000000000000168e-03
2.499989999999999990e-01 2.950000000000000000e+01 2.836999999999999886e+02 1.899999999999999996e-03
2.749990000000000490e-01 3.094000000000000128e+01 3.006000000000000227e+02 2.000000000000000042e-03
2.999990000000000157e-01 3.231000000000000227e+01 3.168999999999999773e+02 2.000000000000000042e-03
3.249990000000000379e-01 3.363000000000000256e+01 3.325000000000000000e+02 2.100000000000000304e-03
3.499990000000000046e-01 3.489999999999999858e+01 3.476999999999999886e+02 2.100000000000000304e-03
