# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 3.265000000000000124e+00 2.994000000000000128e+01 6.999999999999999929e-04
1.099989999999999996e-02 3.423999999999999932e+00 3.198000000000000043e+01 6.999999999999999929e-04
1.199990000000000084e-02 3.576000000000000068e+00 3.396000000000000085e+01 8.000000000000000383e-04
1.299990000000000000e-02 3.721999999999999975e+00 3.588000000000000256e+01 8.000000000000000383e-04
1.399990000000000089e-02 3.862999999999999989e+00 3.775000000000000000e+01 8.000000000000000383e-04
1.499990000000000004e-02 3.998000000000000220e+00 3.957999999999999829e+01 8.000000000000000383e-04
1.599990000000000093e-02 4.129999999999999893e+00 4.136999999999999744e+01 8.000000000000000383e-04
1.699990000000000182e-02 4.256999999999999673e+00 4.310999999999999943e+01 9.000000000000000838e-04
1.799989999999999923e-02 4.379999999999999893e+00 4.482000000000000028e+01 9.000000000000000838e-04
1.999990000000000101e-02 4.616999999999999993e+00 4.814999999999999858e+01 9.000000000000000838e-04
2.249989999999999976e-02 4.897000000000000242e+00 5.214000000000000057e+01 1.000000000000000021e-03
2.499990000000000198e-02 5.161999999999999922e+00 5.597999999999999687e+01 1.000000000000000021e-03
2.749990000000000073e-02 5.413999999999999702e+00 5.967999999999999972e+01 1.000000000000000021e-03
2.999989999999999948e-02 5.655000000000000249e+00 6.325999999999999801e+01 1.100000000000000066e-03
3.249989999999999823e-02 5.884999999999999787e+00 6.673000000000000398e+01 1.100000000000000066e-03
3.499990000000000046e-02 6.107999999999999652e+00 7.010999999999999943e+01 1.100000000000000066e-03
3.749989999999999574e-02 6.322000000000000064e+00 7.340000000000000568e+01 1.200000000000000112e-03
3.999989999999999796e-02 6.528999999999999915e+00 7.659999999999999432e+01 1.200000000000000112e-03
4.499989999999999546e-02 6.924999999999999822e+00 8.279999999999999716e+01 1.200000000000000112e-03
4.999989999999999990e-02 7.299999999999999822e+00 8.873000000000000398e+01 1.300000000000000157e-03
5.499989999999999740e-02 7.655999999999999694e+00 9.445000000000000284e+01 1.300000000000000157e-03
5.999989999999999490e-02 7.996999999999999886e+00 9.996999999999999886e+01 1.399999999999999986e-03
6.499989999999999934e-02 8.323000000000000398e+00 1.052999999999999972e+02 1.399999999999999986e-03
6.999990000000000379e-02 8.637999999999999901e+00 1.105000000000000000e+02 1.399999999999999986e-03
7.999989999999999879e-02 9.233999999999999986e+00 1.204000000000000057e+02 1.500000000000000031e-03
8.999989999999999379e-02 9.794000000000000483e+00 1.299000000000000057e+02 1.600000000000000077e-03
9.999990000000000268e-02 1.032000000000000028e+01 1.390000000000000000e+02 1.600000000000000077e-03
1.100000000000000006e-01 1.083000000000000007e+01 1.475999999999999943e+02 1.700000000000000122e-03
1.199999999999999956e-01 1.131000000000000050e+01 1.560000000000000000e+02 1.800000000000000168e-03
1.300000000000000044e-01 1.176999999999999957e+01 1.640999999999999943e+02 1.800000000000000168e-03
1.399989999999999846e-01 1.222000000000000064e+01 1.719000000000000057e+02 1.899999999999999996e-03
1.499989999999999934e-01 1.264000000000000057e+01 1.795000000000000000e+02 1.899999999999999996e-03
1.599990000000000023e-01 1.306000000000000050e+01 1.869000000000000057e+02 2.000000000000000042e-03
1.699990000000000112e-01 1.346000000000000085e+01 1.940999999999999943e+02 2.000000000000000042e-03
1.799989999999999923e-01 1.384999999999999964e+01 2.010999999999999943e+02 2.000000000000000042e-03
1.999990000000000101e-01 1.459999999999999964e+01 2.146999999999999886e+02 2.100000000000000304e-03
2.249990000000000046e-01 1.549000000000000021e+01 2.308000000000000114e+02 2.200000000000000133e-03
2.499989999999999990e-01 1.632000000000000028e+01 2.460999999999999943e+02 2.299999999999999961e-03
2.749990000000000490e-01 1.712000000000000099e+01 2.608000000000000114e+02 2.400000000000000223e-03
2.999990000000000157e-01 1.787999999999999901e+01 2.748999999999999773e+02 2.500000000000000052e-03
3.249990000000000379e-01 1.860999999999999943e+01 2.885000000000000000e+02 2.500000000000000052e-03
3.499990000000000046e-01 1.930999999999999872e+01 3.016000000000000227e+02 2.600000000000000314e-03
3.749990000000000268e-01 1.998999999999999844e+01 3.143000000000000114e+02 2.700000000000000143e-03
3.999990000000000490e-01 2.064999999999999858e+01 3.266000000000000227e+02 2.700000000000000143e-03
4.499990000000000379e-01 2.189999999999999858e+01 3.501999999999999886e+02 2.900000000000000234e-03
4.999990000000000268e-01 2.308999999999999986e+01 3.725000000000000000e+02 3.000000000000000062e-03
5.499990000000000157e-01 2.421000000000000085e+01 3.938000000000000114e+02 3.100000000000000325e-03
5.999990000000000601e-01 2.528999999999999915e+01 4.141999999999999886e+02 3.200000000000000153e-03
6.499989999999999934e-01 2.632000000000000028e+01 4.338000000000000114e+02 3.299999999999999982e-03
6.999990000000000379e-01 2.730999999999999872e+01 4.526000000000000227e+02 3.400000000000000244e-03
7.999990000000000157e-01 2.919999999999999929e+01 4.883999999999999773e+02 3.600000000000000335e-03
8.999989999999999934e-01 3.096999999999999886e+01 5.218999999999999773e+02 3.700000000000000164e-03
9.999990000000000823e-01 3.264999999999999858e+01 5.536000000000000227e+02 3.900000000000000255e-03
1.100000000000000089e+00 3.424000000000000199e+01 5.837000000000000455e+02 4.000000000000000083e-03
