# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.415000000000000036e+00 1.780000000000000071e+01 1.200000000000000112e-03
1.099989999999999996e-02 1.483999999999999986e+00 1.901000000000000156e+01 1.300000000000000157e-03
1.199990000000000084e-02 1.550000000000000044e+00 2.019000000000000128e+01 1.300000000000000157e-03
1.299990000000000000e-02 1.614000000000000101e+00 2.133999999999999986e+01 1.300000000000000157e-03
1.399990000000000089e-02 1.675000000000000044e+00 2.244999999999999929e+01 1.399999999999999986e-03
1.499990000000000004e-02 1.733000000000000096e+00 2.353999999999999915e+01 1.399999999999999986e-03
1.599990000000000093e-02 1.790000000000000036e+00 2.460999999999999943e+01 1.399999999999999986e-03
1.699990000000000182e-02 1.844999999999999973e+00 2.564999999999999858e+01 1.500000000000000031e-03
1.799989999999999923e-02 1.899000000000000021e+00 2.667000000000000171e+01 1.500000000000000031e-03
1.999990000000000101e-02 2.000999999999999890e+00 2.864999999999999858e+01 1.600000000000000077e-03
2.249989999999999976e-02 2.123000000000000220e+00 3.103000000000000114e+01 1.600000000000000077e-03
2.499990000000000198e-02 2.237999999999999989e+00 3.332000000000000028e+01 1.700000000000000122e-03
2.749990000000000073e-02 2.346999999999999975e+00 3.553000000000000114e+01 1.800000000000000168e-03
2.999989999999999948e-02 2.451000000000000068e+00 3.767000000000000171e+01 1.800000000000000168e-03
3.249989999999999823e-02 2.551000000000000156e+00 3.974000000000000199e+01 1.899999999999999996e-03
3.499990000000000046e-02 2.648000000000000131e+00 4.175999999999999801e+01 1.899999999999999996e-03
3.749989999999999574e-02 2.741000000000000103e+00 4.371999999999999886e+01 2.000000000000000042e-03
3.999989999999999796e-02 2.830000000000000071e+00 4.563000000000000256e+01 2.000000000000000042e-03
4.499989999999999546e-02 3.001999999999999780e+00 4.934000000000000341e+01 2.100000000000000304e-03
4.999989999999999990e-02 3.165000000000000036e+00 5.288000000000000256e+01 2.200000000000000133e-03
5.499989999999999740e-02 3.318999999999999950e+00 5.629999999999999716e+01 2.200000000000000133e-03
5.999989999999999490e-02 3.467000000000000082e+00 5.960000000000000142e+01 2.299999999999999961e-03
6.499989999999999934e-02 3.608000000000000096e+00 6.278999999999999915e+01 2.400000000000000223e-03
6.999990000000000379e-02 3.744000000000000217e+00 6.589000000000000057e+01 2.400000000000000223e-03
7.999989999999999879e-02 4.003000000000000114e+00 7.184000000000000341e+01 2.500000000000000052e-03
8.999989999999999379e-02 4.246000000000000441e+00 7.751000000000000512e+01 2.700000000000000143e-03
9.999990000000000268e-02 4.474999999999999645e+00 8.292000000000000171e+01 2.799999999999999972e-03
1.100000000000000006e-01 4.693999999999999950e+00 8.812000000000000455e+01 2.900000000000000234e-03
1.199999999999999956e-01 4.902999999999999581e+00 9.314000000000000057e+01 2.900000000000000234e-03
1.300000000000000044e-01 5.102999999999999758e+00 9.798000000000000398e+01 3.000000000000000062e-03
1.399989999999999846e-01 5.294999999999999929e+00 1.027000000000000028e+02 3.100000000000000325e-03
1.499989999999999934e-01 5.480999999999999872e+00 1.072000000000000028e+02 3.200000000000000153e-03
1.599990000000000023e-01 5.660999999999999588e+00 1.115999999999999943e+02 3.299999999999999982e-03
1.699990000000000112e-01 5.834999999999999964e+00 1.160000000000000000e+02 3.299999999999999982e-03
1.799989999999999923e-01 6.003999999999999559e+00 1.202000000000000028e+02 3.400000000000000244e-03
1.999990000000000101e-01 6.328999999999999737e+00 1.283000000000000114e+02 3.500000000000000073e-03
2.249990000000000046e-01 6.713000000000000078e+00 1.380000000000000000e+02 3.700000000000000164e-03
2.499989999999999990e-01 7.075999999999999623e+00 1.471999999999999886e+02 3.799999999999999992e-03
2.749990000000000490e-01 7.421999999999999709e+00 1.560000000000000000e+02 4.000000000000000083e-03
2.999990000000000157e-01 7.751999999999999780e+00 1.645000000000000000e+02 4.100000000000000346e-03
3.249990000000000379e-01 8.067999999999999616e+00 1.725999999999999943e+02 4.200000000000000608e-03
3.499990000000000046e-01 8.372999999999999332e+00 1.805000000000000000e+02 4.300000000000000003e-03
3.749990000000000268e-01 8.666999999999999815e+00 1.880999999999999943e+02 4.400000000000000265e-03
3.999990000000000490e-01 8.951000000000000512e+00 1.955000000000000000e+02 4.500000000000000527e-03
4.499990000000000379e-01 9.493999999999999773e+00 2.096999999999999886e+02 4.700000000000000185e-03
4.999990000000000268e-01 1.000999999999999979e+01 2.230999999999999943e+02 4.899999999999999842e-03
5.499990000000000157e-01 1.050000000000000000e+01 2.360000000000000000e+02 5.100000000000000366e-03
5.999990000000000601e-01 1.096000000000000085e+01 2.481999999999999886e+02 5.300000000000000024e-03
6.499989999999999934e-01 1.141000000000000014e+01 2.600000000000000000e+02 5.400000000000000286e-03
6.999990000000000379e-01 1.183999999999999986e+01 2.713999999999999773e+02 5.599999999999999943e-03
7.999990000000000157e-01 1.266000000000000014e+01 2.928999999999999773e+02 5.899999999999999863e-03
8.999989999999999934e-01 1.342999999999999972e+01 3.131999999999999886e+02 6.200000000000000649e-03
9.999990000000000823e-01 1.415000000000000036e+01 3.323000000000000114e+02 6.400000000000000307e-03
1.100000000000000089e+00 1.483999999999999986e+01 3.505000000000000000e+02 6.700000000000000226e-03
1.199999999999999956e+00 1.550000000000000000e+01 3.678000000000000114e+02 6.900000000000000751e-03
1.300000000000000044e+00 1.614000000000000057e+01 3.843999999999999773e+02 7.100000000000000408e-03
1.399999999999999911e+00 1.675000000000000000e+01 4.003000000000000114e+02 7.300000000000000065e-03
1.500000000000000000e+00 1.732999999999999829e+01 4.156000000000000227e+02 7.500000000000000590e-03
1.600000000000000089e+00 1.789999999999999858e+01 4.303000000000000114e+02 7.700000000000000247e-03
1.699999999999999956e+00 1.844999999999999929e+01 4.446000000000000227e+02 7.900000000000000772e-03
1.800000000000000044e+00 1.898999999999999844e+01 4.583999999999999773e+02 8.099999999999999561e-03
2.000000000000000000e+00 2.001999999999999957e+01 4.848000000000000114e+02 8.400000000000001216e-03
2.250000000000000000e+00 2.123000000000000043e+01 5.157000000000000455e+02 8.899999999999999925e-03
2.500000000000000000e+00 2.237999999999999901e+01 5.447000000000000455e+02 9.199999999999999845e-03
2.750000000000000000e+00 2.346999999999999886e+01 5.721000000000000227e+02 9.600000000000000894e-03
3.000000000000000000e+00 2.451000000000000156e+01 5.980000000000000000e+02 1.000000000000000021e-02
3.250000000000000000e+00 2.551000000000000156e+01 6.227000000000000455e+02 1.030000000000000013e-02
3.500000000000000000e+00 2.648000000000000043e+01 6.462000000000000455e+02 1.070000000000000118e-02
3.750000000000000000e+00 2.741000000000000014e+01 6.687000000000000455e+02 1.100000000000000110e-02
4.000000000000000000e+00 2.830999999999999872e+01 6.902999999999999545e+02 1.130000000000000102e-02
4.500000000000000000e+00 3.001999999999999957e+01 7.311000000000000227e+02 1.190000000000000085e-02
5.000000000000000000e+00 3.164999999999999858e+01 7.691000000000000227e+02 1.240000000000000130e-02
5.500000000000000000e+00 3.318999999999999773e+01 8.046000000000000227e+02 1.300000000000000114e-02
6.000000000000000000e+00 3.467000000000000171e+01 8.381000000000000227e+02 1.349999999999999985e-02
6.500000000000000000e+00 3.607999999999999829e+01 8.697999999999999545e+02 1.400000000000000029e-02
7.000000000000000000e+00 3.745000000000000284e+01 8.997999999999999545e+02 1.440000000000000134e-02
8.000000000000000000e+00 4.003000000000000114e+01 9.557000000000000455e+02 1.540000000000000049e-02
9.000000000000000000e+00 4.246000000000000085e+01 1.007000000000000000e+03 1.619999999999999912e-02
1.000000000000000000e+01 4.475999999999999801e+01 1.054000000000000000e+03 1.700000000000000122e-02
1.100000000000000000e+01 4.693999999999999773e+01 1.098000000000000000e+03 1.779999999999999985e-02
1.200000000000000000e+01 4.903000000000000114e+01 1.139000000000000000e+03 1.860000000000000195e-02
1.300000000000000000e+01 5.103000000000000114e+01 1.177000000000000000e+03 1.930000000000000118e-02
1.400000000000000000e+01 5.296000000000000085e+01 1.214000000000000000e+03 2.000000000000000042e-02
1.500000000000000000e+01 5.482000000000000028e+01 1.248000000000000000e+03 2.069999999999999965e-02
