# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 3.717000000000000082e+00 3.164000000000000057e+01 4.000000000000000192e-04
1.099989999999999996e-02 3.898000000000000131e+00 3.382000000000000028e+01 5.000000000000000104e-04
1.199990000000000084e-02 4.072000000000000064e+00 3.592999999999999972e+01 5.000000000000000104e-04
1.299990000000000000e-02 4.238000000000000433e+00 3.799000000000000199e+01 5.000000000000000104e-04
1.399990000000000089e-02 4.397999999999999687e+00 3.999000000000000199e+01 5.000000000000000104e-04
1.499990000000000004e-02 4.551999999999999602e+00 4.195000000000000284e+01 5.000000000000000104e-04
1.599990000000000093e-02 4.701999999999999957e+00 4.385999999999999943e+01 5.000000000000000104e-04
1.699990000000000182e-02 4.846000000000000085e+00 4.572999999999999687e+01 5.000000000000000104e-04
1.799989999999999923e-02 4.987000000000000099e+00 4.757000000000000028e+01 5.000000000000000104e-04
1.999990000000000101e-02 5.256999999999999673e+00 5.114000000000000057e+01 6.000000000000000559e-04
2.249989999999999976e-02 5.575000000000000178e+00 5.542999999999999972e+01 6.000000000000000559e-04
2.499990000000000198e-02 5.876999999999999780e+00 5.956000000000000227e+01 6.000000000000000559e-04
2.749990000000000073e-02 6.163999999999999702e+00 6.354999999999999716e+01 6.000000000000000559e-04
2.999989999999999948e-02 6.437999999999999723e+00 6.740999999999999659e+01 6.000000000000000559e-04
3.249989999999999823e-02 6.700999999999999623e+00 7.115999999999999659e+01 6.999999999999999929e-04
3.499990000000000046e-02 6.953999999999999737e+00 7.479999999999999716e+01 6.999999999999999929e-04
3.749989999999999574e-02 7.198000000000000398e+00 7.834999999999999432e+01 6.999999999999999929e-04
3.999989999999999796e-02 7.434000000000000163e+00 8.181999999999999318e+01 6.999999999999999929e-04
4.499989999999999546e-02 7.884999999999999787e+00 8.853000000000000114e+01 6.999999999999999929e-04
4.999989999999999990e-02 8.310999999999999943e+00 9.496999999999999886e+01 8.000000000000000383e-04
5.499989999999999740e-02 8.717000000000000526e+00 1.012000000000000028e+02 8.000000000000000383e-04
5.999989999999999490e-02 9.105000000000000426e+00 1.072000000000000028e+02 8.000000000000000383e-04
6.499989999999999934e-02 9.476000000000000867e+00 1.130000000000000000e+02 8.000000000000000383e-04
6.999990000000000379e-02 9.833999999999999631e+00 1.185999999999999943e+02 8.000000000000000383e-04
7.999989999999999879e-02 1.050999999999999979e+01 1.295000000000000000e+02 9.000000000000000838e-04
8.999989999999999379e-02 1.115000000000000036e+01 1.398000000000000114e+02 9.000000000000000838e-04
9.999990000000000268e-02 1.175000000000000000e+01 1.496999999999999886e+02 1.000000000000000021e-03
1.100000000000000006e-01 1.233000000000000007e+01 1.591999999999999886e+02 1.000000000000000021e-03
1.199999999999999956e-01 1.288000000000000078e+01 1.684000000000000057e+02 1.000000000000000021e-03
1.300000000000000044e-01 1.340000000000000036e+01 1.771999999999999886e+02 1.000000000000000021e-03
1.399989999999999846e-01 1.391000000000000014e+01 1.858000000000000114e+02 1.100000000000000066e-03
1.499989999999999934e-01 1.440000000000000036e+01 1.941999999999999886e+02 1.100000000000000066e-03
1.599990000000000023e-01 1.486999999999999922e+01 2.023000000000000114e+02 1.100000000000000066e-03
1.699990000000000112e-01 1.533000000000000007e+01 2.101999999999999886e+02 1.100000000000000066e-03
1.799989999999999923e-01 1.576999999999999957e+01 2.180000000000000000e+02 1.200000000000000112e-03
1.999990000000000101e-01 1.662000000000000099e+01 2.329000000000000057e+02 1.200000000000000112e-03
