# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 9.727000000000000313e+00 2.537999999999999901e+01 6.999999999999999929e-04
1.099989999999999996e-02 1.019999999999999929e+01 2.710000000000000142e+01 6.999999999999999929e-04
1.199990000000000084e-02 1.066000000000000014e+01 2.876999999999999957e+01 6.999999999999999929e-04
1.299990000000000000e-02 1.108999999999999986e+01 3.039000000000000057e+01 6.999999999999999929e-04
1.399990000000000089e-02 1.150999999999999979e+01 3.198000000000000043e+01 8.000000000000000383e-04
1.499990000000000004e-02 1.191000000000000014e+01 3.352000000000000313e+01 8.000000000000000383e-04
1.599990000000000093e-02 1.230000000000000071e+01 3.502000000000000313e+01 8.000000000000000383e-04
1.699990000000000182e-02 1.267999999999999972e+01 3.650000000000000000e+01 8.000000000000000383e-04
1.799989999999999923e-02 1.305000000000000071e+01 3.793999999999999773e+01 8.000000000000000383e-04
1.999990000000000101e-02 1.375999999999999979e+01 4.074000000000000199e+01 9.000000000000000838e-04
2.249989999999999976e-02 1.458999999999999986e+01 4.410999999999999943e+01 9.000000000000000838e-04
2.499990000000000198e-02 1.538000000000000078e+01 4.735000000000000142e+01 1.000000000000000021e-03
2.749990000000000073e-02 1.612999999999999901e+01 5.046999999999999886e+01 1.000000000000000021e-03
2.999989999999999948e-02 1.685000000000000142e+01 5.347999999999999687e+01 1.000000000000000021e-03
3.249989999999999823e-02 1.753999999999999915e+01 5.640999999999999659e+01 1.100000000000000066e-03
3.499990000000000046e-02 1.819999999999999929e+01 5.925000000000000000e+01 1.100000000000000066e-03
3.749989999999999574e-02 1.883999999999999986e+01 6.202000000000000313e+01 1.100000000000000066e-03
3.999989999999999796e-02 1.944999999999999929e+01 6.471999999999999886e+01 1.100000000000000066e-03
4.499989999999999546e-02 2.062999999999999901e+01 6.993000000000000682e+01 1.200000000000000112e-03
4.999989999999999990e-02 2.175000000000000000e+01 7.492000000000000171e+01 1.300000000000000157e-03
5.499989999999999740e-02 2.280999999999999872e+01 7.973000000000000398e+01 1.300000000000000157e-03
5.999989999999999490e-02 2.382999999999999829e+01 8.437000000000000455e+01 1.300000000000000157e-03
6.499989999999999934e-02 2.480000000000000071e+01 8.885999999999999943e+01 1.399999999999999986e-03
6.999990000000000379e-02 2.573000000000000043e+01 9.320999999999999375e+01 1.399999999999999986e-03
7.999989999999999879e-02 2.751000000000000156e+01 1.015999999999999943e+02 1.500000000000000031e-03
8.999989999999999379e-02 2.917999999999999972e+01 1.095000000000000000e+02 1.600000000000000077e-03
9.999990000000000268e-02 3.076000000000000156e+01 1.170999999999999943e+02 1.600000000000000077e-03
1.100000000000000006e-01 3.225999999999999801e+01 1.244000000000000057e+02 1.700000000000000122e-03
1.199999999999999956e-01 3.368999999999999773e+01 1.314000000000000057e+02 1.800000000000000168e-03
1.300000000000000044e-01 3.507000000000000028e+01 1.381999999999999886e+02 1.800000000000000168e-03
1.399989999999999846e-01 3.639000000000000057e+01 1.446999999999999886e+02 1.899999999999999996e-03
1.499989999999999934e-01 3.767000000000000171e+01 1.510999999999999943e+02 1.899999999999999996e-03
1.599990000000000023e-01 3.890999999999999659e+01 1.573000000000000114e+02 2.000000000000000042e-03
1.699990000000000112e-01 4.010000000000000142e+01 1.633000000000000114e+02 2.000000000000000042e-03
1.799989999999999923e-01 4.127000000000000313e+01 1.691999999999999886e+02 2.100000000000000304e-03
1.999990000000000101e-01 4.350000000000000000e+01 1.805000000000000000e+02 2.200000000000000133e-03
2.249990000000000046e-01 4.614000000000000057e+01 1.940000000000000000e+02 2.299999999999999961e-03
2.499989999999999990e-01 4.863000000000000256e+01 2.068000000000000114e+02 2.299999999999999961e-03
2.749990000000000490e-01 5.100999999999999801e+01 2.190999999999999943e+02 2.400000000000000223e-03
2.999990000000000157e-01 5.327000000000000313e+01 2.309000000000000057e+02 2.500000000000000052e-03
3.249990000000000379e-01 5.545000000000000284e+01 2.421999999999999886e+02 2.600000000000000314e-03
3.499990000000000046e-01 5.753999999999999915e+01 2.531999999999999886e+02 2.700000000000000143e-03
3.749990000000000268e-01 5.956000000000000227e+01 2.636999999999999886e+02 2.799999999999999972e-03
3.999990000000000490e-01 6.152000000000000313e+01 2.740000000000000000e+02 2.799999999999999972e-03
4.499990000000000379e-01 6.525000000000000000e+01 2.936000000000000227e+02 3.000000000000000062e-03
4.999990000000000268e-01 6.878000000000000114e+01 3.121999999999999886e+02 3.100000000000000325e-03
5.499990000000000157e-01 7.212999999999999545e+01 3.300000000000000000e+02 3.200000000000000153e-03
5.999990000000000601e-01 7.534000000000000341e+01 3.468999999999999773e+02 3.299999999999999982e-03
6.499989999999999934e-01 7.842000000000000171e+01 3.631999999999999886e+02 3.400000000000000244e-03
6.999990000000000379e-01 8.137999999999999545e+01 3.788999999999999773e+02 3.500000000000000073e-03
7.999990000000000157e-01 8.700000000000000000e+01 4.086000000000000227e+02 3.700000000000000164e-03
8.999989999999999934e-01 9.226999999999999602e+01 4.363999999999999773e+02 3.900000000000000255e-03
9.999990000000000823e-01 9.726000000000000512e+01 4.626999999999999886e+02 4.100000000000000346e-03
1.100000000000000089e+00 1.020000000000000000e+02 4.876999999999999886e+02 4.300000000000000003e-03
1.199999999999999956e+00 1.065000000000000000e+02 5.113999999999999773e+02 4.400000000000000265e-03
1.300000000000000044e+00 1.109000000000000057e+02 5.341000000000000227e+02 4.599999999999999922e-03
1.399999999999999911e+00 1.150999999999999943e+02 5.558999999999999773e+02 4.700000000000000185e-03
1.500000000000000000e+00 1.190999999999999943e+02 5.767999999999999545e+02 4.800000000000000447e-03
1.600000000000000089e+00 1.230000000000000000e+02 5.970000000000000000e+02 5.000000000000000104e-03
1.699999999999999956e+00 1.267999999999999972e+02 6.163999999999999773e+02 5.100000000000000366e-03
1.800000000000000044e+00 1.305000000000000000e+02 6.352999999999999545e+02 5.200000000000000629e-03
2.000000000000000000e+00 1.375999999999999943e+02 6.712000000000000455e+02 5.500000000000000548e-03
2.250000000000000000e+00 1.459000000000000057e+02 7.132999999999999545e+02 5.800000000000000468e-03
2.500000000000000000e+00 1.538000000000000114e+02 7.527000000000000455e+02 6.000000000000000125e-03
2.750000000000000000e+00 1.613000000000000114e+02 7.897999999999999545e+02 6.300000000000000044e-03
3.000000000000000000e+00 1.685000000000000000e+02 8.248999999999999773e+02 6.500000000000000569e-03
3.250000000000000000e+00 1.753000000000000114e+02 8.582000000000000455e+02 6.800000000000000488e-03
3.500000000000000000e+00 1.820000000000000000e+02 8.900000000000000000e+02 7.000000000000000146e-03
3.750000000000000000e+00 1.883000000000000114e+02 9.203999999999999773e+02 7.200000000000000670e-03
4.000000000000000000e+00 1.945000000000000000e+02 9.495000000000000000e+02 7.400000000000000328e-03
4.500000000000000000e+00 2.063000000000000114e+02 1.004000000000000000e+03 7.800000000000000509e-03
5.000000000000000000e+00 2.175000000000000000e+02 1.055000000000000000e+03 8.200000000000000691e-03
5.500000000000000000e+00 2.280999999999999943e+02 1.103000000000000000e+03 8.600000000000000006e-03
6.000000000000000000e+00 2.381999999999999886e+02 1.148000000000000000e+03 8.899999999999999925e-03
6.500000000000000000e+00 2.480000000000000000e+02 1.190000000000000000e+03 9.199999999999999845e-03
7.000000000000000000e+00 2.573000000000000114e+02 1.230000000000000000e+03 9.600000000000000894e-03
8.000000000000000000e+00 2.751000000000000227e+02 1.304000000000000000e+03 1.020000000000000073e-02
