# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.790000000000000036e+00 3.227000000000000313e+01 3.000000000000000279e-04
1.099989999999999996e-02 1.877999999999999892e+00 3.402000000000000313e+01 3.000000000000000279e-04
1.199990000000000084e-02 1.961000000000000076e+00 3.567000000000000171e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.040999999999999925e+00 3.725999999999999801e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.117999999999999883e+00 3.878000000000000114e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.193000000000000060e+00 4.024000000000000199e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.263999999999999790e+00 4.164999999999999858e+01 3.000000000000000279e-04
1.699990000000000182e-02 2.334000000000000075e+00 4.300999999999999801e+01 3.000000000000000279e-04
1.799989999999999923e-02 2.402000000000000135e+00 4.432999999999999829e+01 4.000000000000000192e-04
1.999990000000000101e-02 2.532000000000000028e+00 4.684000000000000341e+01 4.000000000000000192e-04
2.249989999999999976e-02 2.685000000000000053e+00 4.978999999999999915e+01 4.000000000000000192e-04
2.499990000000000198e-02 2.830999999999999961e+00 5.253999999999999915e+01 4.000000000000000192e-04
2.749990000000000073e-02 2.968999999999999861e+00 5.514000000000000057e+01 4.000000000000000192e-04
2.999989999999999948e-02 3.100999999999999979e+00 5.760000000000000142e+01 4.000000000000000192e-04
3.249989999999999823e-02 3.226999999999999869e+00 5.992999999999999972e+01 5.000000000000000104e-04
3.499990000000000046e-02 3.349000000000000199e+00 6.215999999999999659e+01 5.000000000000000104e-04
3.749989999999999574e-02 3.467000000000000082e+00 6.429000000000000625e+01 5.000000000000000104e-04
3.999989999999999796e-02 3.580000000000000071e+00 6.631999999999999318e+01 5.000000000000000104e-04
4.499989999999999546e-02 3.798000000000000043e+00 7.017000000000000171e+01 5.000000000000000104e-04
4.999989999999999990e-02 4.003000000000000114e+00 7.373999999999999488e+01 6.000000000000000559e-04
5.499989999999999740e-02 4.198999999999999844e+00 7.707999999999999829e+01 6.000000000000000559e-04
5.999989999999999490e-02 4.384999999999999787e+00 8.021999999999999886e+01 6.000000000000000559e-04
6.499989999999999934e-02 4.564000000000000057e+00 8.318999999999999773e+01 6.000000000000000559e-04
6.999990000000000379e-02 4.737000000000000099e+00 8.600000000000000000e+01 6.999999999999999929e-04
7.999989999999999879e-02 5.064000000000000057e+00 9.121999999999999886e+01 6.999999999999999929e-04
8.999989999999999379e-02 5.371000000000000441e+00 9.598999999999999488e+01 8.000000000000000383e-04
9.999990000000000268e-02 5.660999999999999588e+00 1.004000000000000057e+02 8.000000000000000383e-04
1.100000000000000006e-01 5.937999999999999723e+00 1.045000000000000000e+02 8.000000000000000383e-04
1.199999999999999956e-01 6.201999999999999957e+00 1.082999999999999972e+02 9.000000000000000838e-04
1.300000000000000044e-01 6.455000000000000071e+00 1.117999999999999972e+02 9.000000000000000838e-04
1.399989999999999846e-01 6.698999999999999844e+00 1.152000000000000028e+02 1.000000000000000021e-03
1.499989999999999934e-01 6.934000000000000163e+00 1.182999999999999972e+02 1.000000000000000021e-03
1.599990000000000023e-01 7.160999999999999588e+00 1.212999999999999972e+02 1.000000000000000021e-03
1.699990000000000112e-01 7.381999999999999673e+00 1.242000000000000028e+02 1.100000000000000066e-03
1.799989999999999923e-01 7.596000000000000085e+00 1.269000000000000057e+02 1.100000000000000066e-03
1.999990000000000101e-01 8.006999999999999673e+00 1.320000000000000000e+02 1.200000000000000112e-03
2.249990000000000046e-01 8.492000000000000881e+00 1.376999999999999886e+02 1.300000000000000157e-03
2.499989999999999990e-01 8.951999999999999957e+00 1.429000000000000057e+02 1.300000000000000157e-03
2.749990000000000490e-01 9.388999999999999346e+00 1.476999999999999886e+02 1.399999999999999986e-03
2.999990000000000157e-01 9.805999999999999162e+00 1.520999999999999943e+02 1.500000000000000031e-03
3.249990000000000379e-01 1.021000000000000085e+01 1.560999999999999943e+02 1.600000000000000077e-03
3.499990000000000046e-01 1.058999999999999986e+01 1.599000000000000057e+02 1.600000000000000077e-03
3.749990000000000268e-01 1.096000000000000085e+01 1.634000000000000057e+02 1.700000000000000122e-03
3.999990000000000490e-01 1.132000000000000028e+01 1.666999999999999886e+02 1.800000000000000168e-03
4.499990000000000379e-01 1.200999999999999979e+01 1.726999999999999886e+02 1.899999999999999996e-03
4.999990000000000268e-01 1.266000000000000014e+01 1.780999999999999943e+02 2.100000000000000304e-03
5.499990000000000157e-01 1.327999999999999936e+01 1.829000000000000057e+02 2.200000000000000133e-03
5.999990000000000601e-01 1.386999999999999922e+01 1.873000000000000114e+02 2.299999999999999961e-03
6.499989999999999934e-01 1.442999999999999972e+01 1.913000000000000114e+02 2.400000000000000223e-03
6.999990000000000379e-01 1.498000000000000043e+01 1.950000000000000000e+02 2.600000000000000314e-03
7.999990000000000157e-01 1.601000000000000156e+01 2.015000000000000000e+02 2.799999999999999972e-03
8.999989999999999934e-01 1.698999999999999844e+01 2.070999999999999943e+02 3.000000000000000062e-03
9.999990000000000823e-01 1.789999999999999858e+01 2.119000000000000057e+02 3.299999999999999982e-03
1.100000000000000089e+00 1.878000000000000114e+01 2.161999999999999886e+02 3.500000000000000073e-03
1.199999999999999956e+00 1.960999999999999943e+01 2.200000000000000000e+02 3.700000000000000164e-03
1.300000000000000044e+00 2.041000000000000014e+01 2.234000000000000057e+02 4.000000000000000083e-03
1.399999999999999911e+00 2.119000000000000128e+01 2.264000000000000057e+02 4.200000000000000608e-03
1.500000000000000000e+00 2.192999999999999972e+01 2.290999999999999943e+02 4.400000000000000265e-03
1.600000000000000089e+00 2.264999999999999858e+01 2.315999999999999943e+02 4.599999999999999922e-03
1.699999999999999956e+00 2.335000000000000142e+01 2.338000000000000114e+02 4.800000000000000447e-03
1.800000000000000044e+00 2.401999999999999957e+01 2.358000000000000114e+02 5.000000000000000104e-03
2.000000000000000000e+00 2.532000000000000028e+01 2.393000000000000114e+02 5.500000000000000548e-03
2.250000000000000000e+00 2.685999999999999943e+01 2.429000000000000057e+02 6.000000000000000125e-03
2.500000000000000000e+00 2.830999999999999872e+01 2.458000000000000114e+02 6.500000000000000569e-03
2.750000000000000000e+00 2.969000000000000128e+01 2.480999999999999943e+02 7.000000000000000146e-03
3.000000000000000000e+00 3.101999999999999957e+01 2.499000000000000057e+02 7.500000000000000590e-03
3.250000000000000000e+00 3.228000000000000114e+01 2.514000000000000057e+02 8.000000000000000167e-03
3.500000000000000000e+00 3.350000000000000000e+01 2.525999999999999943e+02 8.600000000000000006e-03
3.750000000000000000e+00 3.467999999999999972e+01 2.535000000000000000e+02 9.100000000000000450e-03
4.000000000000000000e+00 3.582000000000000028e+01 2.541999999999999886e+02 9.600000000000000894e-03
4.500000000000000000e+00 3.799000000000000199e+01 2.550000000000000000e+02 1.060000000000000005e-02
5.000000000000000000e+00 4.003999999999999915e+01 2.553000000000000114e+02 1.160000000000000094e-02
5.500000000000000000e+00 4.200000000000000000e+01 2.550999999999999943e+02 1.260000000000000009e-02
6.000000000000000000e+00 4.386999999999999744e+01 2.545999999999999943e+02 1.360000000000000098e-02
6.500000000000000000e+00 4.565999999999999659e+01 2.539000000000000057e+02 1.460000000000000013e-02
7.000000000000000000e+00 4.739000000000000057e+01 2.530000000000000000e+02 1.560000000000000102e-02
8.000000000000000000e+00 5.065999999999999659e+01 2.506999999999999886e+02 1.770000000000000046e-02
9.000000000000000000e+00 5.372999999999999687e+01 2.480999999999999943e+02 1.970000000000000223e-02
1.000000000000000000e+01 5.664000000000000057e+01 2.453000000000000114e+02 2.179999999999999993e-02
1.100000000000000000e+01 5.940999999999999659e+01 2.423000000000000114e+02 2.390000000000000110e-02
1.200000000000000000e+01 6.204999999999999716e+01 2.391999999999999886e+02 2.600000000000000228e-02
1.300000000000000000e+01 6.459000000000000341e+01 2.360999999999999943e+02 2.820000000000000284e-02
1.400000000000000000e+01 6.703000000000000114e+01 2.330999999999999943e+02 3.030000000000000054e-02
1.500000000000000000e+01 6.937999999999999545e+01 2.300999999999999943e+02 3.250000000000000111e-02
1.600000000000000000e+01 7.165999999999999659e+01 2.270999999999999943e+02 3.470000000000000168e-02
1.700000000000000000e+01 7.387000000000000455e+01 2.240999999999999943e+02 3.690000000000000224e-02
1.800000000000000000e+01 7.601000000000000512e+01 2.211999999999999886e+02 3.910000000000000281e-02
2.000000000000000000e+01 8.012000000000000455e+01 2.156999999999999886e+02 4.359999999999999987e-02
2.250000000000000000e+01 8.498999999999999488e+01 2.090999999999999943e+02 4.930000000000000354e-02
2.500000000000000000e+01 8.959000000000000341e+01 2.029000000000000057e+02 5.500000000000000028e-02
2.750000000000000000e+01 9.396999999999999886e+01 1.970999999999999943e+02 6.090000000000000274e-02
3.000000000000000000e+01 9.815000000000000568e+01 1.916999999999999886e+02 6.679999999999999827e-02
3.250000000000000000e+01 1.020000000000000000e+02 1.865999999999999943e+02 7.280000000000000360e-02
3.500000000000000000e+01 1.050999999999999943e+02 1.818000000000000114e+02 7.889999999999999791e-02
3.750000000000000000e+01 1.082000000000000028e+02 1.773000000000000114e+02 8.500000000000000611e-02
4.000000000000000000e+01 1.112999999999999972e+02 1.730000000000000000e+02 9.130000000000000615e-02
4.500000000000000000e+01 1.174000000000000057e+02 1.651999999999999886e+02 1.039000000000000062e-01
5.000000000000000000e+01 1.232999999999999972e+02 1.581999999999999886e+02 1.167000000000000121e-01
5.500000000000000000e+01 1.290999999999999943e+02 1.518000000000000114e+02 1.295999999999999930e-01
